commentId,comment,classification,comment_processed,word_phrase_list,set,date,course,similarity_score
176731,Needless to say that I happily left the clinic that day with a firm date for my surgery.,0,needle happily leave clinic firm date surgery,"['needle', 'needle happily', 'needle happily leave', 'needle happily leave clinic', 'needle happily leave clinic firm', 'needle happily leave clinic firm date', 'needle happily leave clinic firm date surgery', 'happily', 'happily leave', 'happily leave clinic', 'happily leave clinic firm', 'happily leave clinic firm date', 'happily leave clinic firm date surgery', 'leave', 'leave clinic', 'leave clinic firm', 'leave clinic firm date', 'leave clinic firm date surgery', 'clinic', 'clinic firm', 'clinic firm date', 'clinic firm date surgery', 'firm', 'firm date', 'firm date surgery', 'date', 'date surgery', 'surgery']",0,1,0,0.2857142857142857
145578,His office called and set everything up for me.,0,office call set,"['office', 'office call', 'office call set', 'call', 'call set', 'set']",1,0,0,0.2857142857142857
143881,When I made my appointment I told the woman who set it up that I had experienced interminable wait times in the past?once in 2017,1,appointment tell woman set experience endless wait time pastonce,"['appointment', 'appointment tell', 'appointment tell woman', 'appointment tell woman set', 'appointment tell woman set experience', 'appointment tell woman set experience endless', 'appointment tell woman set experience endless wait', 'appointment tell woman set experience endless wait time', 'appointment tell woman set experience endless wait time pastonce', 'tell', 'tell woman', 'tell woman set', 'tell woman set experience', 'tell woman set experience endless', 'tell woman set experience endless wait', 'tell woman set experience endless wait time', 'tell woman set experience endless wait time pastonce', 'woman', 'woman set', 'woman set experience', 'woman set experience endless', 'woman set experience endless wait', 'woman set experience endless wait time', 'woman set experience endless wait time pastonce', 'set', 'set experience', 'set experience endless', 'set experience endless wait', 'set experience endless wait time', 'set experience endless wait time pastonce', 'experience', 'experience endless', 'experience endless wait', 'experience endless wait time', 'experience endless wait time pastonce', 'endless', 'endless wait', 'endless wait time', 'endless wait time pastonce', 'wait', 'wait time', 'wait time pastonce', 'time', 'time pastonce', 'pastonce']",1,0,0,0.2857142857142857
98967,My experience to date has been outstanding.,0,experience date outstanding,"['experience', 'experience date', 'experience date outstanding', 'date', 'date outstanding', 'outstanding']",0,1,0,0.2857142857142857
105932,Have had to drive in to set appointment when I need to change an appointment.,1,drive set appointment need change appointment,"['drive', 'drive set', 'drive set appointment', 'drive set appointment need', 'drive set appointment need change', 'drive set appointment need change appointment', 'set', 'set appointment', 'set appointment need', 'set appointment need change', 'set appointment need change appointment', 'appointment', 'appointment need', 'appointment need change', 'appointment need change appointment', 'need', 'need change', 'need change appointment', 'change', 'change appointment', 'appointment']",1,0,0,0.2857142857142857
111191,Dr Garrett explained my eye surgery to me and all was set up to be done.,0,explain eye surgery set,"['explain', 'explain eye', 'explain eye surgery', 'explain eye surgery set', 'eye', 'eye surgery', 'eye surgery set', 'surgery', 'surgery set', 'set']",1,0,0,0.2857142857142857
133680,"My friends who've had seen the doctor before recommended me, and after my excellent consultation with him, I was set.",0,friend ve see doctor recommend excellent consultation set,"['friend', 'friend ve', 'friend ve see', 'friend ve see doctor', 'friend ve see doctor recommend', 'friend ve see doctor recommend excellent', 'friend ve see doctor recommend excellent consultation', 'friend ve see doctor recommend excellent consultation set', 've', 've see', 've see doctor', 've see doctor recommend', 've see doctor recommend excellent', 've see doctor recommend excellent consultation', 've see doctor recommend excellent consultation set', 'see', 'see doctor', 'see doctor recommend', 'see doctor recommend excellent', 'see doctor recommend excellent consultation', 'see doctor recommend excellent consultation set', 'doctor', 'doctor recommend', 'doctor recommend excellent', 'doctor recommend excellent consultation', 'doctor recommend excellent consultation set', 'recommend', 'recommend excellent', 'recommend excellent consultation', 'recommend excellent consultation set', 'excellent', 'excellent consultation', 'excellent consultation set', 'consultation', 'consultation set', 'set']",1,0,0,0.2857142857142857
174240,I picked the soonest date I could and everything worked out.,0,pick sooner date work,"['pick', 'pick sooner', 'pick sooner date', 'pick sooner date work', 'sooner', 'sooner date', 'sooner date work', 'date', 'date work', 'work']",0,1,0,0.2857142857142857
92564,"Of course I am depressed - I feel horrible, all doctor wanted to do was throw pills at it,",1,course depress feel atrocious doctor want throw pill,"['course', 'course depress', 'course depress feel', 'course depress feel atrocious', 'course depress feel atrocious doctor', 'course depress feel atrocious doctor want', 'course depress feel atrocious doctor want throw', 'course depress feel atrocious doctor want throw pill', 'depress', 'depress feel', 'depress feel atrocious', 'depress feel atrocious doctor', 'depress feel atrocious doctor want', 'depress feel atrocious doctor want throw', 'depress feel atrocious doctor want throw pill', 'feel', 'feel atrocious', 'feel atrocious doctor', 'feel atrocious doctor want', 'feel atrocious doctor want throw', 'feel atrocious doctor want throw pill', 'atrocious', 'atrocious doctor', 'atrocious doctor want', 'atrocious doctor want throw', 'atrocious doctor want throw pill', 'doctor', 'doctor want', 'doctor want throw', 'doctor want throw pill', 'want', 'want throw', 'want throw pill', 'throw', 'throw pill', 'pill']",0,0,1,0.2857142857142857
82592,unfortunate because they set me back now i have to find another recommended doctor,1,unfortunate set find recommend doctor,"['unfortunate', 'unfortunate set', 'unfortunate set find', 'unfortunate set find recommend', 'unfortunate set find recommend doctor', 'set', 'set find', 'set find recommend', 'set find recommend doctor', 'find', 'find recommend', 'find recommend doctor', 'recommend', 'recommend doctor', 'doctor']",1,0,0,0.2857142857142857
