commentId,comment,classification,comment_processed,word_phrase_list,regret,regret trust,regret trust procedure,trust,trust procedure,procedure,similarity_score
146628,and and I came across Sadrian MD plastic surgery I decided to check them out and I have NO regrets!,0,come plastic surgery decide check regret,"['come', 'come plastic', 'come plastic surgery', 'come plastic surgery decide', 'come plastic surgery decide check', 'come plastic surgery decide check regret', 'plastic', 'plastic surgery', 'plastic surgery decide', 'plastic surgery decide check', 'plastic surgery decide check regret', 'surgery', 'surgery decide', 'surgery decide check', 'surgery decide check regret', 'decide', 'decide check', 'decide check regret', 'check', 'check regret', 'regret']",1,0,0,0,0,0,0.2857142857142857
97081,and i trust her to make it better because she is already doing what i almost thought was impossible!,0,trust good think impossible,"['trust', 'trust good', 'trust good think', 'trust good think impossible', 'good', 'good think', 'good think impossible', 'think', 'think impossible', 'impossible']",0,0,0,1,0,0,0.2857142857142857
91661,"so helpful and caring, the remembered me when I called and remembered my procedure from the operating room.",0,helpful dare remember call remember procedure operate room,"['helpful', 'helpful dare', 'helpful dare remember', 'helpful dare remember call', 'helpful dare remember call remember', 'helpful dare remember call remember procedure', 'helpful dare remember call remember procedure operate', 'helpful dare remember call remember procedure operate room', 'dare', 'dare remember', 'dare remember call', 'dare remember call remember', 'dare remember call remember procedure', 'dare remember call remember procedure operate', 'dare remember call remember procedure operate room', 'remember', 'remember call', 'remember call remember', 'remember call remember procedure', 'remember call remember procedure operate', 'remember call remember procedure operate room', 'call', 'call remember', 'call remember procedure', 'call remember procedure operate', 'call remember procedure operate room', 'remember', 'remember procedure', 'remember procedure operate', 'remember procedure operate room', 'procedure', 'procedure operate', 'procedure operate room', 'operate', 'operate room', 'room']",0,0,0,0,0,1,0.2857142857142857
130635,For example he insists most everyone gets veneers and more advanced procedure when often a simple procedure will work.,1,example insist get center advance procedure simple procedure work,"['example', 'example insist', 'example insist get', 'example insist get center', 'example insist get center advance', 'example insist get center advance procedure', 'example insist get center advance procedure simple', 'example insist get center advance procedure simple procedure', 'example insist get center advance procedure simple procedure work', 'insist', 'insist get', 'insist get center', 'insist get center advance', 'insist get center advance procedure', 'insist get center advance procedure simple', 'insist get center advance procedure simple procedure', 'insist get center advance procedure simple procedure work', 'get', 'get center', 'get center advance', 'get center advance procedure', 'get center advance procedure simple', 'get center advance procedure simple procedure', 'get center advance procedure simple procedure work', 'center', 'center advance', 'center advance procedure', 'center advance procedure simple', 'center advance procedure simple procedure', 'center advance procedure simple procedure work', 'advance', 'advance procedure', 'advance procedure simple', 'advance procedure simple procedure', 'advance procedure simple procedure work', 'procedure', 'procedure simple', 'procedure simple procedure', 'procedure simple procedure work', 'simple', 'simple procedure', 'simple procedure work', 'procedure', 'procedure work', 'work']",0,0,0,0,0,1,0.2857142857142857
161000,I trusted his work and did not go against his advice.,0,trust work advice,"['trust', 'trust work', 'trust work advice', 'work', 'work advice', 'advice']",0,0,0,1,0,0,0.2857142857142857
152930,I would NOT trust him to operate on me when my pain is in my NECK and he cuts on my lower lumbar!!,1,trust operate pain neck cut low lumbar,"['trust', 'trust operate', 'trust operate pain', 'trust operate pain neck', 'trust operate pain neck cut', 'trust operate pain neck cut low', 'trust operate pain neck cut low lumbar', 'operate', 'operate pain', 'operate pain neck', 'operate pain neck cut', 'operate pain neck cut low', 'operate pain neck cut low lumbar', 'pain', 'pain neck', 'pain neck cut', 'pain neck cut low', 'pain neck cut low lumbar', 'neck', 'neck cut', 'neck cut low', 'neck cut low lumbar', 'cut', 'cut low', 'cut low lumbar', 'low', 'low lumbar', 'lumbar']",0,0,0,1,0,0,0.2857142857142857
161806,My procedure was to take place on a Tuesday but something happen at the hospital and it couldn't be done on that day.,1,procedure place happen hospital,"['procedure', 'procedure place', 'procedure place happen', 'procedure place happen hospital', 'place', 'place happen', 'place happen hospital', 'happen', 'happen hospital', 'hospital']",0,0,0,0,0,1,0.2857142857142857
83486,I would trust him to perform any plastic surgery without any hesitation.,0,trust perform plastic surgery hesitation,"['trust', 'trust perform', 'trust perform plastic', 'trust perform plastic surgery', 'trust perform plastic surgery hesitation', 'perform', 'perform plastic', 'perform plastic surgery', 'perform plastic surgery hesitation', 'plastic', 'plastic surgery', 'plastic surgery hesitation', 'surgery', 'surgery hesitation', 'hesitation']",0,0,0,1,0,0,0.2857142857142857
115520,"Not only was the procedure a fairly easy one that was merely out patient, it also worked amazingly.",0,procedure fairly easy merely patient work amazingly,"['procedure', 'procedure fairly', 'procedure fairly easy', 'procedure fairly easy merely', 'procedure fairly easy merely patient', 'procedure fairly easy merely patient work', 'procedure fairly easy merely patient work amazingly', 'fairly', 'fairly easy', 'fairly easy merely', 'fairly easy merely patient', 'fairly easy merely patient work', 'fairly easy merely patient work amazingly', 'easy', 'easy merely', 'easy merely patient', 'easy merely patient work', 'easy merely patient work amazingly', 'merely', 'merely patient', 'merely patient work', 'merely patient work amazingly', 'patient', 'patient work', 'patient work amazingly', 'work', 'work amazingly', 'amazingly']",0,0,0,0,0,1,0.2857142857142857
150401,The procedure he suggested was much more invasive.,1,procedure suggest invasion,"['procedure', 'procedure suggest', 'procedure suggest invasion', 'suggest', 'suggest invasion', 'invasion']",0,0,0,0,0,1,0.2857142857142857
133221,"The time I spent in the whole procedure, from arrival to discharge, was very fast.",0,time spend procedure arrival discharge fast,"['time', 'time spend', 'time spend procedure', 'time spend procedure arrival', 'time spend procedure arrival discharge', 'time spend procedure arrival discharge fast', 'spend', 'spend procedure', 'spend procedure arrival', 'spend procedure arrival discharge', 'spend procedure arrival discharge fast', 'procedure', 'procedure arrival', 'procedure arrival discharge', 'procedure arrival discharge fast', 'arrival', 'arrival discharge', 'arrival discharge fast', 'discharge', 'discharge fast', 'fast']",0,0,0,0,0,1,0.2857142857142857
89934,and do not trust this company,1,trust company,"['trust', 'trust company', 'company']",0,0,0,1,0,0,0.2857142857142857
171127,Since having my procedure I have gone back 3 times stressing that my bite was still off and it was causing discomfort.,1,have procedure go time stress bite cause discomfort,"['have', 'have procedure', 'have procedure go', 'have procedure go time', 'have procedure go time stress', 'have procedure go time stress bite', 'have procedure go time stress bite cause', 'have procedure go time stress bite cause discomfort', 'procedure', 'procedure go', 'procedure go time', 'procedure go time stress', 'procedure go time stress bite', 'procedure go time stress bite cause', 'procedure go time stress bite cause discomfort', 'go', 'go time', 'go time stress', 'go time stress bite', 'go time stress bite cause', 'go time stress bite cause discomfort', 'time', 'time stress', 'time stress bite', 'time stress bite cause', 'time stress bite cause discomfort', 'stress', 'stress bite', 'stress bite cause', 'stress bite cause discomfort', 'bite', 'bite cause', 'bite cause discomfort', 'cause', 'cause discomfort', 'discomfort']",0,0,0,0,0,1,0.2857142857142857
146230,The procedure was fast and I recovered very well.,0,procedure fast recover,"['procedure', 'procedure fast', 'procedure fast recover', 'fast', 'fast recover', 'recover']",0,0,0,0,0,1,0.2857142857142857
125886,The procedure was quick - I had 3 wisdom teeth extracted - and I woke up at 2:40.,0,procedure quick wisdom tooth extract wake,"['procedure', 'procedure quick', 'procedure quick wisdom', 'procedure quick wisdom tooth', 'procedure quick wisdom tooth extract', 'procedure quick wisdom tooth extract wake', 'quick', 'quick wisdom', 'quick wisdom tooth', 'quick wisdom tooth extract', 'quick wisdom tooth extract wake', 'wisdom', 'wisdom tooth', 'wisdom tooth extract', 'wisdom tooth extract wake', 'tooth', 'tooth extract', 'tooth extract wake', 'extract', 'extract wake', 'wake']",0,0,0,0,0,1,0.2857142857142857
185024,I trust Dr. Funcik so much.,0,trust dr fuck,"['trust', 'trust dr', 'trust dr fuck', 'dr', 'dr fuck', 'fuck']",0,0,0,1,0,0,0.2857142857142857
154649,The procedure was painful.,1,procedure painful,"['procedure', 'procedure painful', 'painful']",0,0,0,0,0,1,0.2857142857142857
100549,I felt nothing to worry about during the procedure.,0,feel worry procedure,"['feel', 'feel worry', 'feel worry procedure', 'worry', 'worry procedure', 'procedure']",0,0,0,0,0,1,0.2857142857142857
129152,"If you're looking for a very professional, knowledgeable, personable, caring, funny doctor to put your trust in, look no further.",0,look professional knowledgeable personal dare funny doctor trust look,"['look', 'look professional', 'look professional knowledgeable', 'look professional knowledgeable personal', 'look professional knowledgeable personal dare', 'look professional knowledgeable personal dare funny', 'look professional knowledgeable personal dare funny doctor', 'look professional knowledgeable personal dare funny doctor trust', 'look professional knowledgeable personal dare funny doctor trust look', 'professional', 'professional knowledgeable', 'professional knowledgeable personal', 'professional knowledgeable personal dare', 'professional knowledgeable personal dare funny', 'professional knowledgeable personal dare funny doctor', 'professional knowledgeable personal dare funny doctor trust', 'professional knowledgeable personal dare funny doctor trust look', 'knowledgeable', 'knowledgeable personal', 'knowledgeable personal dare', 'knowledgeable personal dare funny', 'knowledgeable personal dare funny doctor', 'knowledgeable personal dare funny doctor trust', 'knowledgeable personal dare funny doctor trust look', 'personal', 'personal dare', 'personal dare funny', 'personal dare funny doctor', 'personal dare funny doctor trust', 'personal dare funny doctor trust look', 'dare', 'dare funny', 'dare funny doctor', 'dare funny doctor trust', 'dare funny doctor trust look', 'funny', 'funny doctor', 'funny doctor trust', 'funny doctor trust look', 'doctor', 'doctor trust', 'doctor trust look', 'trust', 'trust look', 'look']",0,0,0,1,0,0,0.2857142857142857
100478,for the rewarding outcome of my procedure and Dr. White's artistry and compassion.,0,reward result procedure dr white artistic compassion,"['reward', 'reward result', 'reward result procedure', 'reward result procedure dr', 'reward result procedure dr white', 'reward result procedure dr white artistic', 'reward result procedure dr white artistic compassion', 'result', 'result procedure', 'result procedure dr', 'result procedure dr white', 'result procedure dr white artistic', 'result procedure dr white artistic compassion', 'procedure', 'procedure dr', 'procedure dr white', 'procedure dr white artistic', 'procedure dr white artistic compassion', 'dr', 'dr white', 'dr white artistic', 'dr white artistic compassion', 'white', 'white artistic', 'white artistic compassion', 'artistic', 'artistic compassion', 'compassion']",0,0,0,0,0,1,0.2857142857142857
