commentId,comment,classification,comment_processed,word_phrase_list,concern,concern acknowledge,acknowledge,similarity_score
88567,but I felt that my concerns were brushed aside when I went in about the collapse.,1,feel concern brush aside go collapse,"['feel', 'feel concern', 'feel concern brush', 'feel concern brush aside', 'feel concern brush aside go', 'feel concern brush aside go collapse', 'concern', 'concern brush', 'concern brush aside', 'concern brush aside go', 'concern brush aside go collapse', 'brush', 'brush aside', 'brush aside go', 'brush aside go collapse', 'aside', 'aside go', 'aside go collapse', 'go', 'go collapse', 'collapse']",1,0,0,0.5
95129,Very thoughtful of patients concerns.,0,thoughtful patient concern,"['thoughtful', 'thoughtful patient', 'thoughtful patient concern', 'patient', 'patient concern', 'concern']",1,0,0,0.5
162569,One of the employees always acknowledges you as soon as you enter.,0,employee acknowledge soon enter,"['employee', 'employee acknowledge', 'employee acknowledge soon', 'employee acknowledge soon enter', 'acknowledge', 'acknowledge soon', 'acknowledge soon enter', 'soon', 'soon enter', 'enter']",0,0,1,0.5
93740,The most devastating part of the experience was his nasty attitude toward me and my very valid concerns regarding an obvious need,1,devastating experience nasty attitude valid concern obvious need,"['devastating', 'devastating experience', 'devastating experience nasty', 'devastating experience nasty attitude', 'devastating experience nasty attitude valid', 'devastating experience nasty attitude valid concern', 'devastating experience nasty attitude valid concern obvious', 'devastating experience nasty attitude valid concern obvious need', 'experience', 'experience nasty', 'experience nasty attitude', 'experience nasty attitude valid', 'experience nasty attitude valid concern', 'experience nasty attitude valid concern obvious', 'experience nasty attitude valid concern obvious need', 'nasty', 'nasty attitude', 'nasty attitude valid', 'nasty attitude valid concern', 'nasty attitude valid concern obvious', 'nasty attitude valid concern obvious need', 'attitude', 'attitude valid', 'attitude valid concern', 'attitude valid concern obvious', 'attitude valid concern obvious need', 'valid', 'valid concern', 'valid concern obvious', 'valid concern obvious need', 'concern', 'concern obvious', 'concern obvious need', 'obvious', 'obvious need', 'need']",1,0,0,0.5
77234,Dr. Joseph asked about and listened to my concerns and we spoke in detail about what he envisioned.,0,ask listen concern speak detail envision,"['ask', 'ask listen', 'ask listen concern', 'ask listen concern speak', 'ask listen concern speak detail', 'ask listen concern speak detail envision', 'listen', 'listen concern', 'listen concern speak', 'listen concern speak detail', 'listen concern speak detail envision', 'concern', 'concern speak', 'concern speak detail', 'concern speak detail envision', 'speak', 'speak detail', 'speak detail envision', 'detail', 'detail envision', 'envision']",1,0,0,0.5
140801,"His entire staff and office reflect a welcoming culture of medical excellence, patient comfort, and genuine concern.",0,entire staff office reflect welcome culture medical excellence patient comfort genuine concern,"['entire', 'entire staff', 'entire staff office', 'entire staff office reflect', 'entire staff office reflect welcome', 'entire staff office reflect welcome culture', 'entire staff office reflect welcome culture medical', 'entire staff office reflect welcome culture medical excellence', 'entire staff office reflect welcome culture medical excellence patient', 'entire staff office reflect welcome culture medical excellence patient comfort', 'entire staff office reflect welcome culture medical excellence patient comfort genuine', 'entire staff office reflect welcome culture medical excellence patient comfort genuine concern', 'staff', 'staff office', 'staff office reflect', 'staff office reflect welcome', 'staff office reflect welcome culture', 'staff office reflect welcome culture medical', 'staff office reflect welcome culture medical excellence', 'staff office reflect welcome culture medical excellence patient', 'staff office reflect welcome culture medical excellence patient comfort', 'staff office reflect welcome culture medical excellence patient comfort genuine', 'staff office reflect welcome culture medical excellence patient comfort genuine concern', 'office', 'office reflect', 'office reflect welcome', 'office reflect welcome culture', 'office reflect welcome culture medical', 'office reflect welcome culture medical excellence', 'office reflect welcome culture medical excellence patient', 'office reflect welcome culture medical excellence patient comfort', 'office reflect welcome culture medical excellence patient comfort genuine', 'office reflect welcome culture medical excellence patient comfort genuine concern', 'reflect', 'reflect welcome', 'reflect welcome culture', 'reflect welcome culture medical', 'reflect welcome culture medical excellence', 'reflect welcome culture medical excellence patient', 'reflect welcome culture medical excellence patient comfort', 'reflect welcome culture medical excellence patient comfort genuine', 'reflect welcome culture medical excellence patient comfort genuine concern', 'welcome', 'welcome culture', 'welcome culture medical', 'welcome culture medical excellence', 'welcome culture medical excellence patient', 'welcome culture medical excellence patient comfort', 'welcome culture medical excellence patient comfort genuine', 'welcome culture medical excellence patient comfort genuine concern', 'culture', 'culture medical', 'culture medical excellence', 'culture medical excellence patient', 'culture medical excellence patient comfort', 'culture medical excellence patient comfort genuine', 'culture medical excellence patient comfort genuine concern', 'medical', 'medical excellence', 'medical excellence patient', 'medical excellence patient comfort', 'medical excellence patient comfort genuine', 'medical excellence patient comfort genuine concern', 'excellence', 'excellence patient', 'excellence patient comfort', 'excellence patient comfort genuine', 'excellence patient comfort genuine concern', 'patient', 'patient comfort', 'patient comfort genuine', 'patient comfort genuine concern', 'comfort', 'comfort genuine', 'comfort genuine concern', 'genuine', 'genuine concern', 'concern']",1,0,0,0.5
187011,I feel like my concerns were addressed and I feel at ease and excited now to book an appointment for surgery with them.,0,feel like concern address feel ease excite book appointment surgery,"['feel', 'feel like', 'feel like concern', 'feel like concern address', 'feel like concern address feel', 'feel like concern address feel ease', 'feel like concern address feel ease excite', 'feel like concern address feel ease excite book', 'feel like concern address feel ease excite book appointment', 'feel like concern address feel ease excite book appointment surgery', 'like', 'like concern', 'like concern address', 'like concern address feel', 'like concern address feel ease', 'like concern address feel ease excite', 'like concern address feel ease excite book', 'like concern address feel ease excite book appointment', 'like concern address feel ease excite book appointment surgery', 'concern', 'concern address', 'concern address feel', 'concern address feel ease', 'concern address feel ease excite', 'concern address feel ease excite book', 'concern address feel ease excite book appointment', 'concern address feel ease excite book appointment surgery', 'address', 'address feel', 'address feel ease', 'address feel ease excite', 'address feel ease excite book', 'address feel ease excite book appointment', 'address feel ease excite book appointment surgery', 'feel', 'feel ease', 'feel ease excite', 'feel ease excite book', 'feel ease excite book appointment', 'feel ease excite book appointment surgery', 'ease', 'ease excite', 'ease excite book', 'ease excite book appointment', 'ease excite book appointment surgery', 'excite', 'excite book', 'excite book appointment', 'excite book appointment surgery', 'book', 'book appointment', 'book appointment surgery', 'appointment', 'appointment surgery', 'surgery']",1,0,0,0.5
182121,"He had some medical concerns about my condition, which he thought was more than one condition, and his concerns were correct!",0,medical concern condition think condition concern correct,"['medical', 'medical concern', 'medical concern condition', 'medical concern condition think', 'medical concern condition think condition', 'medical concern condition think condition concern', 'medical concern condition think condition concern correct', 'concern', 'concern condition', 'concern condition think', 'concern condition think condition', 'concern condition think condition concern', 'concern condition think condition concern correct', 'condition', 'condition think', 'condition think condition', 'condition think condition concern', 'condition think condition concern correct', 'think', 'think condition', 'think condition concern', 'think condition concern correct', 'condition', 'condition concern', 'condition concern correct', 'concern', 'concern correct', 'correct']",1,0,0,0.5
82613,Staff consists of one very cranky lady with no concern,1,staff consist crank lady concern,"['staff', 'staff consist', 'staff consist crank', 'staff consist crank lady', 'staff consist crank lady concern', 'consist', 'consist crank', 'consist crank lady', 'consist crank lady concern', 'crank', 'crank lady', 'crank lady concern', 'lady', 'lady concern', 'concern']",1,0,0,0.5
95571,and considerate of a parent's concerns!,0,considerate parent concern,"['considerate', 'considerate parent', 'considerate parent concern', 'parent', 'parent concern', 'concern']",1,0,0,0.5
118525,He does a great job of checking on you with scheduled follow ups and will handle any other concerns that you May have .,0,great job check schedule follow handle concern,"['great', 'great job', 'great job check', 'great job check schedule', 'great job check schedule follow', 'great job check schedule follow handle', 'great job check schedule follow handle concern', 'job', 'job check', 'job check schedule', 'job check schedule follow', 'job check schedule follow handle', 'job check schedule follow handle concern', 'check', 'check schedule', 'check schedule follow', 'check schedule follow handle', 'check schedule follow handle concern', 'schedule', 'schedule follow', 'schedule follow handle', 'schedule follow handle concern', 'follow', 'follow handle', 'follow handle concern', 'handle', 'handle concern', 'concern']",1,0,0,0.5
100515,"Donna is a wonderful PA, she shows lots of interest and concerns for her patients.",0,fantastic pa show lot interest concern patient,"['fantastic', 'fantastic pa', 'fantastic pa show', 'fantastic pa show lot', 'fantastic pa show lot interest', 'fantastic pa show lot interest concern', 'fantastic pa show lot interest concern patient', 'pa', 'pa show', 'pa show lot', 'pa show lot interest', 'pa show lot interest concern', 'pa show lot interest concern patient', 'show', 'show lot', 'show lot interest', 'show lot interest concern', 'show lot interest concern patient', 'lot', 'lot interest', 'lot interest concern', 'lot interest concern patient', 'interest', 'interest concern', 'interest concern patient', 'concern', 'concern patient', 'patient']",1,0,0,0.5
108797,He insisted that I contact him at any time with concerns and returned my calls in a timely manor.,0,insist contact time concern return call timely manor,"['insist', 'insist contact', 'insist contact time', 'insist contact time concern', 'insist contact time concern return', 'insist contact time concern return call', 'insist contact time concern return call timely', 'insist contact time concern return call timely manor', 'contact', 'contact time', 'contact time concern', 'contact time concern return', 'contact time concern return call', 'contact time concern return call timely', 'contact time concern return call timely manor', 'time', 'time concern', 'time concern return', 'time concern return call', 'time concern return call timely', 'time concern return call timely manor', 'concern', 'concern return', 'concern return call', 'concern return call timely', 'concern return call timely manor', 'return', 'return call', 'return call timely', 'return call timely manor', 'call', 'call timely', 'call timely manor', 'timely', 'timely manor', 'manor']",1,0,0,0.5
108452,"He gives you ample opportunity to express your concerns and then gives his expert opinion, filling in gaps that you may not understand.",0,give ample opportunity express concern give expert opinion fill gap understand,"['give', 'give ample', 'give ample opportunity', 'give ample opportunity express', 'give ample opportunity express concern', 'give ample opportunity express concern give', 'give ample opportunity express concern give expert', 'give ample opportunity express concern give expert opinion', 'give ample opportunity express concern give expert opinion fill', 'give ample opportunity express concern give expert opinion fill gap', 'give ample opportunity express concern give expert opinion fill gap understand', 'ample', 'ample opportunity', 'ample opportunity express', 'ample opportunity express concern', 'ample opportunity express concern give', 'ample opportunity express concern give expert', 'ample opportunity express concern give expert opinion', 'ample opportunity express concern give expert opinion fill', 'ample opportunity express concern give expert opinion fill gap', 'ample opportunity express concern give expert opinion fill gap understand', 'opportunity', 'opportunity express', 'opportunity express concern', 'opportunity express concern give', 'opportunity express concern give expert', 'opportunity express concern give expert opinion', 'opportunity express concern give expert opinion fill', 'opportunity express concern give expert opinion fill gap', 'opportunity express concern give expert opinion fill gap understand', 'express', 'express concern', 'express concern give', 'express concern give expert', 'express concern give expert opinion', 'express concern give expert opinion fill', 'express concern give expert opinion fill gap', 'express concern give expert opinion fill gap understand', 'concern', 'concern give', 'concern give expert', 'concern give expert opinion', 'concern give expert opinion fill', 'concern give expert opinion fill gap', 'concern give expert opinion fill gap understand', 'give', 'give expert', 'give expert opinion', 'give expert opinion fill', 'give expert opinion fill gap', 'give expert opinion fill gap understand', 'expert', 'expert opinion', 'expert opinion fill', 'expert opinion fill gap', 'expert opinion fill gap understand', 'opinion', 'opinion fill', 'opinion fill gap', 'opinion fill gap understand', 'fill', 'fill gap', 'fill gap understand', 'gap', 'gap understand', 'understand']",1,0,0,0.5
124198,Did not throughly address concerns.,1,thoroughly address concern,"['thoroughly', 'thoroughly address', 'thoroughly address concern', 'address', 'address concern', 'concern']",1,0,0,0.5
142350,"Always treated very well, care about my care, attention to my concerns.",0,treat care care attention concern,"['treat', 'treat care', 'treat care care', 'treat care care attention', 'treat care care attention concern', 'care', 'care care', 'care care attention', 'care care attention concern', 'care', 'care attention', 'care attention concern', 'attention', 'attention concern', 'concern']",1,0,0,0.5
127819,Over the years we?ve heard far too many people with concerns that they are getting diluted Botox.,1,ve hear far people concern get dilute,"['ve', 've hear', 've hear far', 've hear far people', 've hear far people concern', 've hear far people concern get', 've hear far people concern get dilute', 'hear', 'hear far', 'hear far people', 'hear far people concern', 'hear far people concern get', 'hear far people concern get dilute', 'far', 'far people', 'far people concern', 'far people concern get', 'far people concern get dilute', 'people', 'people concern', 'people concern get', 'people concern get dilute', 'concern', 'concern get', 'concern get dilute', 'get', 'get dilute', 'dilute']",1,0,0,0.5
109196,"He takes the time to listen to his patient's concerns, explain their medical condition and discuss possible treatments.",0,take time listen patient concern explain medical condition discus possible treatment,"['take', 'take time', 'take time listen', 'take time listen patient', 'take time listen patient concern', 'take time listen patient concern explain', 'take time listen patient concern explain medical', 'take time listen patient concern explain medical condition', 'take time listen patient concern explain medical condition discus', 'take time listen patient concern explain medical condition discus possible', 'take time listen patient concern explain medical condition discus possible treatment', 'time', 'time listen', 'time listen patient', 'time listen patient concern', 'time listen patient concern explain', 'time listen patient concern explain medical', 'time listen patient concern explain medical condition', 'time listen patient concern explain medical condition discus', 'time listen patient concern explain medical condition discus possible', 'time listen patient concern explain medical condition discus possible treatment', 'listen', 'listen patient', 'listen patient concern', 'listen patient concern explain', 'listen patient concern explain medical', 'listen patient concern explain medical condition', 'listen patient concern explain medical condition discus', 'listen patient concern explain medical condition discus possible', 'listen patient concern explain medical condition discus possible treatment', 'patient', 'patient concern', 'patient concern explain', 'patient concern explain medical', 'patient concern explain medical condition', 'patient concern explain medical condition discus', 'patient concern explain medical condition discus possible', 'patient concern explain medical condition discus possible treatment', 'concern', 'concern explain', 'concern explain medical', 'concern explain medical condition', 'concern explain medical condition discus', 'concern explain medical condition discus possible', 'concern explain medical condition discus possible treatment', 'explain', 'explain medical', 'explain medical condition', 'explain medical condition discus', 'explain medical condition discus possible', 'explain medical condition discus possible treatment', 'medical', 'medical condition', 'medical condition discus', 'medical condition discus possible', 'medical condition discus possible treatment', 'condition', 'condition discus', 'condition discus possible', 'condition discus possible treatment', 'discus', 'discus possible', 'discus possible treatment', 'possible', 'possible treatment', 'treatment']",1,0,0,0.5
87006,Having 3 locations aids in being seen promptly when there is a problem or concern.,0,have location aid see promptly problem concern,"['have', 'have location', 'have location aid', 'have location aid see', 'have location aid see promptly', 'have location aid see promptly problem', 'have location aid see promptly problem concern', 'location', 'location aid', 'location aid see', 'location aid see promptly', 'location aid see promptly problem', 'location aid see promptly problem concern', 'aid', 'aid see', 'aid see promptly', 'aid see promptly problem', 'aid see promptly problem concern', 'see', 'see promptly', 'see promptly problem', 'see promptly problem concern', 'promptly', 'promptly problem', 'promptly problem concern', 'problem', 'problem concern', 'concern']",1,0,0,0.5
