commentId,comment,classification,comment_processed,word_phrase_list,mummy,mummy tuck,mummy tuck lip,tuck,tuck lip,lip,please,please result,result,similarity_score
123857,"FYI, to indicate how very pleased I am, I am willing to commute 2 - 2 1/2 hours each way, to specifically see these gentlemen.",0,foi indicate please willing commune way specifically gentleman,"['foi', 'foi indicate', 'foi indicate please', 'foi indicate please willing', 'foi indicate please willing commune', 'foi indicate please willing commune way', 'foi indicate please willing commune way specifically', 'foi indicate please willing commune way specifically gentleman', 'indicate', 'indicate please', 'indicate please willing', 'indicate please willing commune', 'indicate please willing commune way', 'indicate please willing commune way specifically', 'indicate please willing commune way specifically gentleman', 'please', 'please willing', 'please willing commune', 'please willing commune way', 'please willing commune way specifically', 'please willing commune way specifically gentleman', 'willing', 'willing commune', 'willing commune way', 'willing commune way specifically', 'willing commune way specifically gentleman', 'commune', 'commune way', 'commune way specifically', 'commune way specifically gentleman', 'way', 'way specifically', 'way specifically gentleman', 'specifically', 'specifically gentleman', 'gentleman']",0,0,0,0,0,0,1,0,0,0.125
145055,"I cant wait to try his CoolSculpt, many of my friends have done it and have seen amazing results.",0,wait try coolsculpt friend see amaze result,"['wait', 'wait try', 'wait try coolsculpt', 'wait try coolsculpt friend', 'wait try coolsculpt friend see', 'wait try coolsculpt friend see amaze', 'wait try coolsculpt friend see amaze result', 'try', 'try coolsculpt', 'try coolsculpt friend', 'try coolsculpt friend see', 'try coolsculpt friend see amaze', 'try coolsculpt friend see amaze result', 'coolsculpt', 'coolsculpt friend', 'coolsculpt friend see', 'coolsculpt friend see amaze', 'coolsculpt friend see amaze result', 'friend', 'friend see', 'friend see amaze', 'friend see amaze result', 'see', 'see amaze', 'see amaze result', 'amaze', 'amaze result', 'result']",0,0,0,0,0,0,0,0,1,0.125
138270,result since this sagging skin is all I see when I look in the mirror.,1,result lag skin look mirror,"['result', 'result lag', 'result lag skin', 'result lag skin look', 'result lag skin look mirror', 'lag', 'lag skin', 'lag skin look', 'lag skin look mirror', 'skin', 'skin look', 'skin look mirror', 'look', 'look mirror', 'mirror']",0,0,0,0,0,0,0,0,1,0.125
114069,Great Doctor Great staff Love the results of everything I have had done!,0,great doctor great staff love result,"['great', 'great doctor', 'great doctor great', 'great doctor great staff', 'great doctor great staff love', 'great doctor great staff love result', 'doctor', 'doctor great', 'doctor great staff', 'doctor great staff love', 'doctor great staff love result', 'great', 'great staff', 'great staff love', 'great staff love result', 'staff', 'staff love', 'staff love result', 'love', 'love result', 'result']",0,0,0,0,0,0,0,0,1,0.125
184017,"didn't want to reshape my belly button), he advised me on opting for lipo instead",0,want escape belly button advise out lip instead,"['want', 'want escape', 'want escape belly', 'want escape belly button', 'want escape belly button advise', 'want escape belly button advise out', 'want escape belly button advise out lip', 'want escape belly button advise out lip instead', 'escape', 'escape belly', 'escape belly button', 'escape belly button advise', 'escape belly button advise out', 'escape belly button advise out lip', 'escape belly button advise out lip instead', 'belly', 'belly button', 'belly button advise', 'belly button advise out', 'belly button advise out lip', 'belly button advise out lip instead', 'button', 'button advise', 'button advise out', 'button advise out lip', 'button advise out lip instead', 'advise', 'advise out', 'advise out lip', 'advise out lip instead', 'out', 'out lip', 'out lip instead', 'lip', 'lip instead', 'instead']",0,0,0,0,0,1,0,0,0,0.125
145370,I got a tummy tuck about a year and a half ago and the most direct thing I can say is I was butchered.,1,get mummy tuck direct thing butcher,"['get', 'get mummy', 'get mummy tuck', 'get mummy tuck direct', 'get mummy tuck direct thing', 'get mummy tuck direct thing butcher', 'mummy', 'mummy tuck', 'mummy tuck direct', 'mummy tuck direct thing', 'mummy tuck direct thing butcher', 'tuck', 'tuck direct', 'tuck direct thing', 'tuck direct thing butcher', 'direct', 'direct thing', 'direct thing butcher', 'thing', 'thing butcher', 'butcher']",1,1,0,1,0,0,0,0,0,0.375
154648,Not pleased with either.,1,please,['please'],0,0,0,0,0,0,1,0,0,0.125
85134,"I cannot believe how great the outcome, how wonderful the Dr. is, how great the staff",0,believe great result fantastic dr great staff,"['believe', 'believe great', 'believe great result', 'believe great result fantastic', 'believe great result fantastic dr', 'believe great result fantastic dr great', 'believe great result fantastic dr great staff', 'great', 'great result', 'great result fantastic', 'great result fantastic dr', 'great result fantastic dr great', 'great result fantastic dr great staff', 'result', 'result fantastic', 'result fantastic dr', 'result fantastic dr great', 'result fantastic dr great staff', 'fantastic', 'fantastic dr', 'fantastic dr great', 'fantastic dr great staff', 'dr', 'dr great', 'dr great staff', 'great', 'great staff', 'staff']",0,0,0,0,0,0,0,0,1,0.125
153440,"I am now 5 days post op, and I feel like I got the Rolls-Royce of Mommy Makeovers.",0,day post op feel like get rollsroyce mummy maneuver,"['day', 'day post', 'day post op', 'day post op feel', 'day post op feel like', 'day post op feel like get', 'day post op feel like get rollsroyce', 'day post op feel like get rollsroyce mummy', 'day post op feel like get rollsroyce mummy maneuver', 'post', 'post op', 'post op feel', 'post op feel like', 'post op feel like get', 'post op feel like get rollsroyce', 'post op feel like get rollsroyce mummy', 'post op feel like get rollsroyce mummy maneuver', 'op', 'op feel', 'op feel like', 'op feel like get', 'op feel like get rollsroyce', 'op feel like get rollsroyce mummy', 'op feel like get rollsroyce mummy maneuver', 'feel', 'feel like', 'feel like get', 'feel like get rollsroyce', 'feel like get rollsroyce mummy', 'feel like get rollsroyce mummy maneuver', 'like', 'like get', 'like get rollsroyce', 'like get rollsroyce mummy', 'like get rollsroyce mummy maneuver', 'get', 'get rollsroyce', 'get rollsroyce mummy', 'get rollsroyce mummy maneuver', 'rollsroyce', 'rollsroyce mummy', 'rollsroyce mummy maneuver', 'mummy', 'mummy maneuver', 'maneuver']",1,0,0,0,0,0,0,0,0,0.125
92640,I'm completely satisfied with my results,0,m completely satisfy result,"['m', 'm completely', 'm completely satisfy', 'm completely satisfy result', 'completely', 'completely satisfy', 'completely satisfy result', 'satisfy', 'satisfy result', 'result']",0,0,0,0,0,0,0,0,1,0.125
