commentId,comment,classification,comment_processed,word_phrase_list,deal,deal staff,staff,similarity_score
102593,Dr. McGuire and the rest of the staff at Parkcrest made everything so easy.,0,rest staff parkcrest easy,"['rest', 'rest staff', 'rest staff parkcrest', 'rest staff parkcrest easy', 'staff', 'staff parkcrest', 'staff parkcrest easy', 'parkcrest', 'parkcrest easy', 'easy']",0,0,1,0.5
163175,"No again , the doctor comes in makes a VERY BIG DEAL about your lines and says she needs to come up with a recommendation",1,doctor come make big deal line say need come recommendation,"['doctor', 'doctor come', 'doctor come make', 'doctor come make big', 'doctor come make big deal', 'doctor come make big deal line', 'doctor come make big deal line say', 'doctor come make big deal line say need', 'doctor come make big deal line say need come', 'doctor come make big deal line say need come recommendation', 'come', 'come make', 'come make big', 'come make big deal', 'come make big deal line', 'come make big deal line say', 'come make big deal line say need', 'come make big deal line say need come', 'come make big deal line say need come recommendation', 'make', 'make big', 'make big deal', 'make big deal line', 'make big deal line say', 'make big deal line say need', 'make big deal line say need come', 'make big deal line say need come recommendation', 'big', 'big deal', 'big deal line', 'big deal line say', 'big deal line say need', 'big deal line say need come', 'big deal line say need come recommendation', 'deal', 'deal line', 'deal line say', 'deal line say need', 'deal line say need come', 'deal line say need come recommendation', 'line', 'line say', 'line say need', 'line say need come', 'line say need come recommendation', 'say', 'say need', 'say need come', 'say need come recommendation', 'need', 'need come', 'need come recommendation', 'come', 'come recommendation', 'recommendation']",1,0,0,0.5
82695,"Thanks Dr. Bregman and staff at Foot, Ankle and lower leg center",0,thanks staff foot ankle low leg center,"['thanks', 'thanks staff', 'thanks staff foot', 'thanks staff foot ankle', 'thanks staff foot ankle low', 'thanks staff foot ankle low leg', 'thanks staff foot ankle low leg center', 'staff', 'staff foot', 'staff foot ankle', 'staff foot ankle low', 'staff foot ankle low leg', 'staff foot ankle low leg center', 'foot', 'foot ankle', 'foot ankle low', 'foot ankle low leg', 'foot ankle low leg center', 'ankle', 'ankle low', 'ankle low leg', 'ankle low leg center', 'low', 'low leg', 'low leg center', 'leg', 'leg center', 'center']",0,0,1,0.5
165519,Never met the doctor but she needs to replace the entire front desk staff with some professionals.,1,meet doctor need replace entire desk staff professional,"['meet', 'meet doctor', 'meet doctor need', 'meet doctor need replace', 'meet doctor need replace entire', 'meet doctor need replace entire desk', 'meet doctor need replace entire desk staff', 'meet doctor need replace entire desk staff professional', 'doctor', 'doctor need', 'doctor need replace', 'doctor need replace entire', 'doctor need replace entire desk', 'doctor need replace entire desk staff', 'doctor need replace entire desk staff professional', 'need', 'need replace', 'need replace entire', 'need replace entire desk', 'need replace entire desk staff', 'need replace entire desk staff professional', 'replace', 'replace entire', 'replace entire desk', 'replace entire desk staff', 'replace entire desk staff professional', 'entire', 'entire desk', 'entire desk staff', 'entire desk staff professional', 'desk', 'desk staff', 'desk staff professional', 'staff', 'staff professional', 'professional']",0,0,1,0.5
150083,This man and his staff need.to be stopped from harming others.,1,man staff need stop harm,"['man', 'man staff', 'man staff need', 'man staff need stop', 'man staff need stop harm', 'staff', 'staff need', 'staff need stop', 'staff need stop harm', 'need', 'need stop', 'need stop harm', 'stop', 'stop harm', 'harm']",0,0,1,0.5
87852,So the staff here is really exceptional.,0,staff exceptional,"['staff', 'staff exceptional', 'exceptional']",0,0,1,0.5
140801,"His entire staff and office reflect a welcoming culture of medical excellence, patient comfort, and genuine concern.",0,entire staff office reflect welcome culture medical excellence patient comfort genuine concern,"['entire', 'entire staff', 'entire staff office', 'entire staff office reflect', 'entire staff office reflect welcome', 'entire staff office reflect welcome culture', 'entire staff office reflect welcome culture medical', 'entire staff office reflect welcome culture medical excellence', 'entire staff office reflect welcome culture medical excellence patient', 'entire staff office reflect welcome culture medical excellence patient comfort', 'entire staff office reflect welcome culture medical excellence patient comfort genuine', 'entire staff office reflect welcome culture medical excellence patient comfort genuine concern', 'staff', 'staff office', 'staff office reflect', 'staff office reflect welcome', 'staff office reflect welcome culture', 'staff office reflect welcome culture medical', 'staff office reflect welcome culture medical excellence', 'staff office reflect welcome culture medical excellence patient', 'staff office reflect welcome culture medical excellence patient comfort', 'staff office reflect welcome culture medical excellence patient comfort genuine', 'staff office reflect welcome culture medical excellence patient comfort genuine concern', 'office', 'office reflect', 'office reflect welcome', 'office reflect welcome culture', 'office reflect welcome culture medical', 'office reflect welcome culture medical excellence', 'office reflect welcome culture medical excellence patient', 'office reflect welcome culture medical excellence patient comfort', 'office reflect welcome culture medical excellence patient comfort genuine', 'office reflect welcome culture medical excellence patient comfort genuine concern', 'reflect', 'reflect welcome', 'reflect welcome culture', 'reflect welcome culture medical', 'reflect welcome culture medical excellence', 'reflect welcome culture medical excellence patient', 'reflect welcome culture medical excellence patient comfort', 'reflect welcome culture medical excellence patient comfort genuine', 'reflect welcome culture medical excellence patient comfort genuine concern', 'welcome', 'welcome culture', 'welcome culture medical', 'welcome culture medical excellence', 'welcome culture medical excellence patient', 'welcome culture medical excellence patient comfort', 'welcome culture medical excellence patient comfort genuine', 'welcome culture medical excellence patient comfort genuine concern', 'culture', 'culture medical', 'culture medical excellence', 'culture medical excellence patient', 'culture medical excellence patient comfort', 'culture medical excellence patient comfort genuine', 'culture medical excellence patient comfort genuine concern', 'medical', 'medical excellence', 'medical excellence patient', 'medical excellence patient comfort', 'medical excellence patient comfort genuine', 'medical excellence patient comfort genuine concern', 'excellence', 'excellence patient', 'excellence patient comfort', 'excellence patient comfort genuine', 'excellence patient comfort genuine concern', 'patient', 'patient comfort', 'patient comfort genuine', 'patient comfort genuine concern', 'comfort', 'comfort genuine', 'comfort genuine concern', 'genuine', 'genuine concern', 'concern']",0,0,1,0.5
83461,and medical staff are overly generous in assisting with any questions.,0,medical staff overlay generous assist question,"['medical', 'medical staff', 'medical staff overlay', 'medical staff overlay generous', 'medical staff overlay generous assist', 'medical staff overlay generous assist question', 'staff', 'staff overlay', 'staff overlay generous', 'staff overlay generous assist', 'staff overlay generous assist question', 'overlay', 'overlay generous', 'overlay generous assist', 'overlay generous assist question', 'generous', 'generous assist', 'generous assist question', 'assist', 'assist question', 'question']",0,0,1,0.5
114069,Great Doctor Great staff Love the results of everything I have had done!,0,great doctor great staff love result,"['great', 'great doctor', 'great doctor great', 'great doctor great staff', 'great doctor great staff love', 'great doctor great staff love result', 'doctor', 'doctor great', 'doctor great staff', 'doctor great staff love', 'doctor great staff love result', 'great', 'great staff', 'great staff love', 'great staff love result', 'staff', 'staff love', 'staff love result', 'love', 'love result', 'result']",0,0,1,0.5
128270,Office staff was rude. ?The office is only open three days a week,1,office staff rude office open week,"['office', 'office staff', 'office staff rude', 'office staff rude office', 'office staff rude office open', 'office staff rude office open week', 'staff', 'staff rude', 'staff rude office', 'staff rude office open', 'staff rude office open week', 'rude', 'rude office', 'rude office open', 'rude office open week', 'office', 'office open', 'office open week', 'open', 'open week', 'week']",0,0,1,0.5
