commentId,comment,classification,comment_processed,word_phrase_list,technical,kind,kind thorough,thorough,thorough thoughtful,thoughtful,discomfort,discomfort have,have,have mammogram,mammogram,similarity_score
95129,Very thoughtful of patients concerns.,0,thoughtful patient concern,"['thoughtful', 'thoughtful patient', 'thoughtful patient concern', 'patient', 'patient concern', 'concern']",0,0,0,0,0,1,0,0,0,0,0,0.03571428571428571
187501,too like what kind of pillow to buy or types of back patches,0,like kind pillow buy type patch,"['like', 'like kind', 'like kind pillow', 'like kind pillow buy', 'like kind pillow buy type', 'like kind pillow buy type patch', 'kind', 'kind pillow', 'kind pillow buy', 'kind pillow buy type', 'kind pillow buy type patch', 'pillow', 'pillow buy', 'pillow buy type', 'pillow buy type patch', 'buy', 'buy type', 'buy type patch', 'type', 'type patch', 'patch']",0,1,0,0,0,0,0,0,0,0,0,0.03571428571428571
65208,He was very thorough and down to earth,0,thorough earth,"['thorough', 'thorough earth', 'earth']",0,0,0,1,0,0,0,0,0,0,0,0.03571428571428571
134920,The pain I was having in my legs has decreased nice I had the procedure 6 weeks ago.,0,pain have leg decrease nice,"['pain', 'pain have', 'pain have leg', 'pain have leg decrease', 'pain have leg decrease nice', 'have', 'have leg', 'have leg decrease', 'have leg decrease nice', 'leg', 'leg decrease', 'leg decrease nice', 'decrease', 'decrease nice', 'nice']",0,0,0,0,0,0,0,0,1,0,0,0.03571428571428571
119749,The anesthetist did his job very well but caused a minor discomfort with the comment is this hiv a misprint or...,0,job cause minor discomfort comment imprint,"['job', 'job cause', 'job cause minor', 'job cause minor discomfort', 'job cause minor discomfort comment', 'job cause minor discomfort comment imprint', 'cause', 'cause minor', 'cause minor discomfort', 'cause minor discomfort comment', 'cause minor discomfort comment imprint', 'minor', 'minor discomfort', 'minor discomfort comment', 'minor discomfort comment imprint', 'discomfort', 'discomfort comment', 'discomfort comment imprint', 'comment', 'comment imprint', 'imprint']",0,0,0,0,0,0,1,0,0,0,0,0.03571428571428571
68095,I am an afficionado of surgeons having had extensive work with a number of highly regarded leaders in their field and am most impressed by Dr Haworth.,0,afficionado surgeon have extensive work number highly regard leader field impress,"['afficionado', 'afficionado surgeon', 'afficionado surgeon have', 'afficionado surgeon have extensive', 'afficionado surgeon have extensive work', 'afficionado surgeon have extensive work number', 'afficionado surgeon have extensive work number highly', 'afficionado surgeon have extensive work number highly regard', 'afficionado surgeon have extensive work number highly regard leader', 'afficionado surgeon have extensive work number highly regard leader field', 'afficionado surgeon have extensive work number highly regard leader field impress', 'surgeon', 'surgeon have', 'surgeon have extensive', 'surgeon have extensive work', 'surgeon have extensive work number', 'surgeon have extensive work number highly', 'surgeon have extensive work number highly regard', 'surgeon have extensive work number highly regard leader', 'surgeon have extensive work number highly regard leader field', 'surgeon have extensive work number highly regard leader field impress', 'have', 'have extensive', 'have extensive work', 'have extensive work number', 'have extensive work number highly', 'have extensive work number highly regard', 'have extensive work number highly regard leader', 'have extensive work number highly regard leader field', 'have extensive work number highly regard leader field impress', 'extensive', 'extensive work', 'extensive work number', 'extensive work number highly', 'extensive work number highly regard', 'extensive work number highly regard leader', 'extensive work number highly regard leader field', 'extensive work number highly regard leader field impress', 'work', 'work number', 'work number highly', 'work number highly regard', 'work number highly regard leader', 'work number highly regard leader field', 'work number highly regard leader field impress', 'number', 'number highly', 'number highly regard', 'number highly regard leader', 'number highly regard leader field', 'number highly regard leader field impress', 'highly', 'highly regard', 'highly regard leader', 'highly regard leader field', 'highly regard leader field impress', 'regard', 'regard leader', 'regard leader field', 'regard leader field impress', 'leader', 'leader field', 'leader field impress', 'field', 'field impress', 'impress']",0,0,0,0,0,0,0,0,1,0,0,0.03571428571428571
99625,He was very thorough and asked if I had any specific questions.,0,thorough ask specific question,"['thorough', 'thorough ask', 'thorough ask specific', 'thorough ask specific question', 'ask', 'ask specific', 'ask specific question', 'specific', 'specific question', 'question']",0,0,0,1,0,0,0,0,0,0,0,0.03571428571428571
154158,I can't read a book or any kind of label without a strong magnifying glass.,1,read book kind label strong magnify glass,"['read', 'read book', 'read book kind', 'read book kind label', 'read book kind label strong', 'read book kind label strong magnify', 'read book kind label strong magnify glass', 'book', 'book kind', 'book kind label', 'book kind label strong', 'book kind label strong magnify', 'book kind label strong magnify glass', 'kind', 'kind label', 'kind label strong', 'kind label strong magnify', 'kind label strong magnify glass', 'label', 'label strong', 'label strong magnify', 'label strong magnify glass', 'strong', 'strong magnify', 'strong magnify glass', 'magnify', 'magnify glass', 'glass']",0,1,0,0,0,0,0,0,0,0,0,0.03571428571428571
133948,Nancy Crowell is so kind and encouraging in dealing with my diabetes.,0,kind encourage deal diabetes,"['kind', 'kind encourage', 'kind encourage deal', 'kind encourage deal diabetes', 'encourage', 'encourage deal', 'encourage deal diabetes', 'deal', 'deal diabetes', 'diabetes']",0,1,0,0,0,0,0,0,0,0,0,0.03571428571428571
147362,I am five years post breast cancer and was still having so many side effects from no estrogen and chemo.,1,post breast cancer have effect no nitrogen,"['post', 'post breast', 'post breast cancer', 'post breast cancer have', 'post breast cancer have effect', 'post breast cancer have effect no', 'post breast cancer have effect no nitrogen', 'breast', 'breast cancer', 'breast cancer have', 'breast cancer have effect', 'breast cancer have effect no', 'breast cancer have effect no nitrogen', 'cancer', 'cancer have', 'cancer have effect', 'cancer have effect no', 'cancer have effect no nitrogen', 'have', 'have effect', 'have effect no', 'have effect no nitrogen', 'effect', 'effect no', 'effect no nitrogen', 'no', 'no nitrogen', 'nitrogen']",0,0,0,0,0,0,0,0,1,0,0,0.03571428571428571
