commentId,comment,classification,comment_processed,word_phrase_list,alliance,walk,amaze,similarity_score
162742,They were very attentive and advised me on how to keep my skin looking even more amazing than it already does.,0,attentive advise skin look amaze,"['attentive', 'attentive advise', 'attentive advise skin', 'attentive advise skin look', 'attentive advise skin look amaze', 'advise', 'advise skin', 'advise skin look', 'advise skin look amaze', 'skin', 'skin look', 'skin look amaze', 'look', 'look amaze', 'amaze']",0,0,1,0.16666666666666666
87685,"and together, they form an amazing team!",0,form amaze team,"['form', 'form amaze', 'form amaze team', 'amaze', 'amaze team', 'team']",0,0,1,0.16666666666666666
145055,"I cant wait to try his CoolSculpt, many of my friends have done it and have seen amazing results.",0,wait try coolsculpt friend see amaze result,"['wait', 'wait try', 'wait try coolsculpt', 'wait try coolsculpt friend', 'wait try coolsculpt friend see', 'wait try coolsculpt friend see amaze', 'wait try coolsculpt friend see amaze result', 'try', 'try coolsculpt', 'try coolsculpt friend', 'try coolsculpt friend see', 'try coolsculpt friend see amaze', 'try coolsculpt friend see amaze result', 'coolsculpt', 'coolsculpt friend', 'coolsculpt friend see', 'coolsculpt friend see amaze', 'coolsculpt friend see amaze result', 'friend', 'friend see', 'friend see amaze', 'friend see amaze result', 'see', 'see amaze', 'see amaze result', 'amaze', 'amaze result', 'result']",0,0,1,0.16666666666666666
140496,Dr is amazing the front staff needs to learn customer service!,1,dr amaze staff need learn customer service,"['dr', 'dr amaze', 'dr amaze staff', 'dr amaze staff need', 'dr amaze staff need learn', 'dr amaze staff need learn customer', 'dr amaze staff need learn customer service', 'amaze', 'amaze staff', 'amaze staff need', 'amaze staff need learn', 'amaze staff need learn customer', 'amaze staff need learn customer service', 'staff', 'staff need', 'staff need learn', 'staff need learn customer', 'staff need learn customer service', 'need', 'need learn', 'need learn customer', 'need learn customer service', 'learn', 'learn customer', 'learn customer service', 'customer', 'customer service', 'service']",0,0,1,0.16666666666666666
92308,and personally called me after the surgery to follow up -- amazing!,0,personally call surgery follow amaze,"['personally', 'personally call', 'personally call surgery', 'personally call surgery follow', 'personally call surgery follow amaze', 'call', 'call surgery', 'call surgery follow', 'call surgery follow amaze', 'surgery', 'surgery follow', 'surgery follow amaze', 'follow', 'follow amaze', 'amaze']",0,0,1,0.16666666666666666
82122,I've never had such an amazing dental visit!,0,amaze dental visit,"['amaze', 'amaze dental', 'amaze dental visit', 'dental', 'dental visit', 'visit']",0,0,1,0.16666666666666666
68459,"I was given an appointment a day after I called, which was amazing because I was uncomfortable and in pain.",0,give appointment call amaze uncomfortable pain,"['give', 'give appointment', 'give appointment call', 'give appointment call amaze', 'give appointment call amaze uncomfortable', 'give appointment call amaze uncomfortable pain', 'appointment', 'appointment call', 'appointment call amaze', 'appointment call amaze uncomfortable', 'appointment call amaze uncomfortable pain', 'call', 'call amaze', 'call amaze uncomfortable', 'call amaze uncomfortable pain', 'amaze', 'amaze uncomfortable', 'amaze uncomfortable pain', 'uncomfortable', 'uncomfortable pain', 'pain']",0,0,1,0.16666666666666666
159826,When I walked in I was told she was behind 2 hours.,1,walk tell,"['walk', 'walk tell', 'tell']",0,1,0,0.16666666666666666
118535,Dr. Hamawy and his staff were absolutely amazing throughout my experiences with them!,0,dr hamawy staff absolutely amaze experience,"['dr', 'dr hamawy', 'dr hamawy staff', 'dr hamawy staff absolutely', 'dr hamawy staff absolutely amaze', 'dr hamawy staff absolutely amaze experience', 'hamawy', 'hamawy staff', 'hamawy staff absolutely', 'hamawy staff absolutely amaze', 'hamawy staff absolutely amaze experience', 'staff', 'staff absolutely', 'staff absolutely amaze', 'staff absolutely amaze experience', 'absolutely', 'absolutely amaze', 'absolutely amaze experience', 'amaze', 'amaze experience', 'experience']",0,0,1,0.16666666666666666
139458,he's amazing and you would be crazy not to go to him for treatment because he is all that,0,amaze crazy not treatment,"['amaze', 'amaze crazy', 'amaze crazy not', 'amaze crazy not treatment', 'crazy', 'crazy not', 'crazy not treatment', 'not', 'not treatment', 'treatment']",0,0,1,0.16666666666666666
171636,and can't do that anymore because the more I walk the worse the pain gets.,1,anymore walk bad pain get,"['anymore', 'anymore walk', 'anymore walk bad', 'anymore walk bad pain', 'anymore walk bad pain get', 'walk', 'walk bad', 'walk bad pain', 'walk bad pain get', 'bad', 'bad pain', 'bad pain get', 'pain', 'pain get', 'get']",0,1,0,0.16666666666666666
133372,Dr. Becker and the girls in the office are amazing and so kind.,0,girl office amaze kind,"['girl', 'girl office', 'girl office amaze', 'girl office amaze kind', 'office', 'office amaze', 'office amaze kind', 'amaze', 'amaze kind', 'kind']",0,0,1,0.16666666666666666
