commentId,comment,classification,comment_processed,word_phrase_list,give,give option,option,option avoid,avoid,extra,extra scar,scar,extra cost,cost,similarity_score
127042,IF YOU GO HERE ASK WHAT HE'S DOING AND WHAT IT WILL COST.,1,ask s cost,"['ask', 'ask s', 'ask s cost', 's', 's cost', 'cost']",0,0,0,0,0,0,0,0,0,1,0.15625
78599,"the dentist recommended several things that cost a lot of money,",1,dentist recommend thing cost lot money,"['dentist', 'dentist recommend', 'dentist recommend thing', 'dentist recommend thing cost', 'dentist recommend thing cost lot', 'dentist recommend thing cost lot money', 'recommend', 'recommend thing', 'recommend thing cost', 'recommend thing cost lot', 'recommend thing cost lot money', 'thing', 'thing cost', 'thing cost lot', 'thing cost lot money', 'cost', 'cost lot', 'cost lot money', 'lot', 'lot money', 'money']",0,0,0,0,0,0,0,0,0,1,0.15625
150658,"However, it's eating me up not sharing my story so that others can avoid what I'm going through now.",1,eat sharing story avoid m go,"['eat', 'eat sharing', 'eat sharing story', 'eat sharing story avoid', 'eat sharing story avoid m', 'eat sharing story avoid m go', 'sharing', 'sharing story', 'sharing story avoid', 'sharing story avoid m', 'sharing story avoid m go', 'story', 'story avoid', 'story avoid m', 'story avoid m go', 'avoid', 'avoid m', 'avoid m go', 'm', 'm go', 'go']",0,0,0,0,1,0,0,0,0,0,0.15625
169538,"As for being a quack, he did lots and lots of prolotherapy injections without ever giving a diagnosis",1,quick lot lot prolotherapy injection give diagnosis,"['quick', 'quick lot', 'quick lot lot', 'quick lot lot prolotherapy', 'quick lot lot prolotherapy injection', 'quick lot lot prolotherapy injection give', 'quick lot lot prolotherapy injection give diagnosis', 'lot', 'lot lot', 'lot lot prolotherapy', 'lot lot prolotherapy injection', 'lot lot prolotherapy injection give', 'lot lot prolotherapy injection give diagnosis', 'lot', 'lot prolotherapy', 'lot prolotherapy injection', 'lot prolotherapy injection give', 'lot prolotherapy injection give diagnosis', 'prolotherapy', 'prolotherapy injection', 'prolotherapy injection give', 'prolotherapy injection give diagnosis', 'injection', 'injection give', 'injection give diagnosis', 'give', 'give diagnosis', 'diagnosis']",1,0,0,0,0,0,0,0,0,0,0.15625
93711,And the little extra touch (hands dipped in paraffin during treatments) are appreciated:) The office is clean,0,little extra touch hand dip paraffin treatment appreciate office clean,"['little', 'little extra', 'little extra touch', 'little extra touch hand', 'little extra touch hand dip', 'little extra touch hand dip paraffin', 'little extra touch hand dip paraffin treatment', 'little extra touch hand dip paraffin treatment appreciate', 'little extra touch hand dip paraffin treatment appreciate office', 'little extra touch hand dip paraffin treatment appreciate office clean', 'extra', 'extra touch', 'extra touch hand', 'extra touch hand dip', 'extra touch hand dip paraffin', 'extra touch hand dip paraffin treatment', 'extra touch hand dip paraffin treatment appreciate', 'extra touch hand dip paraffin treatment appreciate office', 'extra touch hand dip paraffin treatment appreciate office clean', 'touch', 'touch hand', 'touch hand dip', 'touch hand dip paraffin', 'touch hand dip paraffin treatment', 'touch hand dip paraffin treatment appreciate', 'touch hand dip paraffin treatment appreciate office', 'touch hand dip paraffin treatment appreciate office clean', 'hand', 'hand dip', 'hand dip paraffin', 'hand dip paraffin treatment', 'hand dip paraffin treatment appreciate', 'hand dip paraffin treatment appreciate office', 'hand dip paraffin treatment appreciate office clean', 'dip', 'dip paraffin', 'dip paraffin treatment', 'dip paraffin treatment appreciate', 'dip paraffin treatment appreciate office', 'dip paraffin treatment appreciate office clean', 'paraffin', 'paraffin treatment', 'paraffin treatment appreciate', 'paraffin treatment appreciate office', 'paraffin treatment appreciate office clean', 'treatment', 'treatment appreciate', 'treatment appreciate office', 'treatment appreciate office clean', 'appreciate', 'appreciate office', 'appreciate office clean', 'office', 'office clean', 'clean']",0,0,0,0,0,1,0,0,0,0,0.3125
166832,"a Doctor who would tolerate his staff bullying a patient? "" Scary right?",1,doctor tolerate staff build patient scar right,"['doctor', 'doctor tolerate', 'doctor tolerate staff', 'doctor tolerate staff build', 'doctor tolerate staff build patient', 'doctor tolerate staff build patient scar', 'doctor tolerate staff build patient scar right', 'tolerate', 'tolerate staff', 'tolerate staff build', 'tolerate staff build patient', 'tolerate staff build patient scar', 'tolerate staff build patient scar right', 'staff', 'staff build', 'staff build patient', 'staff build patient scar', 'staff build patient scar right', 'build', 'build patient', 'build patient scar', 'build patient scar right', 'patient', 'patient scar', 'patient scar right', 'scar', 'scar right', 'right']",0,0,0,0,0,0,0,1,0,0,0.15625
180497,We decided that a lift with implants would be the best option,0,decide lift plant good option,"['decide', 'decide lift', 'decide lift plant', 'decide lift plant good', 'decide lift plant good option', 'lift', 'lift plant', 'lift plant good', 'lift plant good option', 'plant', 'plant good', 'plant good option', 'good', 'good option', 'option']",0,0,1,0,0,0,0,0,0,0,0.15625
149127,"He gave me a professional review and his opinion, I already had two other opinions.",0,give professional review opinion opinion,"['give', 'give professional', 'give professional review', 'give professional review opinion', 'give professional review opinion opinion', 'professional', 'professional review', 'professional review opinion', 'professional review opinion opinion', 'review', 'review opinion', 'review opinion opinion', 'opinion', 'opinion opinion', 'opinion']",1,0,0,0,0,0,0,0,0,0,0.15625
99000,"I told him what was bothering me, and right away, he gave me his professional opinion.",0,tell bother right away give professional opinion,"['tell', 'tell bother', 'tell bother right', 'tell bother right away', 'tell bother right away give', 'tell bother right away give professional', 'tell bother right away give professional opinion', 'bother', 'bother right', 'bother right away', 'bother right away give', 'bother right away give professional', 'bother right away give professional opinion', 'right', 'right away', 'right away give', 'right away give professional', 'right away give professional opinion', 'away', 'away give', 'away give professional', 'away give professional opinion', 'give', 'give professional', 'give professional opinion', 'professional', 'professional opinion', 'opinion']",1,0,0,0,0,0,0,0,0,0,0.15625
144145,but visible abdominal scarring and health issues...the health issues cost me thousands of dollars to assess and treat..which I still,1,visible abdominal scar health issuesthe health issue cost ass treatwhich,"['visible', 'visible abdominal', 'visible abdominal scar', 'visible abdominal scar health', 'visible abdominal scar health issuesthe', 'visible abdominal scar health issuesthe health', 'visible abdominal scar health issuesthe health issue', 'visible abdominal scar health issuesthe health issue cost', 'visible abdominal scar health issuesthe health issue cost ass', 'visible abdominal scar health issuesthe health issue cost ass treatwhich', 'abdominal', 'abdominal scar', 'abdominal scar health', 'abdominal scar health issuesthe', 'abdominal scar health issuesthe health', 'abdominal scar health issuesthe health issue', 'abdominal scar health issuesthe health issue cost', 'abdominal scar health issuesthe health issue cost ass', 'abdominal scar health issuesthe health issue cost ass treatwhich', 'scar', 'scar health', 'scar health issuesthe', 'scar health issuesthe health', 'scar health issuesthe health issue', 'scar health issuesthe health issue cost', 'scar health issuesthe health issue cost ass', 'scar health issuesthe health issue cost ass treatwhich', 'health', 'health issuesthe', 'health issuesthe health', 'health issuesthe health issue', 'health issuesthe health issue cost', 'health issuesthe health issue cost ass', 'health issuesthe health issue cost ass treatwhich', 'issuesthe', 'issuesthe health', 'issuesthe health issue', 'issuesthe health issue cost', 'issuesthe health issue cost ass', 'issuesthe health issue cost ass treatwhich', 'health', 'health issue', 'health issue cost', 'health issue cost ass', 'health issue cost ass treatwhich', 'issue', 'issue cost', 'issue cost ass', 'issue cost ass treatwhich', 'cost', 'cost ass', 'cost ass treatwhich', 'ass', 'ass treatwhich', 'treatwhich']",0,0,0,0,0,0,0,1,0,1,0.3125
92007,Dr. Joseph literally gave me my youth back!,0,literally give youth,"['literally', 'literally give', 'literally give youth', 'give', 'give youth', 'youth']",1,0,0,0,0,0,0,0,0,0,0.15625
90668,He gave me the natural results I was looking,0,give natural result look,"['give', 'give natural', 'give natural result', 'give natural result look', 'natural', 'natural result', 'natural result look', 'result', 'result look', 'look']",1,0,0,0,0,0,0,0,0,0,0.15625
155497,Avoid this place it's a TOTAL SCAM!!!!!!,1,avoid place total scar,"['avoid', 'avoid place', 'avoid place total', 'avoid place total scar', 'place', 'place total', 'place total scar', 'total', 'total scar', 'scar']",0,0,0,0,1,0,0,1,0,0,0.3125
68459,"I was given an appointment a day after I called, which was amazing because I was uncomfortable and in pain.",0,give appointment call amaze uncomfortable pain,"['give', 'give appointment', 'give appointment call', 'give appointment call amaze', 'give appointment call amaze uncomfortable', 'give appointment call amaze uncomfortable pain', 'appointment', 'appointment call', 'appointment call amaze', 'appointment call amaze uncomfortable', 'appointment call amaze uncomfortable pain', 'call', 'call amaze', 'call amaze uncomfortable', 'call amaze uncomfortable pain', 'amaze', 'amaze uncomfortable', 'amaze uncomfortable pain', 'uncomfortable', 'uncomfortable pain', 'pain']",1,0,0,0,0,0,0,0,0,0,0.15625
95160,"I like how the doctor did not mind giving me the Sam,e medications he had given me a year ago since they did help.",0,like doctor mind give meditation give help,"['like', 'like doctor', 'like doctor mind', 'like doctor mind give', 'like doctor mind give meditation', 'like doctor mind give meditation give', 'like doctor mind give meditation give help', 'doctor', 'doctor mind', 'doctor mind give', 'doctor mind give meditation', 'doctor mind give meditation give', 'doctor mind give meditation give help', 'mind', 'mind give', 'mind give meditation', 'mind give meditation give', 'mind give meditation give help', 'give', 'give meditation', 'give meditation give', 'give meditation give help', 'meditation', 'meditation give', 'meditation give help', 'give', 'give help', 'help']",1,0,0,0,0,0,0,0,0,0,0.15625
108452,"He gives you ample opportunity to express your concerns and then gives his expert opinion, filling in gaps that you may not understand.",0,give ample opportunity express concern give expert opinion fill gap understand,"['give', 'give ample', 'give ample opportunity', 'give ample opportunity express', 'give ample opportunity express concern', 'give ample opportunity express concern give', 'give ample opportunity express concern give expert', 'give ample opportunity express concern give expert opinion', 'give ample opportunity express concern give expert opinion fill', 'give ample opportunity express concern give expert opinion fill gap', 'give ample opportunity express concern give expert opinion fill gap understand', 'ample', 'ample opportunity', 'ample opportunity express', 'ample opportunity express concern', 'ample opportunity express concern give', 'ample opportunity express concern give expert', 'ample opportunity express concern give expert opinion', 'ample opportunity express concern give expert opinion fill', 'ample opportunity express concern give expert opinion fill gap', 'ample opportunity express concern give expert opinion fill gap understand', 'opportunity', 'opportunity express', 'opportunity express concern', 'opportunity express concern give', 'opportunity express concern give expert', 'opportunity express concern give expert opinion', 'opportunity express concern give expert opinion fill', 'opportunity express concern give expert opinion fill gap', 'opportunity express concern give expert opinion fill gap understand', 'express', 'express concern', 'express concern give', 'express concern give expert', 'express concern give expert opinion', 'express concern give expert opinion fill', 'express concern give expert opinion fill gap', 'express concern give expert opinion fill gap understand', 'concern', 'concern give', 'concern give expert', 'concern give expert opinion', 'concern give expert opinion fill', 'concern give expert opinion fill gap', 'concern give expert opinion fill gap understand', 'give', 'give expert', 'give expert opinion', 'give expert opinion fill', 'give expert opinion fill gap', 'give expert opinion fill gap understand', 'expert', 'expert opinion', 'expert opinion fill', 'expert opinion fill gap', 'expert opinion fill gap understand', 'opinion', 'opinion fill', 'opinion fill gap', 'opinion fill gap understand', 'fill', 'fill gap', 'fill gap understand', 'gap', 'gap understand', 'understand']",1,0,0,0,0,0,0,0,0,0,0.15625
87123,He has given me my life without continual pain back.,0,give life continual pain,"['give', 'give life', 'give life continual', 'give life continual pain', 'life', 'life continual', 'life continual pain', 'continual', 'continual pain', 'pain']",1,0,0,0,0,0,0,0,0,0,0.15625
167177,"Although I still have some health and body goals left to reach, this surgery has given me a stronger",0,health body goal leave reach surgery give strong,"['health', 'health body', 'health body goal', 'health body goal leave', 'health body goal leave reach', 'health body goal leave reach surgery', 'health body goal leave reach surgery give', 'health body goal leave reach surgery give strong', 'body', 'body goal', 'body goal leave', 'body goal leave reach', 'body goal leave reach surgery', 'body goal leave reach surgery give', 'body goal leave reach surgery give strong', 'goal', 'goal leave', 'goal leave reach', 'goal leave reach surgery', 'goal leave reach surgery give', 'goal leave reach surgery give strong', 'leave', 'leave reach', 'leave reach surgery', 'leave reach surgery give', 'leave reach surgery give strong', 'reach', 'reach surgery', 'reach surgery give', 'reach surgery give strong', 'surgery', 'surgery give', 'surgery give strong', 'give', 'give strong', 'strong']",1,0,0,0,0,0,0,0,0,0,0.15625
103928,I did not feel like I was given a lot of information once I was pregnant.,1,feel like give lot information pregnant,"['feel', 'feel like', 'feel like give', 'feel like give lot', 'feel like give lot information', 'feel like give lot information pregnant', 'like', 'like give', 'like give lot', 'like give lot information', 'like give lot information pregnant', 'give', 'give lot', 'give lot information', 'give lot information pregnant', 'lot', 'lot information', 'lot information pregnant', 'information', 'information pregnant', 'pregnant']",1,0,0,0,0,0,0,0,0,0,0.15625
147156,and either she did not catch the scarring occurring over my trabecular meshwork or she simply did not want to tell me.,1,catch scar occur trabecular net simply want tell,"['catch', 'catch scar', 'catch scar occur', 'catch scar occur trabecular', 'catch scar occur trabecular net', 'catch scar occur trabecular net simply', 'catch scar occur trabecular net simply want', 'catch scar occur trabecular net simply want tell', 'scar', 'scar occur', 'scar occur trabecular', 'scar occur trabecular net', 'scar occur trabecular net simply', 'scar occur trabecular net simply want', 'scar occur trabecular net simply want tell', 'occur', 'occur trabecular', 'occur trabecular net', 'occur trabecular net simply', 'occur trabecular net simply want', 'occur trabecular net simply want tell', 'trabecular', 'trabecular net', 'trabecular net simply', 'trabecular net simply want', 'trabecular net simply want tell', 'net', 'net simply', 'net simply want', 'net simply want tell', 'simply', 'simply want', 'simply want tell', 'want', 'want tell', 'tell']",0,0,0,0,0,0,0,1,0,0,0.15625
