commentId,comment,classification,comment_processed,word_phrase_list,quote,cost,cost involve,involve,claim,important,important patient,patient,similarity_score
101267,but he inly wants what's best for you as the patient.,0,want s good patient,"['want', 'want s', 'want s good', 'want s good patient', 's', 's good', 's good patient', 'good', 'good patient', 'patient']",0,0,0,0,0,0,0,1,0.2
127042,IF YOU GO HERE ASK WHAT HE'S DOING AND WHAT IT WILL COST.,1,ask s cost,"['ask', 'ask s', 'ask s cost', 's', 's cost', 'cost']",0,1,0,0,0,0,0,0,0.2
69133,"His analysis and diagnosis are easy to understand, which is helpful for the patients to reach reasonable decisions.",0,analysis diagnosis easy understand helpful patient reach reasonable decision,"['analysis', 'analysis diagnosis', 'analysis diagnosis easy', 'analysis diagnosis easy understand', 'analysis diagnosis easy understand helpful', 'analysis diagnosis easy understand helpful patient', 'analysis diagnosis easy understand helpful patient reach', 'analysis diagnosis easy understand helpful patient reach reasonable', 'analysis diagnosis easy understand helpful patient reach reasonable decision', 'diagnosis', 'diagnosis easy', 'diagnosis easy understand', 'diagnosis easy understand helpful', 'diagnosis easy understand helpful patient', 'diagnosis easy understand helpful patient reach', 'diagnosis easy understand helpful patient reach reasonable', 'diagnosis easy understand helpful patient reach reasonable decision', 'easy', 'easy understand', 'easy understand helpful', 'easy understand helpful patient', 'easy understand helpful patient reach', 'easy understand helpful patient reach reasonable', 'easy understand helpful patient reach reasonable decision', 'understand', 'understand helpful', 'understand helpful patient', 'understand helpful patient reach', 'understand helpful patient reach reasonable', 'understand helpful patient reach reasonable decision', 'helpful', 'helpful patient', 'helpful patient reach', 'helpful patient reach reasonable', 'helpful patient reach reasonable decision', 'patient', 'patient reach', 'patient reach reasonable', 'patient reach reasonable decision', 'reach', 'reach reasonable', 'reach reasonable decision', 'reasonable', 'reasonable decision', 'decision']",0,0,0,0,0,0,0,1,0.2
95129,Very thoughtful of patients concerns.,0,thoughtful patient concern,"['thoughtful', 'thoughtful patient', 'thoughtful patient concern', 'patient', 'patient concern', 'concern']",0,0,0,0,0,0,0,1,0.2
91472,The sign of my vote of confidence is that my family of 6 are all patients.,0,sign vote confidence family patient,"['sign', 'sign vote', 'sign vote confidence', 'sign vote confidence family', 'sign vote confidence family patient', 'vote', 'vote confidence', 'vote confidence family', 'vote confidence family patient', 'confidence', 'confidence family', 'confidence family patient', 'family', 'family patient', 'patient']",0,0,0,0,0,0,0,1,0.2
78599,"the dentist recommended several things that cost a lot of money,",1,dentist recommend thing cost lot money,"['dentist', 'dentist recommend', 'dentist recommend thing', 'dentist recommend thing cost', 'dentist recommend thing cost lot', 'dentist recommend thing cost lot money', 'recommend', 'recommend thing', 'recommend thing cost', 'recommend thing cost lot', 'recommend thing cost lot money', 'thing', 'thing cost', 'thing cost lot', 'thing cost lot money', 'cost', 'cost lot', 'cost lot money', 'lot', 'lot money', 'money']",0,1,0,0,0,0,0,0,0.2
107951,She talks down to the patients and has horrible customer service.,1,talk patient atrocious customer service,"['talk', 'talk patient', 'talk patient atrocious', 'talk patient atrocious customer', 'talk patient atrocious customer service', 'patient', 'patient atrocious', 'patient atrocious customer', 'patient atrocious customer service', 'atrocious', 'atrocious customer', 'atrocious customer service', 'customer', 'customer service', 'service']",0,0,0,0,0,0,0,1,0.2
187600,"or any situation that requires a lawyers help for compensation, he will not take you as a patient!",1,situation require lawyer help compensation patient,"['situation', 'situation require', 'situation require lawyer', 'situation require lawyer help', 'situation require lawyer help compensation', 'situation require lawyer help compensation patient', 'require', 'require lawyer', 'require lawyer help', 'require lawyer help compensation', 'require lawyer help compensation patient', 'lawyer', 'lawyer help', 'lawyer help compensation', 'lawyer help compensation patient', 'help', 'help compensation', 'help compensation patient', 'compensation', 'compensation patient', 'patient']",0,0,0,0,0,0,0,1,0.2
104991,"Caring, capable, and totally patient oriented.",0,dare capable wholly patient torment,"['dare', 'dare capable', 'dare capable wholly', 'dare capable wholly patient', 'dare capable wholly patient torment', 'capable', 'capable wholly', 'capable wholly patient', 'capable wholly patient torment', 'wholly', 'wholly patient', 'wholly patient torment', 'patient', 'patient torment', 'torment']",0,0,0,0,0,0,0,1,0.2
67000,What worked well was the waiting time to be seen by a doctor and also seeing patients by the severity of their illness,0,work wait time see doctor see patient severity illness,"['work', 'work wait', 'work wait time', 'work wait time see', 'work wait time see doctor', 'work wait time see doctor see', 'work wait time see doctor see patient', 'work wait time see doctor see patient severity', 'work wait time see doctor see patient severity illness', 'wait', 'wait time', 'wait time see', 'wait time see doctor', 'wait time see doctor see', 'wait time see doctor see patient', 'wait time see doctor see patient severity', 'wait time see doctor see patient severity illness', 'time', 'time see', 'time see doctor', 'time see doctor see', 'time see doctor see patient', 'time see doctor see patient severity', 'time see doctor see patient severity illness', 'see', 'see doctor', 'see doctor see', 'see doctor see patient', 'see doctor see patient severity', 'see doctor see patient severity illness', 'doctor', 'doctor see', 'doctor see patient', 'doctor see patient severity', 'doctor see patient severity illness', 'see', 'see patient', 'see patient severity', 'see patient severity illness', 'patient', 'patient severity', 'patient severity illness', 'severity', 'severity illness', 'illness']",0,0,0,0,0,0,0,1,0.2
