commentId,comment,classification,comment_processed,word_phrase_list,clinic,cold,invite,similarity_score
104673,"Friendly, informative, happy I selected this clinic.",0,friendly information happy choose clinic,"['friendly', 'friendly information', 'friendly information happy', 'friendly information happy choose', 'friendly information happy choose clinic', 'information', 'information happy', 'information happy choose', 'information happy choose clinic', 'happy', 'happy choose', 'happy choose clinic', 'choose', 'choose clinic', 'clinic']",1,0,0,0.5
91662,and not feel like a monster :) The clinic is impeccable - I'm a neat freak/ germaphobe OCD person.,0,feel like monster clinic implacable m neat freak germaphobe old person,"['feel', 'feel like', 'feel like monster', 'feel like monster clinic', 'feel like monster clinic implacable', 'feel like monster clinic implacable m', 'feel like monster clinic implacable m neat', 'feel like monster clinic implacable m neat freak', 'feel like monster clinic implacable m neat freak germaphobe', 'feel like monster clinic implacable m neat freak germaphobe old', 'feel like monster clinic implacable m neat freak germaphobe old person', 'like', 'like monster', 'like monster clinic', 'like monster clinic implacable', 'like monster clinic implacable m', 'like monster clinic implacable m neat', 'like monster clinic implacable m neat freak', 'like monster clinic implacable m neat freak germaphobe', 'like monster clinic implacable m neat freak germaphobe old', 'like monster clinic implacable m neat freak germaphobe old person', 'monster', 'monster clinic', 'monster clinic implacable', 'monster clinic implacable m', 'monster clinic implacable m neat', 'monster clinic implacable m neat freak', 'monster clinic implacable m neat freak germaphobe', 'monster clinic implacable m neat freak germaphobe old', 'monster clinic implacable m neat freak germaphobe old person', 'clinic', 'clinic implacable', 'clinic implacable m', 'clinic implacable m neat', 'clinic implacable m neat freak', 'clinic implacable m neat freak germaphobe', 'clinic implacable m neat freak germaphobe old', 'clinic implacable m neat freak germaphobe old person', 'implacable', 'implacable m', 'implacable m neat', 'implacable m neat freak', 'implacable m neat freak germaphobe', 'implacable m neat freak germaphobe old', 'implacable m neat freak germaphobe old person', 'm', 'm neat', 'm neat freak', 'm neat freak germaphobe', 'm neat freak germaphobe old', 'm neat freak germaphobe old person', 'neat', 'neat freak', 'neat freak germaphobe', 'neat freak germaphobe old', 'neat freak germaphobe old person', 'freak', 'freak germaphobe', 'freak germaphobe old', 'freak germaphobe old person', 'germaphobe', 'germaphobe old', 'germaphobe old person', 'old', 'old person', 'person']",1,0,0,0.5
176731,Needless to say that I happily left the clinic that day with a firm date for my surgery.,0,needle happily leave clinic firm date surgery,"['needle', 'needle happily', 'needle happily leave', 'needle happily leave clinic', 'needle happily leave clinic firm', 'needle happily leave clinic firm date', 'needle happily leave clinic firm date surgery', 'happily', 'happily leave', 'happily leave clinic', 'happily leave clinic firm', 'happily leave clinic firm date', 'happily leave clinic firm date surgery', 'leave', 'leave clinic', 'leave clinic firm', 'leave clinic firm date', 'leave clinic firm date surgery', 'clinic', 'clinic firm', 'clinic firm date', 'clinic firm date surgery', 'firm', 'firm date', 'firm date surgery', 'date', 'date surgery', 'surgery']",1,0,0,0.5
156211,and assess my health are a true testament to the level of care The Clinic for Plastic Surgery provides for patients.,0,ass health true testament level care clinic plastic surgery provide patient,"['ass', 'ass health', 'ass health true', 'ass health true testament', 'ass health true testament level', 'ass health true testament level care', 'ass health true testament level care clinic', 'ass health true testament level care clinic plastic', 'ass health true testament level care clinic plastic surgery', 'ass health true testament level care clinic plastic surgery provide', 'ass health true testament level care clinic plastic surgery provide patient', 'health', 'health true', 'health true testament', 'health true testament level', 'health true testament level care', 'health true testament level care clinic', 'health true testament level care clinic plastic', 'health true testament level care clinic plastic surgery', 'health true testament level care clinic plastic surgery provide', 'health true testament level care clinic plastic surgery provide patient', 'true', 'true testament', 'true testament level', 'true testament level care', 'true testament level care clinic', 'true testament level care clinic plastic', 'true testament level care clinic plastic surgery', 'true testament level care clinic plastic surgery provide', 'true testament level care clinic plastic surgery provide patient', 'testament', 'testament level', 'testament level care', 'testament level care clinic', 'testament level care clinic plastic', 'testament level care clinic plastic surgery', 'testament level care clinic plastic surgery provide', 'testament level care clinic plastic surgery provide patient', 'level', 'level care', 'level care clinic', 'level care clinic plastic', 'level care clinic plastic surgery', 'level care clinic plastic surgery provide', 'level care clinic plastic surgery provide patient', 'care', 'care clinic', 'care clinic plastic', 'care clinic plastic surgery', 'care clinic plastic surgery provide', 'care clinic plastic surgery provide patient', 'clinic', 'clinic plastic', 'clinic plastic surgery', 'clinic plastic surgery provide', 'clinic plastic surgery provide patient', 'plastic', 'plastic surgery', 'plastic surgery provide', 'plastic surgery provide patient', 'surgery', 'surgery provide', 'surgery provide patient', 'provide', 'provide patient', 'patient']",1,0,0,0.5
139459,"this clinic is a rude busy clinic ,they ll tell you they are busy",1,clinic rude busy clinic ll tell busy,"['clinic', 'clinic rude', 'clinic rude busy', 'clinic rude busy clinic', 'clinic rude busy clinic ll', 'clinic rude busy clinic ll tell', 'clinic rude busy clinic ll tell busy', 'rude', 'rude busy', 'rude busy clinic', 'rude busy clinic ll', 'rude busy clinic ll tell', 'rude busy clinic ll tell busy', 'busy', 'busy clinic', 'busy clinic ll', 'busy clinic ll tell', 'busy clinic ll tell busy', 'clinic', 'clinic ll', 'clinic ll tell', 'clinic ll tell busy', 'll', 'll tell', 'll tell busy', 'tell', 'tell busy', 'busy']",1,0,0,0.5
126138,and they left me without help and unable to speak to anyone at the clinic.,1,leave help unable speak clinic,"['leave', 'leave help', 'leave help unable', 'leave help unable speak', 'leave help unable speak clinic', 'help', 'help unable', 'help unable speak', 'help unable speak clinic', 'unable', 'unable speak', 'unable speak clinic', 'speak', 'speak clinic', 'clinic']",1,0,0,0.5
122577,The clinic was super clean and everyone was friendly and understanding to the fact that I was late and the weather sucked.,0,clinic super clean friendly understanding fact late weather suck,"['clinic', 'clinic super', 'clinic super clean', 'clinic super clean friendly', 'clinic super clean friendly understanding', 'clinic super clean friendly understanding fact', 'clinic super clean friendly understanding fact late', 'clinic super clean friendly understanding fact late weather', 'clinic super clean friendly understanding fact late weather suck', 'super', 'super clean', 'super clean friendly', 'super clean friendly understanding', 'super clean friendly understanding fact', 'super clean friendly understanding fact late', 'super clean friendly understanding fact late weather', 'super clean friendly understanding fact late weather suck', 'clean', 'clean friendly', 'clean friendly understanding', 'clean friendly understanding fact', 'clean friendly understanding fact late', 'clean friendly understanding fact late weather', 'clean friendly understanding fact late weather suck', 'friendly', 'friendly understanding', 'friendly understanding fact', 'friendly understanding fact late', 'friendly understanding fact late weather', 'friendly understanding fact late weather suck', 'understanding', 'understanding fact', 'understanding fact late', 'understanding fact late weather', 'understanding fact late weather suck', 'fact', 'fact late', 'fact late weather', 'fact late weather suck', 'late', 'late weather', 'late weather suck', 'weather', 'weather suck', 'suck']",1,0,0,0.5
92157,Having the surgery center right in his office was great not having to go to a big hospital or clinic made the procedure very convenient,0,have surgery center right office great have big hospital clinic procedure convenient,"['have', 'have surgery', 'have surgery center', 'have surgery center right', 'have surgery center right office', 'have surgery center right office great', 'have surgery center right office great have', 'have surgery center right office great have big', 'have surgery center right office great have big hospital', 'have surgery center right office great have big hospital clinic', 'have surgery center right office great have big hospital clinic procedure', 'have surgery center right office great have big hospital clinic procedure convenient', 'surgery', 'surgery center', 'surgery center right', 'surgery center right office', 'surgery center right office great', 'surgery center right office great have', 'surgery center right office great have big', 'surgery center right office great have big hospital', 'surgery center right office great have big hospital clinic', 'surgery center right office great have big hospital clinic procedure', 'surgery center right office great have big hospital clinic procedure convenient', 'center', 'center right', 'center right office', 'center right office great', 'center right office great have', 'center right office great have big', 'center right office great have big hospital', 'center right office great have big hospital clinic', 'center right office great have big hospital clinic procedure', 'center right office great have big hospital clinic procedure convenient', 'right', 'right office', 'right office great', 'right office great have', 'right office great have big', 'right office great have big hospital', 'right office great have big hospital clinic', 'right office great have big hospital clinic procedure', 'right office great have big hospital clinic procedure convenient', 'office', 'office great', 'office great have', 'office great have big', 'office great have big hospital', 'office great have big hospital clinic', 'office great have big hospital clinic procedure', 'office great have big hospital clinic procedure convenient', 'great', 'great have', 'great have big', 'great have big hospital', 'great have big hospital clinic', 'great have big hospital clinic procedure', 'great have big hospital clinic procedure convenient', 'have', 'have big', 'have big hospital', 'have big hospital clinic', 'have big hospital clinic procedure', 'have big hospital clinic procedure convenient', 'big', 'big hospital', 'big hospital clinic', 'big hospital clinic procedure', 'big hospital clinic procedure convenient', 'hospital', 'hospital clinic', 'hospital clinic procedure', 'hospital clinic procedure convenient', 'clinic', 'clinic procedure', 'clinic procedure convenient', 'procedure', 'procedure convenient', 'convenient']",1,0,0,0.5
153612,"and he is very cold and defensive when you approach him in a ""how do we fix this?""",1,cold defensive approach fix,"['cold', 'cold defensive', 'cold defensive approach', 'cold defensive approach fix', 'defensive', 'defensive approach', 'defensive approach fix', 'approach', 'approach fix', 'fix']",0,1,0,0.5
173455,"and you live on the Peninsula or even in the city, I highly recommend that you visit the Allergy and Asthma Clinic.",0,live peninsula city highly recommend visit clergy asthma clinic,"['live', 'live peninsula', 'live peninsula city', 'live peninsula city highly', 'live peninsula city highly recommend', 'live peninsula city highly recommend visit', 'live peninsula city highly recommend visit clergy', 'live peninsula city highly recommend visit clergy asthma', 'live peninsula city highly recommend visit clergy asthma clinic', 'peninsula', 'peninsula city', 'peninsula city highly', 'peninsula city highly recommend', 'peninsula city highly recommend visit', 'peninsula city highly recommend visit clergy', 'peninsula city highly recommend visit clergy asthma', 'peninsula city highly recommend visit clergy asthma clinic', 'city', 'city highly', 'city highly recommend', 'city highly recommend visit', 'city highly recommend visit clergy', 'city highly recommend visit clergy asthma', 'city highly recommend visit clergy asthma clinic', 'highly', 'highly recommend', 'highly recommend visit', 'highly recommend visit clergy', 'highly recommend visit clergy asthma', 'highly recommend visit clergy asthma clinic', 'recommend', 'recommend visit', 'recommend visit clergy', 'recommend visit clergy asthma', 'recommend visit clergy asthma clinic', 'visit', 'visit clergy', 'visit clergy asthma', 'visit clergy asthma clinic', 'clergy', 'clergy asthma', 'clergy asthma clinic', 'asthma', 'asthma clinic', 'clinic']",1,0,0,0.5
