commentId,comment,classification,comment_processed,word_phrase_list,pass,bougainvillea,clinic,little,little costly,costly,similarity_score
104673,"Friendly, informative, happy I selected this clinic.",0,friendly information happy choose clinic,"['friendly', 'friendly information', 'friendly information happy', 'friendly information happy choose', 'friendly information happy choose clinic', 'information', 'information happy', 'information happy choose', 'information happy choose clinic', 'happy', 'happy choose', 'happy choose clinic', 'choose', 'choose clinic', 'clinic']",0,0,1,0,0,0,0.2631578947368421
164352,"They shuffle back and forth, congregate while you wait without acknowledgement and pay little if any attention to details.",1,scuffle forth congregate wait acknowledgment pay little attention detail,"['scuffle', 'scuffle forth', 'scuffle forth congregate', 'scuffle forth congregate wait', 'scuffle forth congregate wait acknowledgment', 'scuffle forth congregate wait acknowledgment pay', 'scuffle forth congregate wait acknowledgment pay little', 'scuffle forth congregate wait acknowledgment pay little attention', 'scuffle forth congregate wait acknowledgment pay little attention detail', 'forth', 'forth congregate', 'forth congregate wait', 'forth congregate wait acknowledgment', 'forth congregate wait acknowledgment pay', 'forth congregate wait acknowledgment pay little', 'forth congregate wait acknowledgment pay little attention', 'forth congregate wait acknowledgment pay little attention detail', 'congregate', 'congregate wait', 'congregate wait acknowledgment', 'congregate wait acknowledgment pay', 'congregate wait acknowledgment pay little', 'congregate wait acknowledgment pay little attention', 'congregate wait acknowledgment pay little attention detail', 'wait', 'wait acknowledgment', 'wait acknowledgment pay', 'wait acknowledgment pay little', 'wait acknowledgment pay little attention', 'wait acknowledgment pay little attention detail', 'acknowledgment', 'acknowledgment pay', 'acknowledgment pay little', 'acknowledgment pay little attention', 'acknowledgment pay little attention detail', 'pay', 'pay little', 'pay little attention', 'pay little attention detail', 'little', 'little attention', 'little attention detail', 'attention', 'attention detail', 'detail']",0,0,0,1,0,0,0.2631578947368421
91662,and not feel like a monster :) The clinic is impeccable - I'm a neat freak/ germaphobe OCD person.,0,feel like monster clinic implacable m neat freak germaphobe old person,"['feel', 'feel like', 'feel like monster', 'feel like monster clinic', 'feel like monster clinic implacable', 'feel like monster clinic implacable m', 'feel like monster clinic implacable m neat', 'feel like monster clinic implacable m neat freak', 'feel like monster clinic implacable m neat freak germaphobe', 'feel like monster clinic implacable m neat freak germaphobe old', 'feel like monster clinic implacable m neat freak germaphobe old person', 'like', 'like monster', 'like monster clinic', 'like monster clinic implacable', 'like monster clinic implacable m', 'like monster clinic implacable m neat', 'like monster clinic implacable m neat freak', 'like monster clinic implacable m neat freak germaphobe', 'like monster clinic implacable m neat freak germaphobe old', 'like monster clinic implacable m neat freak germaphobe old person', 'monster', 'monster clinic', 'monster clinic implacable', 'monster clinic implacable m', 'monster clinic implacable m neat', 'monster clinic implacable m neat freak', 'monster clinic implacable m neat freak germaphobe', 'monster clinic implacable m neat freak germaphobe old', 'monster clinic implacable m neat freak germaphobe old person', 'clinic', 'clinic implacable', 'clinic implacable m', 'clinic implacable m neat', 'clinic implacable m neat freak', 'clinic implacable m neat freak germaphobe', 'clinic implacable m neat freak germaphobe old', 'clinic implacable m neat freak germaphobe old person', 'implacable', 'implacable m', 'implacable m neat', 'implacable m neat freak', 'implacable m neat freak germaphobe', 'implacable m neat freak germaphobe old', 'implacable m neat freak germaphobe old person', 'm', 'm neat', 'm neat freak', 'm neat freak germaphobe', 'm neat freak germaphobe old', 'm neat freak germaphobe old person', 'neat', 'neat freak', 'neat freak germaphobe', 'neat freak germaphobe old', 'neat freak germaphobe old person', 'freak', 'freak germaphobe', 'freak germaphobe old', 'freak germaphobe old person', 'germaphobe', 'germaphobe old', 'germaphobe old person', 'old', 'old person', 'person']",0,0,1,0,0,0,0.2631578947368421
93711,And the little extra touch (hands dipped in paraffin during treatments) are appreciated:) The office is clean,0,little extra touch hand dip paraffin treatment appreciate office clean,"['little', 'little extra', 'little extra touch', 'little extra touch hand', 'little extra touch hand dip', 'little extra touch hand dip paraffin', 'little extra touch hand dip paraffin treatment', 'little extra touch hand dip paraffin treatment appreciate', 'little extra touch hand dip paraffin treatment appreciate office', 'little extra touch hand dip paraffin treatment appreciate office clean', 'extra', 'extra touch', 'extra touch hand', 'extra touch hand dip', 'extra touch hand dip paraffin', 'extra touch hand dip paraffin treatment', 'extra touch hand dip paraffin treatment appreciate', 'extra touch hand dip paraffin treatment appreciate office', 'extra touch hand dip paraffin treatment appreciate office clean', 'touch', 'touch hand', 'touch hand dip', 'touch hand dip paraffin', 'touch hand dip paraffin treatment', 'touch hand dip paraffin treatment appreciate', 'touch hand dip paraffin treatment appreciate office', 'touch hand dip paraffin treatment appreciate office clean', 'hand', 'hand dip', 'hand dip paraffin', 'hand dip paraffin treatment', 'hand dip paraffin treatment appreciate', 'hand dip paraffin treatment appreciate office', 'hand dip paraffin treatment appreciate office clean', 'dip', 'dip paraffin', 'dip paraffin treatment', 'dip paraffin treatment appreciate', 'dip paraffin treatment appreciate office', 'dip paraffin treatment appreciate office clean', 'paraffin', 'paraffin treatment', 'paraffin treatment appreciate', 'paraffin treatment appreciate office', 'paraffin treatment appreciate office clean', 'treatment', 'treatment appreciate', 'treatment appreciate office', 'treatment appreciate office clean', 'appreciate', 'appreciate office', 'appreciate office clean', 'office', 'office clean', 'clean']",0,0,0,1,0,0,0.2631578947368421
124566,"I said hello to Dr. Moulthrop in passing, and he completely ignored me even though we made eye contact, and he heard me.",1,say hello pass completely ignore eye contact hear,"['say', 'say hello', 'say hello pass', 'say hello pass completely', 'say hello pass completely ignore', 'say hello pass completely ignore eye', 'say hello pass completely ignore eye contact', 'say hello pass completely ignore eye contact hear', 'hello', 'hello pass', 'hello pass completely', 'hello pass completely ignore', 'hello pass completely ignore eye', 'hello pass completely ignore eye contact', 'hello pass completely ignore eye contact hear', 'pass', 'pass completely', 'pass completely ignore', 'pass completely ignore eye', 'pass completely ignore eye contact', 'pass completely ignore eye contact hear', 'completely', 'completely ignore', 'completely ignore eye', 'completely ignore eye contact', 'completely ignore eye contact hear', 'ignore', 'ignore eye', 'ignore eye contact', 'ignore eye contact hear', 'eye', 'eye contact', 'eye contact hear', 'contact', 'contact hear', 'hear']",1,0,0,0,0,0,0.2631578947368421
59290,The facility itself could be a little bit nicer facility.,1,facility little bit nice facility,"['facility', 'facility little', 'facility little bit', 'facility little bit nice', 'facility little bit nice facility', 'little', 'little bit', 'little bit nice', 'little bit nice facility', 'bit', 'bit nice', 'bit nice facility', 'nice', 'nice facility', 'facility']",0,0,0,1,0,0,0.2631578947368421
176731,Needless to say that I happily left the clinic that day with a firm date for my surgery.,0,needle happily leave clinic firm date surgery,"['needle', 'needle happily', 'needle happily leave', 'needle happily leave clinic', 'needle happily leave clinic firm', 'needle happily leave clinic firm date', 'needle happily leave clinic firm date surgery', 'happily', 'happily leave', 'happily leave clinic', 'happily leave clinic firm', 'happily leave clinic firm date', 'happily leave clinic firm date surgery', 'leave', 'leave clinic', 'leave clinic firm', 'leave clinic firm date', 'leave clinic firm date surgery', 'clinic', 'clinic firm', 'clinic firm date', 'clinic firm date surgery', 'firm', 'firm date', 'firm date surgery', 'date', 'date surgery', 'surgery']",0,0,1,0,0,0,0.2631578947368421
156211,and assess my health are a true testament to the level of care The Clinic for Plastic Surgery provides for patients.,0,ass health true testament level care clinic plastic surgery provide patient,"['ass', 'ass health', 'ass health true', 'ass health true testament', 'ass health true testament level', 'ass health true testament level care', 'ass health true testament level care clinic', 'ass health true testament level care clinic plastic', 'ass health true testament level care clinic plastic surgery', 'ass health true testament level care clinic plastic surgery provide', 'ass health true testament level care clinic plastic surgery provide patient', 'health', 'health true', 'health true testament', 'health true testament level', 'health true testament level care', 'health true testament level care clinic', 'health true testament level care clinic plastic', 'health true testament level care clinic plastic surgery', 'health true testament level care clinic plastic surgery provide', 'health true testament level care clinic plastic surgery provide patient', 'true', 'true testament', 'true testament level', 'true testament level care', 'true testament level care clinic', 'true testament level care clinic plastic', 'true testament level care clinic plastic surgery', 'true testament level care clinic plastic surgery provide', 'true testament level care clinic plastic surgery provide patient', 'testament', 'testament level', 'testament level care', 'testament level care clinic', 'testament level care clinic plastic', 'testament level care clinic plastic surgery', 'testament level care clinic plastic surgery provide', 'testament level care clinic plastic surgery provide patient', 'level', 'level care', 'level care clinic', 'level care clinic plastic', 'level care clinic plastic surgery', 'level care clinic plastic surgery provide', 'level care clinic plastic surgery provide patient', 'care', 'care clinic', 'care clinic plastic', 'care clinic plastic surgery', 'care clinic plastic surgery provide', 'care clinic plastic surgery provide patient', 'clinic', 'clinic plastic', 'clinic plastic surgery', 'clinic plastic surgery provide', 'clinic plastic surgery provide patient', 'plastic', 'plastic surgery', 'plastic surgery provide', 'plastic surgery provide patient', 'surgery', 'surgery provide', 'surgery provide patient', 'provide', 'provide patient', 'patient']",0,0,1,0,0,0,0.2631578947368421
139459,"this clinic is a rude busy clinic ,they ll tell you they are busy",1,clinic rude busy clinic ll tell busy,"['clinic', 'clinic rude', 'clinic rude busy', 'clinic rude busy clinic', 'clinic rude busy clinic ll', 'clinic rude busy clinic ll tell', 'clinic rude busy clinic ll tell busy', 'rude', 'rude busy', 'rude busy clinic', 'rude busy clinic ll', 'rude busy clinic ll tell', 'rude busy clinic ll tell busy', 'busy', 'busy clinic', 'busy clinic ll', 'busy clinic ll tell', 'busy clinic ll tell busy', 'clinic', 'clinic ll', 'clinic ll tell', 'clinic ll tell busy', 'll', 'll tell', 'll tell busy', 'tell', 'tell busy', 'busy']",0,0,1,0,0,0,0.2631578947368421
57689,A little less waiting time in the waiting room would be nice.,1,little wait time wait room nice,"['little', 'little wait', 'little wait time', 'little wait time wait', 'little wait time wait room', 'little wait time wait room nice', 'wait', 'wait time', 'wait time wait', 'wait time wait room', 'wait time wait room nice', 'time', 'time wait', 'time wait room', 'time wait room nice', 'wait', 'wait room', 'wait room nice', 'room', 'room nice', 'nice']",0,0,0,1,0,0,0.2631578947368421
