commentId,comment,classification,comment_processed,word_phrase_list,move,move away,move away drive,away,away drive,drive,similarity_score
154636,Literally took my headache away...,0,literally take headache away,"['literally', 'literally take', 'literally take headache', 'literally take headache away', 'take', 'take headache', 'take headache away', 'headache', 'headache away', 'away']",0,0,0,1,0,0,0.125
176151,"Not only because my wrinkles will be going away,",0,not wrinkle go away,"['not', 'not wrinkle', 'not wrinkle go', 'not wrinkle go away', 'wrinkle', 'wrinkle go', 'wrinkle go away', 'go', 'go away', 'away']",0,0,0,1,0,0,0.125
135339,Excellent Service very Nice People n Always welcome you to take The Pain away.,0,excellent service nice people n welcome pain away,"['excellent', 'excellent service', 'excellent service nice', 'excellent service nice people', 'excellent service nice people n', 'excellent service nice people n welcome', 'excellent service nice people n welcome pain', 'excellent service nice people n welcome pain away', 'service', 'service nice', 'service nice people', 'service nice people n', 'service nice people n welcome', 'service nice people n welcome pain', 'service nice people n welcome pain away', 'nice', 'nice people', 'nice people n', 'nice people n welcome', 'nice people n welcome pain', 'nice people n welcome pain away', 'people', 'people n', 'people n welcome', 'people n welcome pain', 'people n welcome pain away', 'n', 'n welcome', 'n welcome pain', 'n welcome pain away', 'welcome', 'welcome pain', 'welcome pain away', 'pain', 'pain away', 'away']",0,0,0,1,0,0,0.047619047619047616
99000,"I told him what was bothering me, and right away, he gave me his professional opinion.",0,tell bother right away give professional opinion,"['tell', 'tell bother', 'tell bother right', 'tell bother right away', 'tell bother right away give', 'tell bother right away give professional', 'tell bother right away give professional opinion', 'bother', 'bother right', 'bother right away', 'bother right away give', 'bother right away give professional', 'bother right away give professional opinion', 'right', 'right away', 'right away give', 'right away give professional', 'right away give professional opinion', 'away', 'away give', 'away give professional', 'away give professional opinion', 'give', 'give professional', 'give professional opinion', 'professional', 'professional opinion', 'opinion']",0,0,0,1,0,0,0.058823529411764705
122351,"They just assume that people can make it after work, because they forget that you live 3 or more hours away.",1,assume people work forget live hour away,"['assume', 'assume people', 'assume people work', 'assume people work forget', 'assume people work forget live', 'assume people work forget live hour', 'assume people work forget live hour away', 'people', 'people work', 'people work forget', 'people work forget live', 'people work forget live hour', 'people work forget live hour away', 'work', 'work forget', 'work forget live', 'work forget live hour', 'work forget live hour away', 'forget', 'forget live', 'forget live hour', 'forget live hour away', 'live', 'live hour', 'live hour away', 'hour', 'hour away', 'away']",0,0,0,1,0,0,0.058823529411764705
96993,I have been going to Dr. Parker for almost 25 years and continue to drive to San Bruno,0,go continue drive,"['go', 'go continue', 'go continue drive', 'continue', 'continue drive', 'drive']",0,0,0,0,0,1,0.16666666666666666
104631,I had a problem with one eye and Dr. Angrist saw me right away even though I was a new patient.,0,problem eye see right away new patient,"['problem', 'problem eye', 'problem eye see', 'problem eye see right', 'problem eye see right away', 'problem eye see right away new', 'problem eye see right away new patient', 'eye', 'eye see', 'eye see right', 'eye see right away', 'eye see right away new', 'eye see right away new patient', 'see', 'see right', 'see right away', 'see right away new', 'see right away new patient', 'right', 'right away', 'right away new', 'right away new patient', 'away', 'away new', 'away new patient', 'new', 'new patient', 'patient']",0,0,0,1,0,0,0.058823529411764705
108664,I was surprised that he didn't try to force procedures or products on me and was considerate about moving forward with my options.,0,surprise try force procedure product considerate move forward option,"['surprise', 'surprise try', 'surprise try force', 'surprise try force procedure', 'surprise try force procedure product', 'surprise try force procedure product considerate', 'surprise try force procedure product considerate move', 'surprise try force procedure product considerate move forward', 'surprise try force procedure product considerate move forward option', 'try', 'try force', 'try force procedure', 'try force procedure product', 'try force procedure product considerate', 'try force procedure product considerate move', 'try force procedure product considerate move forward', 'try force procedure product considerate move forward option', 'force', 'force procedure', 'force procedure product', 'force procedure product considerate', 'force procedure product considerate move', 'force procedure product considerate move forward', 'force procedure product considerate move forward option', 'procedure', 'procedure product', 'procedure product considerate', 'procedure product considerate move', 'procedure product considerate move forward', 'procedure product considerate move forward option', 'product', 'product considerate', 'product considerate move', 'product considerate move forward', 'product considerate move forward option', 'considerate', 'considerate move', 'considerate move forward', 'considerate move forward option', 'move', 'move forward', 'move forward option', 'forward', 'forward option', 'option']",1,0,0,0,0,0,0.0392156862745098
125824,Told me to lift my leg (literally) and repeat and walked away.,1,tell lift leg literally repeat walk away,"['tell', 'tell lift', 'tell lift leg', 'tell lift leg literally', 'tell lift leg literally repeat', 'tell lift leg literally repeat walk', 'tell lift leg literally repeat walk away', 'lift', 'lift leg', 'lift leg literally', 'lift leg literally repeat', 'lift leg literally repeat walk', 'lift leg literally repeat walk away', 'leg', 'leg literally', 'leg literally repeat', 'leg literally repeat walk', 'leg literally repeat walk away', 'literally', 'literally repeat', 'literally repeat walk', 'literally repeat walk away', 'repeat', 'repeat walk', 'repeat walk away', 'walk', 'walk away', 'away']",0,0,0,1,0,0,0.058823529411764705
91752,"Its so clear how driven they are by patient satisfaction, because as excited as I am",0,clear drive patient satisfaction excite,"['clear', 'clear drive', 'clear drive patient', 'clear drive patient satisfaction', 'clear drive patient satisfaction excite', 'drive', 'drive patient', 'drive patient satisfaction', 'drive patient satisfaction excite', 'patient', 'patient satisfaction', 'patient satisfaction excite', 'satisfaction', 'satisfaction excite', 'excite']",0,0,0,0,0,1,0.09523809523809523
