commentId,comment,classification,comment_processed,word_phrase_list,little,little pain,pain,exceed,exceed expectation,expectation,similarity_score
92376,After surgery I was so happy and relieved and pain free that I tell everyone it is the best thing and,0,surgery happy relieve pain free tell good thing,"['surgery', 'surgery happy', 'surgery happy relieve', 'surgery happy relieve pain', 'surgery happy relieve pain free', 'surgery happy relieve pain free tell', 'surgery happy relieve pain free tell good', 'surgery happy relieve pain free tell good thing', 'happy', 'happy relieve', 'happy relieve pain', 'happy relieve pain free', 'happy relieve pain free tell', 'happy relieve pain free tell good', 'happy relieve pain free tell good thing', 'relieve', 'relieve pain', 'relieve pain free', 'relieve pain free tell', 'relieve pain free tell good', 'relieve pain free tell good thing', 'pain', 'pain free', 'pain free tell', 'pain free tell good', 'pain free tell good thing', 'free', 'free tell', 'free tell good', 'free tell good thing', 'tell', 'tell good', 'tell good thing', 'good', 'good thing', 'thing']",0,0,1,0,0,0,0.043478260869565216
134920,The pain I was having in my legs has decreased nice I had the procedure 6 weeks ago.,0,pain have leg decrease nice,"['pain', 'pain have', 'pain have leg', 'pain have leg decrease', 'pain have leg decrease nice', 'have', 'have leg', 'have leg decrease', 'have leg decrease nice', 'leg', 'leg decrease', 'leg decrease nice', 'decrease', 'decrease nice', 'nice']",0,0,1,0,0,0,0.08
164352,"They shuffle back and forth, congregate while you wait without acknowledgement and pay little if any attention to details.",1,scuffle forth congregate wait acknowledgment pay little attention detail,"['scuffle', 'scuffle forth', 'scuffle forth congregate', 'scuffle forth congregate wait', 'scuffle forth congregate wait acknowledgment', 'scuffle forth congregate wait acknowledgment pay', 'scuffle forth congregate wait acknowledgment pay little', 'scuffle forth congregate wait acknowledgment pay little attention', 'scuffle forth congregate wait acknowledgment pay little attention detail', 'forth', 'forth congregate', 'forth congregate wait', 'forth congregate wait acknowledgment', 'forth congregate wait acknowledgment pay', 'forth congregate wait acknowledgment pay little', 'forth congregate wait acknowledgment pay little attention', 'forth congregate wait acknowledgment pay little attention detail', 'congregate', 'congregate wait', 'congregate wait acknowledgment', 'congregate wait acknowledgment pay', 'congregate wait acknowledgment pay little', 'congregate wait acknowledgment pay little attention', 'congregate wait acknowledgment pay little attention detail', 'wait', 'wait acknowledgment', 'wait acknowledgment pay', 'wait acknowledgment pay little', 'wait acknowledgment pay little attention', 'wait acknowledgment pay little attention detail', 'acknowledgment', 'acknowledgment pay', 'acknowledgment pay little', 'acknowledgment pay little attention', 'acknowledgment pay little attention detail', 'pay', 'pay little', 'pay little attention', 'pay little attention detail', 'little', 'little attention', 'little attention detail', 'attention', 'attention detail', 'detail']",1,0,0,0,0,0,0.03636363636363636
152930,I would NOT trust him to operate on me when my pain is in my NECK and he cuts on my lower lumbar!!,1,not trust operate pain neck cut low lumbar,"['not', 'not trust', 'not trust operate', 'not trust operate pain', 'not trust operate pain neck', 'not trust operate pain neck cut', 'not trust operate pain neck cut low', 'not trust operate pain neck cut low lumbar', 'trust', 'trust operate', 'trust operate pain', 'trust operate pain neck', 'trust operate pain neck cut', 'trust operate pain neck cut low', 'trust operate pain neck cut low lumbar', 'operate', 'operate pain', 'operate pain neck', 'operate pain neck cut', 'operate pain neck cut low', 'operate pain neck cut low lumbar', 'pain', 'pain neck', 'pain neck cut', 'pain neck cut low', 'pain neck cut low lumbar', 'neck', 'neck cut', 'neck cut low', 'neck cut low lumbar', 'cut', 'cut low', 'cut low lumbar', 'low', 'low lumbar', 'lumbar']",0,0,1,0,0,0,0.043478260869565216
93711,And the little extra touch (hands dipped in paraffin during treatments) are appreciated:) The office is clean,0,little extra touch hand dip paraffin treatment appreciate office clean,"['little', 'little extra', 'little extra touch', 'little extra touch hand', 'little extra touch hand dip', 'little extra touch hand dip paraffin', 'little extra touch hand dip paraffin treatment', 'little extra touch hand dip paraffin treatment appreciate', 'little extra touch hand dip paraffin treatment appreciate office', 'little extra touch hand dip paraffin treatment appreciate office clean', 'extra', 'extra touch', 'extra touch hand', 'extra touch hand dip', 'extra touch hand dip paraffin', 'extra touch hand dip paraffin treatment', 'extra touch hand dip paraffin treatment appreciate', 'extra touch hand dip paraffin treatment appreciate office', 'extra touch hand dip paraffin treatment appreciate office clean', 'touch', 'touch hand', 'touch hand dip', 'touch hand dip paraffin', 'touch hand dip paraffin treatment', 'touch hand dip paraffin treatment appreciate', 'touch hand dip paraffin treatment appreciate office', 'touch hand dip paraffin treatment appreciate office clean', 'hand', 'hand dip', 'hand dip paraffin', 'hand dip paraffin treatment', 'hand dip paraffin treatment appreciate', 'hand dip paraffin treatment appreciate office', 'hand dip paraffin treatment appreciate office clean', 'dip', 'dip paraffin', 'dip paraffin treatment', 'dip paraffin treatment appreciate', 'dip paraffin treatment appreciate office', 'dip paraffin treatment appreciate office clean', 'paraffin', 'paraffin treatment', 'paraffin treatment appreciate', 'paraffin treatment appreciate office', 'paraffin treatment appreciate office clean', 'treatment', 'treatment appreciate', 'treatment appreciate office', 'treatment appreciate office clean', 'appreciate', 'appreciate office', 'appreciate office clean', 'office', 'office clean', 'clean']",1,0,0,0,0,0,0.03076923076923077
83633,However my pain remains about the same as when I entered the hospital 10 days ago.,1,pain remain enter hospital day ago,"['pain', 'pain remain', 'pain remain enter', 'pain remain enter hospital', 'pain remain enter hospital day', 'pain remain enter hospital day ago', 'remain', 'remain enter', 'remain enter hospital', 'remain enter hospital day', 'remain enter hospital day ago', 'enter', 'enter hospital', 'enter hospital day', 'enter hospital day ago', 'hospital', 'hospital day', 'hospital day ago', 'day', 'day ago', 'ago']",0,0,1,0,0,0,0.06451612903225806
59290,The facility itself could be a little bit nicer facility.,1,facility little bit nice facility,"['facility', 'facility little', 'facility little bit', 'facility little bit nice', 'facility little bit nice facility', 'little', 'little bit', 'little bit nice', 'little bit nice facility', 'bit', 'bit nice', 'bit nice facility', 'nice', 'nice facility', 'facility']",1,0,0,0,0,0,0.08
145957,and NO PAIN MEDICATION NOTHING An u have just had surgery I thought I was going to die from pain so bad!,1,no pain meditation u surgery think go die pain bad,"['no', 'no pain', 'no pain meditation', 'no pain meditation u', 'no pain meditation u surgery', 'no pain meditation u surgery think', 'no pain meditation u surgery think go', 'no pain meditation u surgery think go die', 'no pain meditation u surgery think go die pain', 'no pain meditation u surgery think go die pain bad', 'pain', 'pain meditation', 'pain meditation u', 'pain meditation u surgery', 'pain meditation u surgery think', 'pain meditation u surgery think go', 'pain meditation u surgery think go die', 'pain meditation u surgery think go die pain', 'pain meditation u surgery think go die pain bad', 'meditation', 'meditation u', 'meditation u surgery', 'meditation u surgery think', 'meditation u surgery think go', 'meditation u surgery think go die', 'meditation u surgery think go die pain', 'meditation u surgery think go die pain bad', 'u', 'u surgery', 'u surgery think', 'u surgery think go', 'u surgery think go die', 'u surgery think go die pain', 'u surgery think go die pain bad', 'surgery', 'surgery think', 'surgery think go', 'surgery think go die', 'surgery think go die pain', 'surgery think go die pain bad', 'think', 'think go', 'think go die', 'think go die pain', 'think go die pain bad', 'go', 'go die', 'go die pain', 'go die pain bad', 'die', 'die pain', 'die pain bad', 'pain', 'pain bad', 'bad']",0,0,1,0,0,0,0.03076923076923077
85874,Back pain is worst now that before surgery.,1,pain bad surgery,"['pain', 'pain bad', 'pain bad surgery', 'bad', 'bad surgery', 'surgery']",0,0,1,0,0,0,0.125
135339,Excellent Service very Nice People n Always welcome you to take The Pain away.,0,excellent service nice people n welcome pain away,"['excellent', 'excellent service', 'excellent service nice', 'excellent service nice people', 'excellent service nice people n', 'excellent service nice people n welcome', 'excellent service nice people n welcome pain', 'excellent service nice people n welcome pain away', 'service', 'service nice', 'service nice people', 'service nice people n', 'service nice people n welcome', 'service nice people n welcome pain', 'service nice people n welcome pain away', 'nice', 'nice people', 'nice people n', 'nice people n welcome', 'nice people n welcome pain', 'nice people n welcome pain away', 'people', 'people n', 'people n welcome', 'people n welcome pain', 'people n welcome pain away', 'n', 'n welcome', 'n welcome pain', 'n welcome pain away', 'welcome', 'welcome pain', 'welcome pain away', 'pain', 'pain away', 'away']",0,0,1,0,0,0,0.043478260869565216
