commentId,comment,classification,comment_processed,word_phrase_list,impression,great,similarity_score
129687,"Moral of the story while the nurses are all great, this is your body and money",0,moral story nurse great body money,"['moral', 'moral story', 'moral story nurse', 'moral story nurse great', 'moral story nurse great body', 'moral story nurse great body money', 'story', 'story nurse', 'story nurse great', 'story nurse great body', 'story nurse great body money', 'nurse', 'nurse great', 'nurse great body', 'nurse great body money', 'great', 'great body', 'great body money', 'body', 'body money', 'money']",0,1,0.08333333333333333
102121,Great.,0,great,['great'],0,1,0.5
114069,Great Doctor Great staff Love the results of everything I have had done!,0,great great staff love result,"['great', 'great great', 'great great staff', 'great great staff love', 'great great staff love result', 'great', 'great staff', 'great staff love', 'great staff love result', 'staff', 'staff love', 'staff love result', 'love', 'love result', 'result']",0,1,0.1111111111111111
99488,great doctor.,0,great,['great'],0,1,0.5
70511,He took off almost half my face and I look great.,0,take face look great,"['take', 'take face', 'take face look', 'take face look great', 'face', 'face look', 'face look great', 'look', 'look great', 'great']",0,1,0.15384615384615385
150875,"but now I have the great joy of having DENTS on it also which look horrible, and my back has two big rolls on it.",1,great joy have debt look atrocious big roll,"['great', 'great joy', 'great joy have', 'great joy have debt', 'great joy have debt look', 'great joy have debt look atrocious', 'great joy have debt look atrocious big', 'great joy have debt look atrocious big roll', 'joy', 'joy have', 'joy have debt', 'joy have debt look', 'joy have debt look atrocious', 'joy have debt look atrocious big', 'joy have debt look atrocious big roll', 'have', 'have debt', 'have debt look', 'have debt look atrocious', 'have debt look atrocious big', 'have debt look atrocious big roll', 'debt', 'debt look', 'debt look atrocious', 'debt look atrocious big', 'debt look atrocious big roll', 'look', 'look atrocious', 'look atrocious big', 'look atrocious big roll', 'atrocious', 'atrocious big', 'atrocious big roll', 'big', 'big roll', 'roll']",0,1,0.05128205128205128
118525,He does a great job of checking on you with scheduled follow ups and will handle any other concerns that you May have .,0,great job check schedule follow handle concern,"['great', 'great job', 'great job check', 'great job check schedule', 'great job check schedule follow', 'great job check schedule follow handle', 'great job check schedule follow handle concern', 'job', 'job check', 'job check schedule', 'job check schedule follow', 'job check schedule follow handle', 'job check schedule follow handle concern', 'check', 'check schedule', 'check schedule follow', 'check schedule follow handle', 'check schedule follow handle concern', 'schedule', 'schedule follow', 'schedule follow handle', 'schedule follow handle concern', 'follow', 'follow handle', 'follow handle concern', 'handle', 'handle concern', 'concern']",0,1,0.06451612903225806
85134,"I cannot believe how great the outcome, how wonderful the Dr. is, how great the staff",0,not believe great result fantastic great staff,"['not', 'not believe', 'not believe great', 'not believe great result', 'not believe great result fantastic', 'not believe great result fantastic great', 'not believe great result fantastic great staff', 'believe', 'believe great', 'believe great result', 'believe great result fantastic', 'believe great result fantastic great', 'believe great result fantastic great staff', 'great', 'great result', 'great result fantastic', 'great result fantastic great', 'great result fantastic great staff', 'result', 'result fantastic', 'result fantastic great', 'result fantastic great staff', 'fantastic', 'fantastic great', 'fantastic great staff', 'great', 'great staff', 'staff']",0,1,0.06451612903225806
91105,for 7 Years Much Needed Breast Augmentation with the Great Dr. Greg Ratliff 590cc UHP.,0,need breast pigmentation great grow sign c,"['need', 'need breast', 'need breast pigmentation', 'need breast pigmentation great', 'need breast pigmentation great grow', 'need breast pigmentation great grow sign', 'need breast pigmentation great grow sign c', 'breast', 'breast pigmentation', 'breast pigmentation great', 'breast pigmentation great grow', 'breast pigmentation great grow sign', 'breast pigmentation great grow sign c', 'pigmentation', 'pigmentation great', 'pigmentation great grow', 'pigmentation great grow sign', 'pigmentation great grow sign c', 'great', 'great grow', 'great grow sign', 'great grow sign c', 'grow', 'grow sign', 'grow sign c', 'sign', 'sign c', 'c']",0,1,0.06451612903225806
90890,Great doctor and office staff punctual,0,great office staff puncture,"['great', 'great office', 'great office staff', 'great office staff puncture', 'office', 'office staff', 'office staff puncture', 'staff', 'staff puncture', 'puncture']",0,1,0.15384615384615385
98893,Appointment was great though.,0,appointment great,"['appointment', 'appointment great', 'great']",0,1,0.3333333333333333
111209,"Great service, no overselling and no offers to make me look like an alien.",0,great service no overselling no offer look like alien,"['great', 'great service', 'great service no', 'great service no overselling', 'great service no overselling no', 'great service no overselling no offer', 'great service no overselling no offer look', 'great service no overselling no offer look like', 'great service no overselling no offer look like alien', 'service', 'service no', 'service no overselling', 'service no overselling no', 'service no overselling no offer', 'service no overselling no offer look', 'service no overselling no offer look like', 'service no overselling no offer look like alien', 'no', 'no overselling', 'no overselling no', 'no overselling no offer', 'no overselling no offer look', 'no overselling no offer look like', 'no overselling no offer look like alien', 'overselling', 'overselling no', 'overselling no offer', 'overselling no offer look', 'overselling no offer look like', 'overselling no offer look like alien', 'no', 'no offer', 'no offer look', 'no offer look like', 'no offer look like alien', 'offer', 'offer look', 'offer look like', 'offer look like alien', 'look', 'look like', 'look like alien', 'like', 'like alien', 'alien']",0,1,0.041666666666666664
75926,"I checked the internet, and Dr. Gilbert had great reviews.",0,check internet great review,"['check', 'check internet', 'check internet great', 'check internet great review', 'internet', 'internet great', 'internet great review', 'great', 'great review', 'review']",0,1,0.15384615384615385
118704,I'm glad that my delay didn't make the staff great me any different they didn't pressure me at all.,0,glad delay staff great different pressure,"['glad', 'glad delay', 'glad delay staff', 'glad delay staff great', 'glad delay staff great different', 'glad delay staff great different pressure', 'delay', 'delay staff', 'delay staff great', 'delay staff great different', 'delay staff great different pressure', 'staff', 'staff great', 'staff great different', 'staff great different pressure', 'great', 'great different', 'great different pressure', 'different', 'different pressure', 'pressure']",0,1,0.08333333333333333
99476,Great professionalism!,0,great professionalism,"['great', 'great professionalism', 'professionalism']",0,1,0.3333333333333333
69560,The office has great hours.,0,office great,"['office', 'office great', 'great']",0,1,0.3333333333333333
175965,Initially their lack of photos and reviews (though the ones he has are all great) in comparison to other surgeons made me unsure,1,initially lack photograph review one great comparison surgeon ensure,"['initially', 'initially lack', 'initially lack photograph', 'initially lack photograph review', 'initially lack photograph review one', 'initially lack photograph review one great', 'initially lack photograph review one great comparison', 'initially lack photograph review one great comparison surgeon', 'initially lack photograph review one great comparison surgeon ensure', 'lack', 'lack photograph', 'lack photograph review', 'lack photograph review one', 'lack photograph review one great', 'lack photograph review one great comparison', 'lack photograph review one great comparison surgeon', 'lack photograph review one great comparison surgeon ensure', 'photograph', 'photograph review', 'photograph review one', 'photograph review one great', 'photograph review one great comparison', 'photograph review one great comparison surgeon', 'photograph review one great comparison surgeon ensure', 'review', 'review one', 'review one great', 'review one great comparison', 'review one great comparison surgeon', 'review one great comparison surgeon ensure', 'one', 'one great', 'one great comparison', 'one great comparison surgeon', 'one great comparison surgeon ensure', 'great', 'great comparison', 'great comparison surgeon', 'great comparison surgeon ensure', 'comparison', 'comparison surgeon', 'comparison surgeon ensure', 'surgeon', 'surgeon ensure', 'ensure']",0,1,0.041666666666666664
123961,"However, on the good side, my breasts are a really nice shape and look great in clothes.",0,good breast nice shape look great clothe,"['good', 'good breast', 'good breast nice', 'good breast nice shape', 'good breast nice shape look', 'good breast nice shape look great', 'good breast nice shape look great clothe', 'breast', 'breast nice', 'breast nice shape', 'breast nice shape look', 'breast nice shape look great', 'breast nice shape look great clothe', 'nice', 'nice shape', 'nice shape look', 'nice shape look great', 'nice shape look great clothe', 'shape', 'shape look', 'shape look great', 'shape look great clothe', 'look', 'look great', 'look great clothe', 'great', 'great clothe', 'clothe']",0,1,0.06451612903225806
