commentId,comment,classification,comment_processed,word_phrase_list,ill,remove,remove review,review,sign,agreement,pay,similarity_score
91472,The sign of my vote of confidence is that my family of 6 are all patients.,0,sign vote confidence family patient,"['sign', 'sign vote', 'sign vote confidence', 'sign vote confidence family', 'sign vote confidence family patient', 'vote', 'vote confidence', 'vote confidence family', 'vote confidence family patient', 'confidence', 'confidence family', 'confidence family patient', 'family', 'family patient', 'patient']",0,0,0,0,1,0,0,0.09090909090909091
164352,"They shuffle back and forth, congregate while you wait without acknowledgement and pay little if any attention to details.",1,scuffle forth congregate wait acknowledgment pay little attention detail,"['scuffle', 'scuffle forth', 'scuffle forth congregate', 'scuffle forth congregate wait', 'scuffle forth congregate wait acknowledgment', 'scuffle forth congregate wait acknowledgment pay', 'scuffle forth congregate wait acknowledgment pay little', 'scuffle forth congregate wait acknowledgment pay little attention', 'scuffle forth congregate wait acknowledgment pay little attention detail', 'forth', 'forth congregate', 'forth congregate wait', 'forth congregate wait acknowledgment', 'forth congregate wait acknowledgment pay', 'forth congregate wait acknowledgment pay little', 'forth congregate wait acknowledgment pay little attention', 'forth congregate wait acknowledgment pay little attention detail', 'congregate', 'congregate wait', 'congregate wait acknowledgment', 'congregate wait acknowledgment pay', 'congregate wait acknowledgment pay little', 'congregate wait acknowledgment pay little attention', 'congregate wait acknowledgment pay little attention detail', 'wait', 'wait acknowledgment', 'wait acknowledgment pay', 'wait acknowledgment pay little', 'wait acknowledgment pay little attention', 'wait acknowledgment pay little attention detail', 'acknowledgment', 'acknowledgment pay', 'acknowledgment pay little', 'acknowledgment pay little attention', 'acknowledgment pay little attention detail', 'pay', 'pay little', 'pay little attention', 'pay little attention detail', 'little', 'little attention', 'little attention detail', 'attention', 'attention detail', 'detail']",0,0,0,0,0,0,1,0.09090909090909091
97977,"I initially found Dr. Alexander on Google, then chose him by reading reviews on different websites.",0,initially find goose choose read review different webster,"['initially', 'initially find', 'initially find goose', 'initially find goose choose', 'initially find goose choose read', 'initially find goose choose read review', 'initially find goose choose read review different', 'initially find goose choose read review different webster', 'find', 'find goose', 'find goose choose', 'find goose choose read', 'find goose choose read review', 'find goose choose read review different', 'find goose choose read review different webster', 'goose', 'goose choose', 'goose choose read', 'goose choose read review', 'goose choose read review different', 'goose choose read review different webster', 'choose', 'choose read', 'choose read review', 'choose read review different', 'choose read review different webster', 'read', 'read review', 'read review different', 'read review different webster', 'review', 'review different', 'review different webster', 'different', 'different webster', 'webster']",0,0,0,1,0,0,0,0.09090909090909091
108362,Once this doctor is paid he shows his true colors.,1,doctor pay show true color,"['doctor', 'doctor pay', 'doctor pay show', 'doctor pay show true', 'doctor pay show true color', 'pay', 'pay show', 'pay show true', 'pay show true color', 'show', 'show true', 'show true color', 'true', 'true color', 'color']",0,0,0,0,0,0,1,0.09090909090909091
114305,speaking with an actual psychiatrist is just on a better level then speaking to a PA-C.,1,speak actual psychiatric good level speak pay,"['speak', 'speak actual', 'speak actual psychiatric', 'speak actual psychiatric good', 'speak actual psychiatric good level', 'speak actual psychiatric good level speak', 'speak actual psychiatric good level speak pay', 'actual', 'actual psychiatric', 'actual psychiatric good', 'actual psychiatric good level', 'actual psychiatric good level speak', 'actual psychiatric good level speak pay', 'psychiatric', 'psychiatric good', 'psychiatric good level', 'psychiatric good level speak', 'psychiatric good level speak pay', 'good', 'good level', 'good level speak', 'good level speak pay', 'level', 'level speak', 'level speak pay', 'speak', 'speak pay', 'pay']",0,0,0,0,0,0,1,0.09090909090909091
83404,so badly it had to be removed. 4 of us had our eyes collapse and droop from the Botox.,1,badly remove eye collapse droop,"['badly', 'badly remove', 'badly remove eye', 'badly remove eye collapse', 'badly remove eye collapse droop', 'remove', 'remove eye', 'remove eye collapse', 'remove eye collapse droop', 'eye', 'eye collapse', 'eye collapse droop', 'collapse', 'collapse droop', 'droop']",0,1,0,0,0,0,0,0.09090909090909091
91105,for 7 Years Much Needed Breast Augmentation with the Great Dr. Greg Ratliff 590cc UHP.,0,need breast pigmentation great dr grow sign c,"['need', 'need breast', 'need breast pigmentation', 'need breast pigmentation great', 'need breast pigmentation great dr', 'need breast pigmentation great dr grow', 'need breast pigmentation great dr grow sign', 'need breast pigmentation great dr grow sign c', 'breast', 'breast pigmentation', 'breast pigmentation great', 'breast pigmentation great dr', 'breast pigmentation great dr grow', 'breast pigmentation great dr grow sign', 'breast pigmentation great dr grow sign c', 'pigmentation', 'pigmentation great', 'pigmentation great dr', 'pigmentation great dr grow', 'pigmentation great dr grow sign', 'pigmentation great dr grow sign c', 'great', 'great dr', 'great dr grow', 'great dr grow sign', 'great dr grow sign c', 'dr', 'dr grow', 'dr grow sign', 'dr grow sign c', 'grow', 'grow sign', 'grow sign c', 'sign', 'sign c', 'c']",0,0,0,0,1,0,0,0.09090909090909091
149127,"He gave me a professional review and his opinion, I already had two other opinions.",0,give professional review opinion opinion,"['give', 'give professional', 'give professional review', 'give professional review opinion', 'give professional review opinion opinion', 'professional', 'professional review', 'professional review opinion', 'professional review opinion opinion', 'review', 'review opinion', 'review opinion opinion', 'opinion', 'opinion opinion', 'opinion']",0,0,0,1,0,0,0,0.09090909090909091
151494,I'll likely continue to see her for facials and skincare as well.,0,ill likely continue facial sincere,"['ill', 'ill likely', 'ill likely continue', 'ill likely continue facial', 'ill likely continue facial sincere', 'likely', 'likely continue', 'likely continue facial', 'likely continue facial sincere', 'continue', 'continue facial', 'continue facial sincere', 'facial', 'facial sincere', 'sincere']",1,0,0,0,0,0,0,0.09090909090909091
182130,"I really like the game, I think it was a good idea to review what we learned",0,like game think good idea review learn,"['like', 'like game', 'like game think', 'like game think good', 'like game think good idea', 'like game think good idea review', 'like game think good idea review learn', 'game', 'game think', 'game think good', 'game think good idea', 'game think good idea review', 'game think good idea review learn', 'think', 'think good', 'think good idea', 'think good idea review', 'think good idea review learn', 'good', 'good idea', 'good idea review', 'good idea review learn', 'idea', 'idea review', 'idea review learn', 'review', 'review learn', 'learn']",0,0,0,1,0,0,0,0.09090909090909091
