commentId,comment,classification,comment_processed,word_phrase_list,practice,compassionate,similarity_score
97503,Beautiful practice.,0,beautiful practice,"['beautiful', 'beautiful practice', 'practice']",1,0,0.5
124717,and we are even more upset now than we originally were because of how deceitful they are at this practice.,1,upset originally deceitful practice,"['upset', 'upset originally', 'upset originally deceitful', 'upset originally deceitful practice', 'originally', 'originally deceitful', 'originally deceitful practice', 'deceitful', 'deceitful practice', 'practice']",1,0,0.5
187464,I should have went with another practice.,1,go practice,"['go', 'go practice', 'practice']",1,0,0.5
95904,The office practices left me feeling a bit distraught.,1,office practice leave feel bit distraught,"['office', 'office practice', 'office practice leave', 'office practice leave feel', 'office practice leave feel bit', 'office practice leave feel bit distraught', 'practice', 'practice leave', 'practice leave feel', 'practice leave feel bit', 'practice leave feel bit distraught', 'leave', 'leave feel', 'leave feel bit', 'leave feel bit distraught', 'feel', 'feel bit', 'feel bit distraught', 'bit', 'bit distraught', 'distraught']",1,0,0.5
188800,"Dr, Blumburg is very knowledgeable in his practice.",0,knowledgeable practice,"['knowledgeable', 'knowledgeable practice', 'practice']",1,0,0.5
187126,It's disappointing to find such unethical practices as a medical office.,1,disappoint find ethical practice medical office,"['disappoint', 'disappoint find', 'disappoint find ethical', 'disappoint find ethical practice', 'disappoint find ethical practice medical', 'disappoint find ethical practice medical office', 'find', 'find ethical', 'find ethical practice', 'find ethical practice medical', 'find ethical practice medical office', 'ethical', 'ethical practice', 'ethical practice medical', 'ethical practice medical office', 'practice', 'practice medical', 'practice medical office', 'medical', 'medical office', 'office']",1,0,0.5
82186,I have recommended this practice to other people,0,recommend practice people,"['recommend', 'recommend practice', 'recommend practice people', 'practice', 'practice people', 'people']",1,0,0.5
125434,"Front office super friendly, compassionate and personable.",0,office super friendly compassionate personal,"['office', 'office super', 'office super friendly', 'office super friendly compassionate', 'office super friendly compassionate personal', 'super', 'super friendly', 'super friendly compassionate', 'super friendly compassionate personal', 'friendly', 'friendly compassionate', 'friendly compassionate personal', 'compassionate', 'compassionate personal', 'personal']",0,1,0.5
110937,His insensitivity and arrogant behavior made me realize that it is a shame that he is still able to practice,1,insensibility arrogant behavior realize shame able practice,"['insensibility', 'insensibility arrogant', 'insensibility arrogant behavior', 'insensibility arrogant behavior realize', 'insensibility arrogant behavior realize shame', 'insensibility arrogant behavior realize shame able', 'insensibility arrogant behavior realize shame able practice', 'arrogant', 'arrogant behavior', 'arrogant behavior realize', 'arrogant behavior realize shame', 'arrogant behavior realize shame able', 'arrogant behavior realize shame able practice', 'behavior', 'behavior realize', 'behavior realize shame', 'behavior realize shame able', 'behavior realize shame able practice', 'realize', 'realize shame', 'realize shame able', 'realize shame able practice', 'shame', 'shame able', 'shame able practice', 'able', 'able practice', 'practice']",1,0,0.5
93700,Just know that this practice is fully aware that they don't need your business,1,know practice fully aware need business,"['know', 'know practice', 'know practice fully', 'know practice fully aware', 'know practice fully aware need', 'know practice fully aware need business', 'practice', 'practice fully', 'practice fully aware', 'practice fully aware need', 'practice fully aware need business', 'fully', 'fully aware', 'fully aware need', 'fully aware need business', 'aware', 'aware need', 'aware need business', 'need', 'need business', 'business']",1,0,0.5
60359,Compassionate and understanding and very explicit,0,compassionate understanding explicit,"['compassionate', 'compassionate understanding', 'compassionate understanding explicit', 'understanding', 'understanding explicit', 'explicit']",0,1,0.5
187206,so IV practice took longest (6th times the charm!),1,four practice take long th time charm,"['four', 'four practice', 'four practice take', 'four practice take long', 'four practice take long th', 'four practice take long th time', 'four practice take long th time charm', 'practice', 'practice take', 'practice take long', 'practice take long th', 'practice take long th time', 'practice take long th time charm', 'take', 'take long', 'take long th', 'take long th time', 'take long th time charm', 'long', 'long th', 'long th time', 'long th time charm', 'th', 'th time', 'th time charm', 'time', 'time charm', 'charm']",1,0,0.5
107505,"Dr. Chiao, the staff, and the practice are phenomenal.",0,staff practice phenomenon,"['staff', 'staff practice', 'staff practice phenomenon', 'practice', 'practice phenomenon', 'phenomenon']",1,0,0.5
125621,They create a nice sense of community within the practice by hosting open yoga and meditation/mindfulness classes.,0,create nice sense community practice cost open meditationmindfulness class,"['create', 'create nice', 'create nice sense', 'create nice sense community', 'create nice sense community practice', 'create nice sense community practice cost', 'create nice sense community practice cost open', 'create nice sense community practice cost open meditationmindfulness', 'create nice sense community practice cost open meditationmindfulness class', 'nice', 'nice sense', 'nice sense community', 'nice sense community practice', 'nice sense community practice cost', 'nice sense community practice cost open', 'nice sense community practice cost open meditationmindfulness', 'nice sense community practice cost open meditationmindfulness class', 'sense', 'sense community', 'sense community practice', 'sense community practice cost', 'sense community practice cost open', 'sense community practice cost open meditationmindfulness', 'sense community practice cost open meditationmindfulness class', 'community', 'community practice', 'community practice cost', 'community practice cost open', 'community practice cost open meditationmindfulness', 'community practice cost open meditationmindfulness class', 'practice', 'practice cost', 'practice cost open', 'practice cost open meditationmindfulness', 'practice cost open meditationmindfulness class', 'cost', 'cost open', 'cost open meditationmindfulness', 'cost open meditationmindfulness class', 'open', 'open meditationmindfulness', 'open meditationmindfulness class', 'meditationmindfulness', 'meditationmindfulness class', 'class']",1,0,0.5
186401,The medical assistance are very courteous compassionate and patient.,0,medical aid courteous compassionate patient,"['medical', 'medical aid', 'medical aid courteous', 'medical aid courteous compassionate', 'medical aid courteous compassionate patient', 'aid', 'aid courteous', 'aid courteous compassionate', 'aid courteous compassionate patient', 'courteous', 'courteous compassionate', 'courteous compassionate patient', 'compassionate', 'compassionate patient', 'patient']",0,1,0.5
114232,Even after the practice got sold to a new doctor everything remained as is or better.,0,practice get sell new doctor remain good,"['practice', 'practice get', 'practice get sell', 'practice get sell new', 'practice get sell new doctor', 'practice get sell new doctor remain', 'practice get sell new doctor remain good', 'get', 'get sell', 'get sell new', 'get sell new doctor', 'get sell new doctor remain', 'get sell new doctor remain good', 'sell', 'sell new', 'sell new doctor', 'sell new doctor remain', 'sell new doctor remain good', 'new', 'new doctor', 'new doctor remain', 'new doctor remain good', 'doctor', 'doctor remain', 'doctor remain good', 'remain', 'remain good', 'good']",1,0,0.5
141434,I have already recommended him and this practice to friends with chronic/acute back pain without reservations.,0,recommend practice friend chronicacute pain reservation,"['recommend', 'recommend practice', 'recommend practice friend', 'recommend practice friend chronicacute', 'recommend practice friend chronicacute pain', 'recommend practice friend chronicacute pain reservation', 'practice', 'practice friend', 'practice friend chronicacute', 'practice friend chronicacute pain', 'practice friend chronicacute pain reservation', 'friend', 'friend chronicacute', 'friend chronicacute pain', 'friend chronicacute pain reservation', 'chronicacute', 'chronicacute pain', 'chronicacute pain reservation', 'pain', 'pain reservation', 'reservation']",1,0,0.5
87266,"so warm, compassionate, professional, AND comfortable, that I will easily return.",0,warm compassionate professional comfortable easily return,"['warm', 'warm compassionate', 'warm compassionate professional', 'warm compassionate professional comfortable', 'warm compassionate professional comfortable easily', 'warm compassionate professional comfortable easily return', 'compassionate', 'compassionate professional', 'compassionate professional comfortable', 'compassionate professional comfortable easily', 'compassionate professional comfortable easily return', 'professional', 'professional comfortable', 'professional comfortable easily', 'professional comfortable easily return', 'comfortable', 'comfortable easily', 'comfortable easily return', 'easily', 'easily return', 'return']",0,1,0.5
173264,even followed him to his new practice in Boston from Quincy because of him,0,follow new practice quincy,"['follow', 'follow new', 'follow new practice', 'follow new practice quincy', 'new', 'new practice', 'new practice quincy', 'practice', 'practice quincy', 'quincy']",1,0,0.5
150604,"I went to a Chinese doctor that practices Chinese medicine and natural herbs, nothing!",1,go doctor practice medicine natural,"['go', 'go doctor', 'go doctor practice', 'go doctor practice medicine', 'go doctor practice medicine natural', 'doctor', 'doctor practice', 'doctor practice medicine', 'doctor practice medicine natural', 'practice', 'practice medicine', 'practice medicine natural', 'medicine', 'medicine natural', 'natural']",1,0,0.5
111556,"Dr. Vaccaro and his assistant Mila are the most caring, compassionate people I have ever known.",0,assistant mild dare compassionate people know,"['assistant', 'assistant mild', 'assistant mild dare', 'assistant mild dare compassionate', 'assistant mild dare compassionate people', 'assistant mild dare compassionate people know', 'mild', 'mild dare', 'mild dare compassionate', 'mild dare compassionate people', 'mild dare compassionate people know', 'dare', 'dare compassionate', 'dare compassionate people', 'dare compassionate people know', 'compassionate', 'compassionate people', 'compassionate people know', 'people', 'people know', 'know']",0,1,0.5
97806,"Doctor Gross is one of the kindest, most compassionate doctors that I have ever met.",0,doctor gross kind compassionate doctor meet,"['doctor', 'doctor gross', 'doctor gross kind', 'doctor gross kind compassionate', 'doctor gross kind compassionate doctor', 'doctor gross kind compassionate doctor meet', 'gross', 'gross kind', 'gross kind compassionate', 'gross kind compassionate doctor', 'gross kind compassionate doctor meet', 'kind', 'kind compassionate', 'kind compassionate doctor', 'kind compassionate doctor meet', 'compassionate', 'compassionate doctor', 'compassionate doctor meet', 'doctor', 'doctor meet', 'meet']",0,1,0.5
