commentId,comment,classification,comment_processed,word_phrase_list,greet,follow,follow process,process,similarity_score
85594,and were always being sure I was comfortable throughout the process.,0,sure comfortable process,"['sure', 'sure comfortable', 'sure comfortable process', 'comfortable', 'comfortable process', 'process']",0,0,0,1,0.16666666666666666
92308,and personally called me after the surgery to follow up -- amazing!,0,personally call surgery follow amaze,"['personally', 'personally call', 'personally call surgery', 'personally call surgery follow', 'personally call surgery follow amaze', 'call', 'call surgery', 'call surgery follow', 'call surgery follow amaze', 'surgery', 'surgery follow', 'surgery follow amaze', 'follow', 'follow amaze', 'amaze']",0,1,0,0,0.09523809523809523
159869,The way they deliver service is effective (didn?t make me do a bunch of unnecessary follow ups) and they make it painless.,0,way deliver service effective bunch unnecessary follow painless,"['way', 'way deliver', 'way deliver service', 'way deliver service effective', 'way deliver service effective bunch', 'way deliver service effective bunch unnecessary', 'way deliver service effective bunch unnecessary follow', 'way deliver service effective bunch unnecessary follow painless', 'deliver', 'deliver service', 'deliver service effective', 'deliver service effective bunch', 'deliver service effective bunch unnecessary', 'deliver service effective bunch unnecessary follow', 'deliver service effective bunch unnecessary follow painless', 'service', 'service effective', 'service effective bunch', 'service effective bunch unnecessary', 'service effective bunch unnecessary follow', 'service effective bunch unnecessary follow painless', 'effective', 'effective bunch', 'effective bunch unnecessary', 'effective bunch unnecessary follow', 'effective bunch unnecessary follow painless', 'bunch', 'bunch unnecessary', 'bunch unnecessary follow', 'bunch unnecessary follow painless', 'unnecessary', 'unnecessary follow', 'unnecessary follow painless', 'follow', 'follow painless', 'painless']",0,1,0,0,0.047619047619047616
61696,He always follows up,0,follow,['follow'],0,1,0,0,0.2857142857142857
118525,He does a great job of checking on you with scheduled follow ups and will handle any other concerns that you May have .,0,great job check schedule follow handle concern,"['great', 'great job', 'great job check', 'great job check schedule', 'great job check schedule follow', 'great job check schedule follow handle', 'great job check schedule follow handle concern', 'job', 'job check', 'job check schedule', 'job check schedule follow', 'job check schedule follow handle', 'job check schedule follow handle concern', 'check', 'check schedule', 'check schedule follow', 'check schedule follow handle', 'check schedule follow handle concern', 'schedule', 'schedule follow', 'schedule follow handle', 'schedule follow handle concern', 'follow', 'follow handle', 'follow handle concern', 'handle', 'handle concern', 'concern']",0,1,0,0,0.058823529411764705
88885,and the follow up by his office is the best I have ever received.,0,follow office good receive,"['follow', 'follow office', 'follow office good', 'follow office good receive', 'office', 'office good', 'office good receive', 'good', 'good receive', 'receive']",0,1,0,0,0.125
186978,"Fue una muy buena experiencia, es la primera vez que hago crioterapia y me sentí en la total confianza de empezar este proceso !",0,united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process,"['united', 'united nations', 'united nations buena', 'united nations buena experience', 'united nations buena experience e', 'united nations buena experience e que', 'united nations buena experience e que ago', 'united nations buena experience e que ago crioterapia', 'united nations buena experience e que ago crioterapia y', 'united nations buena experience e que ago crioterapia y send', 'united nations buena experience e que ago crioterapia y send en', 'united nations buena experience e que ago crioterapia y send en lanthanum', 'united nations buena experience e que ago crioterapia y send en lanthanum total', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'nations', 'nations buena', 'nations buena experience', 'nations buena experience e', 'nations buena experience e que', 'nations buena experience e que ago', 'nations buena experience e que ago crioterapia', 'nations buena experience e que ago crioterapia y', 'nations buena experience e que ago crioterapia y send', 'nations buena experience e que ago crioterapia y send en', 'nations buena experience e que ago crioterapia y send en lanthanum', 'nations buena experience e que ago crioterapia y send en lanthanum total', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'buena', 'buena experience', 'buena experience e', 'buena experience e que', 'buena experience e que ago', 'buena experience e que ago crioterapia', 'buena experience e que ago crioterapia y', 'buena experience e que ago crioterapia y send', 'buena experience e que ago crioterapia y send en', 'buena experience e que ago crioterapia y send en lanthanum', 'buena experience e que ago crioterapia y send en lanthanum total', 'buena experience e que ago crioterapia y send en lanthanum total confianza', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'experience', 'experience e', 'experience e que', 'experience e que ago', 'experience e que ago crioterapia', 'experience e que ago crioterapia y', 'experience e que ago crioterapia y send', 'experience e que ago crioterapia y send en', 'experience e que ago crioterapia y send en lanthanum', 'experience e que ago crioterapia y send en lanthanum total', 'experience e que ago crioterapia y send en lanthanum total confianza', 'experience e que ago crioterapia y send en lanthanum total confianza delaware', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'e', 'e que', 'e que ago', 'e que ago crioterapia', 'e que ago crioterapia y', 'e que ago crioterapia y send', 'e que ago crioterapia y send en', 'e que ago crioterapia y send en lanthanum', 'e que ago crioterapia y send en lanthanum total', 'e que ago crioterapia y send en lanthanum total confianza', 'e que ago crioterapia y send en lanthanum total confianza delaware', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'que', 'que ago', 'que ago crioterapia', 'que ago crioterapia y', 'que ago crioterapia y send', 'que ago crioterapia y send en', 'que ago crioterapia y send en lanthanum', 'que ago crioterapia y send en lanthanum total', 'que ago crioterapia y send en lanthanum total confianza', 'que ago crioterapia y send en lanthanum total confianza delaware', 'que ago crioterapia y send en lanthanum total confianza delaware emperor', 'que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'ago', 'ago crioterapia', 'ago crioterapia y', 'ago crioterapia y send', 'ago crioterapia y send en', 'ago crioterapia y send en lanthanum', 'ago crioterapia y send en lanthanum total', 'ago crioterapia y send en lanthanum total confianza', 'ago crioterapia y send en lanthanum total confianza delaware', 'ago crioterapia y send en lanthanum total confianza delaware emperor', 'ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'crioterapia', 'crioterapia y', 'crioterapia y send', 'crioterapia y send en', 'crioterapia y send en lanthanum', 'crioterapia y send en lanthanum total', 'crioterapia y send en lanthanum total confianza', 'crioterapia y send en lanthanum total confianza delaware', 'crioterapia y send en lanthanum total confianza delaware emperor', 'crioterapia y send en lanthanum total confianza delaware emperor eastern', 'crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'y', 'y send', 'y send en', 'y send en lanthanum', 'y send en lanthanum total', 'y send en lanthanum total confianza', 'y send en lanthanum total confianza delaware', 'y send en lanthanum total confianza delaware emperor', 'y send en lanthanum total confianza delaware emperor eastern', 'y send en lanthanum total confianza delaware emperor eastern time', 'y send en lanthanum total confianza delaware emperor eastern time process', 'send', 'send en', 'send en lanthanum', 'send en lanthanum total', 'send en lanthanum total confianza', 'send en lanthanum total confianza delaware', 'send en lanthanum total confianza delaware emperor', 'send en lanthanum total confianza delaware emperor eastern', 'send en lanthanum total confianza delaware emperor eastern time', 'send en lanthanum total confianza delaware emperor eastern time process', 'en', 'en lanthanum', 'en lanthanum total', 'en lanthanum total confianza', 'en lanthanum total confianza delaware', 'en lanthanum total confianza delaware emperor', 'en lanthanum total confianza delaware emperor eastern', 'en lanthanum total confianza delaware emperor eastern time', 'en lanthanum total confianza delaware emperor eastern time process', 'lanthanum', 'lanthanum total', 'lanthanum total confianza', 'lanthanum total confianza delaware', 'lanthanum total confianza delaware emperor', 'lanthanum total confianza delaware emperor eastern', 'lanthanum total confianza delaware emperor eastern time', 'lanthanum total confianza delaware emperor eastern time process', 'total', 'total confianza', 'total confianza delaware', 'total confianza delaware emperor', 'total confianza delaware emperor eastern', 'total confianza delaware emperor eastern time', 'total confianza delaware emperor eastern time process', 'confianza', 'confianza delaware', 'confianza delaware emperor', 'confianza delaware emperor eastern', 'confianza delaware emperor eastern time', 'confianza delaware emperor eastern time process', 'delaware', 'delaware emperor', 'delaware emperor eastern', 'delaware emperor eastern time', 'delaware emperor eastern time process', 'emperor', 'emperor eastern', 'emperor eastern time', 'emperor eastern time process', 'eastern', 'eastern time', 'eastern time process', 'time', 'time process', 'process']",0,0,0,1,0.01020408163265306
59376,We were greeted with a Smile.,0,greet smile,"['greet', 'greet smile', 'smile']",1,0,0,0,0.2222222222222222
162025,Liked the follow-up appointment.,0,like follow appointment,"['like', 'like follow', 'like follow appointment', 'follow', 'follow appointment', 'appointment']",0,1,0,0,0.16666666666666666
104498,He does not follow basic guidelines that a doctor should not do harm.,1,not follow basic guideline not harm,"['not', 'not follow', 'not follow basic', 'not follow basic guideline', 'not follow basic guideline not', 'not follow basic guideline not harm', 'follow', 'follow basic', 'follow basic guideline', 'follow basic guideline not', 'follow basic guideline not harm', 'basic', 'basic guideline', 'basic guideline not', 'basic guideline not harm', 'guideline', 'guideline not', 'guideline not harm', 'not', 'not harm', 'harm']",0,1,0,0,0.07407407407407407
