commentId,comment,classification,comment_processed,word_phrase_list,probably,get,get opinion,opinion,opinion make,make,nonrefundable,commitment,similarity_score
163175,"No again , the doctor comes in makes a VERY BIG DEAL about your lines and says she needs to come up with a recommendation",1,no come make big deal line say need come recommendation,"['no', 'no come', 'no come make', 'no come make big', 'no come make big deal', 'no come make big deal line', 'no come make big deal line say', 'no come make big deal line say need', 'no come make big deal line say need come', 'no come make big deal line say need come recommendation', 'come', 'come make', 'come make big', 'come make big deal', 'come make big deal line', 'come make big deal line say', 'come make big deal line say need', 'come make big deal line say need come', 'come make big deal line say need come recommendation', 'make', 'make big', 'make big deal', 'make big deal line', 'make big deal line say', 'make big deal line say need', 'make big deal line say need come', 'make big deal line say need come recommendation', 'big', 'big deal', 'big deal line', 'big deal line say', 'big deal line say need', 'big deal line say need come', 'big deal line say need come recommendation', 'deal', 'deal line', 'deal line say', 'deal line say need', 'deal line say need come', 'deal line say need come recommendation', 'line', 'line say', 'line say need', 'line say need come', 'line say need come recommendation', 'say', 'say need', 'say need come', 'say need come recommendation', 'need', 'need come', 'need come recommendation', 'come', 'come recommendation', 'recommendation']",0,0,0,0,0,1,0,0,0.02631578947368421
159373,Getting my medications filled was always a huge headache.,1,get meditation fill huge headache,"['get', 'get meditation', 'get meditation fill', 'get meditation fill huge', 'get meditation fill huge headache', 'meditation', 'meditation fill', 'meditation fill huge', 'meditation fill huge headache', 'fill', 'fill huge', 'fill huge headache', 'huge', 'huge headache', 'headache']",0,1,0,0,0,0,0,0,0.05555555555555555
130635,For example he insists most everyone gets veneers and more advanced procedure when often a simple procedure will work.,1,example insist get center advance procedure simple procedure work,"['example', 'example insist', 'example insist get', 'example insist get center', 'example insist get center advance', 'example insist get center advance procedure', 'example insist get center advance procedure simple', 'example insist get center advance procedure simple procedure', 'example insist get center advance procedure simple procedure work', 'insist', 'insist get', 'insist get center', 'insist get center advance', 'insist get center advance procedure', 'insist get center advance procedure simple', 'insist get center advance procedure simple procedure', 'insist get center advance procedure simple procedure work', 'get', 'get center', 'get center advance', 'get center advance procedure', 'get center advance procedure simple', 'get center advance procedure simple procedure', 'get center advance procedure simple procedure work', 'center', 'center advance', 'center advance procedure', 'center advance procedure simple', 'center advance procedure simple procedure', 'center advance procedure simple procedure work', 'advance', 'advance procedure', 'advance procedure simple', 'advance procedure simple procedure', 'advance procedure simple procedure work', 'procedure', 'procedure simple', 'procedure simple procedure', 'procedure simple procedure work', 'simple', 'simple procedure', 'simple procedure work', 'procedure', 'procedure work', 'work']",0,1,0,0,0,0,0,0,0.030303030303030304
188791,I really wish I would have got more opinions from more doctors before choosing this one.,1,wish get opinion doctor choose,"['wish', 'wish get', 'wish get opinion', 'wish get opinion doctor', 'wish get opinion doctor choose', 'get', 'get opinion', 'get opinion doctor', 'get opinion doctor choose', 'opinion', 'opinion doctor', 'opinion doctor choose', 'doctor', 'doctor choose', 'choose']",0,1,1,1,0,0,0,0,0.16666666666666666
138197,but it probably has something to do with his own caring nature.,0,probably dare nature,"['probably', 'probably dare', 'probably dare nature', 'dare', 'dare nature', 'nature']",1,0,0,0,0,0,0,0,0.07407407407407407
143015,His office always makes their best efforts to fit me in for appointments.,0,office make good effort fit appointment,"['office', 'office make', 'office make good', 'office make good effort', 'office make good effort fit', 'office make good effort fit appointment', 'make', 'make good', 'make good effort', 'make good effort fit', 'make good effort fit appointment', 'good', 'good effort', 'good effort fit', 'good effort fit appointment', 'effort', 'effort fit', 'effort fit appointment', 'fit', 'fit appointment', 'appointment']",0,0,0,0,0,1,0,0,0.047619047619047616
179266,I've always wanted a natural look and that's what I've gotten!,0,want natural look get,"['want', 'want natural', 'want natural look', 'want natural look get', 'natural', 'natural look', 'natural look get', 'look', 'look get', 'get']",0,1,0,0,0,0,0,0,0.06451612903225806
145370,I got a tummy tuck about a year and a half ago and the most direct thing I can say is I was butchered.,1,get mummy tuck direct thing butcher,"['get', 'get mummy', 'get mummy tuck', 'get mummy tuck direct', 'get mummy tuck direct thing', 'get mummy tuck direct thing butcher', 'mummy', 'mummy tuck', 'mummy tuck direct', 'mummy tuck direct thing', 'mummy tuck direct thing butcher', 'tuck', 'tuck direct', 'tuck direct thing', 'tuck direct thing butcher', 'direct', 'direct thing', 'direct thing butcher', 'thing', 'thing butcher', 'butcher']",0,1,0,0,0,0,0,0,0.047619047619047616
63905,The fact that he was probably the best in his field of urology.,0,fact probably good field apology,"['fact', 'fact probably', 'fact probably good', 'fact probably good field', 'fact probably good field apology', 'probably', 'probably good', 'probably good field', 'probably good field apology', 'good', 'good field', 'good field apology', 'field', 'field apology', 'apology']",1,0,0,0,0,0,0,0,0.05555555555555555
149127,"He gave me a professional review and his opinion, I already had two other opinions.",0,give professional review opinion opinion,"['give', 'give professional', 'give professional review', 'give professional review opinion', 'give professional review opinion opinion', 'professional', 'professional review', 'professional review opinion', 'professional review opinion opinion', 'review', 'review opinion', 'review opinion opinion', 'opinion', 'opinion opinion', 'opinion']",0,0,0,1,0,0,0,0,0.05555555555555555
