commentId,comment,classification,comment_processed,word_phrase_list,believe,lab,lab quick,quick,quick little,little,little respectful,respectful,woman,attitude,similarity_score
93740,The most devastating part of the experience was his nasty attitude toward me and my very valid concerns regarding an obvious need,1,devastating experience nasty attitude valid concern obvious need,"['devastating', 'devastating experience', 'devastating experience nasty', 'devastating experience nasty attitude', 'devastating experience nasty attitude valid', 'devastating experience nasty attitude valid concern', 'devastating experience nasty attitude valid concern obvious', 'devastating experience nasty attitude valid concern obvious need', 'experience', 'experience nasty', 'experience nasty attitude', 'experience nasty attitude valid', 'experience nasty attitude valid concern', 'experience nasty attitude valid concern obvious', 'experience nasty attitude valid concern obvious need', 'nasty', 'nasty attitude', 'nasty attitude valid', 'nasty attitude valid concern', 'nasty attitude valid concern obvious', 'nasty attitude valid concern obvious need', 'attitude', 'attitude valid', 'attitude valid concern', 'attitude valid concern obvious', 'attitude valid concern obvious need', 'valid', 'valid concern', 'valid concern obvious', 'valid concern obvious need', 'concern', 'concern obvious', 'concern obvious need', 'obvious', 'obvious need', 'need']",0,0,0,0,0,0,0,0,0,1,0.06896551724137931
164352,"They shuffle back and forth, congregate while you wait without acknowledgement and pay little if any attention to details.",1,scuffle forth congregate wait acknowledgment pay little attention detail,"['scuffle', 'scuffle forth', 'scuffle forth congregate', 'scuffle forth congregate wait', 'scuffle forth congregate wait acknowledgment', 'scuffle forth congregate wait acknowledgment pay', 'scuffle forth congregate wait acknowledgment pay little', 'scuffle forth congregate wait acknowledgment pay little attention', 'scuffle forth congregate wait acknowledgment pay little attention detail', 'forth', 'forth congregate', 'forth congregate wait', 'forth congregate wait acknowledgment', 'forth congregate wait acknowledgment pay', 'forth congregate wait acknowledgment pay little', 'forth congregate wait acknowledgment pay little attention', 'forth congregate wait acknowledgment pay little attention detail', 'congregate', 'congregate wait', 'congregate wait acknowledgment', 'congregate wait acknowledgment pay', 'congregate wait acknowledgment pay little', 'congregate wait acknowledgment pay little attention', 'congregate wait acknowledgment pay little attention detail', 'wait', 'wait acknowledgment', 'wait acknowledgment pay', 'wait acknowledgment pay little', 'wait acknowledgment pay little attention', 'wait acknowledgment pay little attention detail', 'acknowledgment', 'acknowledgment pay', 'acknowledgment pay little', 'acknowledgment pay little attention', 'acknowledgment pay little attention detail', 'pay', 'pay little', 'pay little attention', 'pay little attention detail', 'little', 'little attention', 'little attention detail', 'attention', 'attention detail', 'detail']",0,0,0,0,0,1,0,0,0,0,0.06896551724137931
169538,"As for being a quack, he did lots and lots of prolotherapy injections without ever giving a diagnosis",1,quick lot lot prolotherapy injection give diagnosis,"['quick', 'quick lot', 'quick lot lot', 'quick lot lot prolotherapy', 'quick lot lot prolotherapy injection', 'quick lot lot prolotherapy injection give', 'quick lot lot prolotherapy injection give diagnosis', 'lot', 'lot lot', 'lot lot prolotherapy', 'lot lot prolotherapy injection', 'lot lot prolotherapy injection give', 'lot lot prolotherapy injection give diagnosis', 'lot', 'lot prolotherapy', 'lot prolotherapy injection', 'lot prolotherapy injection give', 'lot prolotherapy injection give diagnosis', 'prolotherapy', 'prolotherapy injection', 'prolotherapy injection give', 'prolotherapy injection give diagnosis', 'injection', 'injection give', 'injection give diagnosis', 'give', 'give diagnosis', 'diagnosis']",0,0,0,1,0,0,0,0,0,0,0.06896551724137931
93711,And the little extra touch (hands dipped in paraffin during treatments) are appreciated:) The office is clean,0,little extra touch hand dip paraffin treatment appreciate office clean,"['little', 'little extra', 'little extra touch', 'little extra touch hand', 'little extra touch hand dip', 'little extra touch hand dip paraffin', 'little extra touch hand dip paraffin treatment', 'little extra touch hand dip paraffin treatment appreciate', 'little extra touch hand dip paraffin treatment appreciate office', 'little extra touch hand dip paraffin treatment appreciate office clean', 'extra', 'extra touch', 'extra touch hand', 'extra touch hand dip', 'extra touch hand dip paraffin', 'extra touch hand dip paraffin treatment', 'extra touch hand dip paraffin treatment appreciate', 'extra touch hand dip paraffin treatment appreciate office', 'extra touch hand dip paraffin treatment appreciate office clean', 'touch', 'touch hand', 'touch hand dip', 'touch hand dip paraffin', 'touch hand dip paraffin treatment', 'touch hand dip paraffin treatment appreciate', 'touch hand dip paraffin treatment appreciate office', 'touch hand dip paraffin treatment appreciate office clean', 'hand', 'hand dip', 'hand dip paraffin', 'hand dip paraffin treatment', 'hand dip paraffin treatment appreciate', 'hand dip paraffin treatment appreciate office', 'hand dip paraffin treatment appreciate office clean', 'dip', 'dip paraffin', 'dip paraffin treatment', 'dip paraffin treatment appreciate', 'dip paraffin treatment appreciate office', 'dip paraffin treatment appreciate office clean', 'paraffin', 'paraffin treatment', 'paraffin treatment appreciate', 'paraffin treatment appreciate office', 'paraffin treatment appreciate office clean', 'treatment', 'treatment appreciate', 'treatment appreciate office', 'treatment appreciate office clean', 'appreciate', 'appreciate office', 'appreciate office clean', 'office', 'office clean', 'clean']",0,0,0,0,0,1,0,0,0,0,0.06896551724137931
59290,The facility itself could be a little bit nicer facility.,1,facility little bit nice facility,"['facility', 'facility little', 'facility little bit', 'facility little bit nice', 'facility little bit nice facility', 'little', 'little bit', 'little bit nice', 'little bit nice facility', 'bit', 'bit nice', 'bit nice facility', 'nice', 'nice facility', 'facility']",0,0,0,0,0,1,0,0,0,0,0.06896551724137931
65893,I just like her attitude.,0,like attitude,"['like', 'like attitude', 'attitude']",0,0,0,0,0,0,0,0,0,1,0.06896551724137931
85134,"I cannot believe how great the outcome, how wonderful the Dr. is, how great the staff",0,believe great result fantastic dr great staff,"['believe', 'believe great', 'believe great result', 'believe great result fantastic', 'believe great result fantastic dr', 'believe great result fantastic dr great', 'believe great result fantastic dr great staff', 'great', 'great result', 'great result fantastic', 'great result fantastic dr', 'great result fantastic dr great', 'great result fantastic dr great staff', 'result', 'result fantastic', 'result fantastic dr', 'result fantastic dr great', 'result fantastic dr great staff', 'fantastic', 'fantastic dr', 'fantastic dr great', 'fantastic dr great staff', 'dr', 'dr great', 'dr great staff', 'great', 'great staff', 'staff']",1,0,0,0,0,0,0,0,0,0,0.06896551724137931
168851,and when I insisted to know if that referral had been sent the woman on the phone became irate telling me I was being disrespectful.,1,insist know referral send woman phone irate tell disrespectful,"['insist', 'insist know', 'insist know referral', 'insist know referral send', 'insist know referral send woman', 'insist know referral send woman phone', 'insist know referral send woman phone irate', 'insist know referral send woman phone irate tell', 'insist know referral send woman phone irate tell disrespectful', 'know', 'know referral', 'know referral send', 'know referral send woman', 'know referral send woman phone', 'know referral send woman phone irate', 'know referral send woman phone irate tell', 'know referral send woman phone irate tell disrespectful', 'referral', 'referral send', 'referral send woman', 'referral send woman phone', 'referral send woman phone irate', 'referral send woman phone irate tell', 'referral send woman phone irate tell disrespectful', 'send', 'send woman', 'send woman phone', 'send woman phone irate', 'send woman phone irate tell', 'send woman phone irate tell disrespectful', 'woman', 'woman phone', 'woman phone irate', 'woman phone irate tell', 'woman phone irate tell disrespectful', 'phone', 'phone irate', 'phone irate tell', 'phone irate tell disrespectful', 'irate', 'irate tell', 'irate tell disrespectful', 'tell', 'tell disrespectful', 'disrespectful']",0,0,0,0,0,0,0,0,1,0,0.06896551724137931
72629,I have lived in Colorado and when I came back home I chose to come back to complete women's.,0,live come home choose come complete woman,"['live', 'live come', 'live come home', 'live come home choose', 'live come home choose come', 'live come home choose come complete', 'live come home choose come complete woman', 'come', 'come home', 'come home choose', 'come home choose come', 'come home choose come complete', 'come home choose come complete woman', 'home', 'home choose', 'home choose come', 'home choose come complete', 'home choose come complete woman', 'choose', 'choose come', 'choose come complete', 'choose come complete woman', 'come', 'come complete', 'come complete woman', 'complete', 'complete woman', 'woman']",0,0,0,0,0,0,0,0,1,0,0.06896551724137931
125886,The procedure was quick - I had 3 wisdom teeth extracted - and I woke up at 2:40.,0,procedure quick wisdom tooth extract wake,"['procedure', 'procedure quick', 'procedure quick wisdom', 'procedure quick wisdom tooth', 'procedure quick wisdom tooth extract', 'procedure quick wisdom tooth extract wake', 'quick', 'quick wisdom', 'quick wisdom tooth', 'quick wisdom tooth extract', 'quick wisdom tooth extract wake', 'wisdom', 'wisdom tooth', 'wisdom tooth extract', 'wisdom tooth extract wake', 'tooth', 'tooth extract', 'tooth extract wake', 'extract', 'extract wake', 'wake']",0,0,0,1,0,0,0,0,0,0,0.06896551724137931
57689,A little less waiting time in the waiting room would be nice.,1,little wait time wait room nice,"['little', 'little wait', 'little wait time', 'little wait time wait', 'little wait time wait room', 'little wait time wait room nice', 'wait', 'wait time', 'wait time wait', 'wait time wait room', 'wait time wait room nice', 'time', 'time wait', 'time wait room', 'time wait room nice', 'wait', 'wait room', 'wait room nice', 'room', 'room nice', 'nice']",0,0,0,0,0,1,0,0,0,0,0.06896551724137931
136036,The first few days of wearing the orthotics was a little annoying,1,wear orthotics little annoying,"['wear', 'wear orthotics', 'wear orthotics little', 'wear orthotics little annoying', 'orthotics', 'orthotics little', 'orthotics little annoying', 'little', 'little annoying', 'annoying']",0,0,0,0,0,1,0,0,0,0,0.06896551724137931
64230,She's always quick and she understands what you're talking about.,0,s quick understand talk,"['s', 's quick', 's quick understand', 's quick understand talk', 'quick', 'quick understand', 'quick understand talk', 'understand', 'understand talk', 'talk']",0,0,0,1,0,0,0,0,0,0,0.06896551724137931
66728,His pleasant attitude,0,pleasant attitude,"['pleasant', 'pleasant attitude', 'attitude']",0,0,0,0,0,0,0,0,0,1,0.06896551724137931
123340,"Honestly, your whole story makes little sense.",1,honestly story make little sense,"['honestly', 'honestly story', 'honestly story make', 'honestly story make little', 'honestly story make little sense', 'story', 'story make', 'story make little', 'story make little sense', 'make', 'make little', 'make little sense', 'little', 'little sense', 'sense']",0,0,0,0,0,1,0,0,0,0,0.06896551724137931
143881,When I made my appointment I told the woman who set it up that I had experienced interminable wait times in the past?once in 2017,1,appointment tell woman set experience endless wait time pastonce,"['appointment', 'appointment tell', 'appointment tell woman', 'appointment tell woman set', 'appointment tell woman set experience', 'appointment tell woman set experience endless', 'appointment tell woman set experience endless wait', 'appointment tell woman set experience endless wait time', 'appointment tell woman set experience endless wait time pastonce', 'tell', 'tell woman', 'tell woman set', 'tell woman set experience', 'tell woman set experience endless', 'tell woman set experience endless wait', 'tell woman set experience endless wait time', 'tell woman set experience endless wait time pastonce', 'woman', 'woman set', 'woman set experience', 'woman set experience endless', 'woman set experience endless wait', 'woman set experience endless wait time', 'woman set experience endless wait time pastonce', 'set', 'set experience', 'set experience endless', 'set experience endless wait', 'set experience endless wait time', 'set experience endless wait time pastonce', 'experience', 'experience endless', 'experience endless wait', 'experience endless wait time', 'experience endless wait time pastonce', 'endless', 'endless wait', 'endless wait time', 'endless wait time pastonce', 'wait', 'wait time', 'wait time pastonce', 'time', 'time pastonce', 'pastonce']",0,0,0,0,0,0,0,0,1,0,0.06896551724137931
