commentId,comment,classification,comment_processed,word_phrase_list,information,information information,cost,article,class,similarity_score
127042,IF YOU GO HERE ASK WHAT HE'S DOING AND WHAT IT WILL COST.,1,ask s cost,"['ask', 'ask s', 'ask s cost', 's', 's cost', 'cost']",0,0,1,0,0,0.09090909090909091
78599,"the dentist recommended several things that cost a lot of money,",1,dentist recommend thing cost lot money,"['dentist', 'dentist recommend', 'dentist recommend thing', 'dentist recommend thing cost', 'dentist recommend thing cost lot', 'dentist recommend thing cost lot money', 'recommend', 'recommend thing', 'recommend thing cost', 'recommend thing cost lot', 'recommend thing cost lot money', 'thing', 'thing cost', 'thing cost lot', 'thing cost lot money', 'cost', 'cost lot', 'cost lot money', 'lot', 'lot money', 'money']",0,0,1,0,0,0.09090909090909091
104673,"Friendly, informative, happy I selected this clinic.",0,friendly information happy choose clinic,"['friendly', 'friendly information', 'friendly information happy', 'friendly information happy choose', 'friendly information happy choose clinic', 'information', 'information happy', 'information happy choose', 'information happy choose clinic', 'happy', 'happy choose', 'happy choose clinic', 'choose', 'choose clinic', 'clinic']",1,0,0,0,0,0.18181818181818182
91410,"Unfortunately, I expect a professional health-care office be able to provide accurate insurance information to patients.",1,unfortunately expect professional healthcare office able provide accurate insurance information patient,"['unfortunately', 'unfortunately expect', 'unfortunately expect professional', 'unfortunately expect professional healthcare', 'unfortunately expect professional healthcare office', 'unfortunately expect professional healthcare office able', 'unfortunately expect professional healthcare office able provide', 'unfortunately expect professional healthcare office able provide accurate', 'unfortunately expect professional healthcare office able provide accurate insurance', 'unfortunately expect professional healthcare office able provide accurate insurance information', 'unfortunately expect professional healthcare office able provide accurate insurance information patient', 'expect', 'expect professional', 'expect professional healthcare', 'expect professional healthcare office', 'expect professional healthcare office able', 'expect professional healthcare office able provide', 'expect professional healthcare office able provide accurate', 'expect professional healthcare office able provide accurate insurance', 'expect professional healthcare office able provide accurate insurance information', 'expect professional healthcare office able provide accurate insurance information patient', 'professional', 'professional healthcare', 'professional healthcare office', 'professional healthcare office able', 'professional healthcare office able provide', 'professional healthcare office able provide accurate', 'professional healthcare office able provide accurate insurance', 'professional healthcare office able provide accurate insurance information', 'professional healthcare office able provide accurate insurance information patient', 'healthcare', 'healthcare office', 'healthcare office able', 'healthcare office able provide', 'healthcare office able provide accurate', 'healthcare office able provide accurate insurance', 'healthcare office able provide accurate insurance information', 'healthcare office able provide accurate insurance information patient', 'office', 'office able', 'office able provide', 'office able provide accurate', 'office able provide accurate insurance', 'office able provide accurate insurance information', 'office able provide accurate insurance information patient', 'able', 'able provide', 'able provide accurate', 'able provide accurate insurance', 'able provide accurate insurance information', 'able provide accurate insurance information patient', 'provide', 'provide accurate', 'provide accurate insurance', 'provide accurate insurance information', 'provide accurate insurance information patient', 'accurate', 'accurate insurance', 'accurate insurance information', 'accurate insurance information patient', 'insurance', 'insurance information', 'insurance information patient', 'information', 'information patient', 'patient']",1,0,0,0,0,0.18181818181818182
144145,but visible abdominal scarring and health issues...the health issues cost me thousands of dollars to assess and treat..which I still,1,visible abdominal scar health issuesthe health issue cost ass treatwhich,"['visible', 'visible abdominal', 'visible abdominal scar', 'visible abdominal scar health', 'visible abdominal scar health issuesthe', 'visible abdominal scar health issuesthe health', 'visible abdominal scar health issuesthe health issue', 'visible abdominal scar health issuesthe health issue cost', 'visible abdominal scar health issuesthe health issue cost ass', 'visible abdominal scar health issuesthe health issue cost ass treatwhich', 'abdominal', 'abdominal scar', 'abdominal scar health', 'abdominal scar health issuesthe', 'abdominal scar health issuesthe health', 'abdominal scar health issuesthe health issue', 'abdominal scar health issuesthe health issue cost', 'abdominal scar health issuesthe health issue cost ass', 'abdominal scar health issuesthe health issue cost ass treatwhich', 'scar', 'scar health', 'scar health issuesthe', 'scar health issuesthe health', 'scar health issuesthe health issue', 'scar health issuesthe health issue cost', 'scar health issuesthe health issue cost ass', 'scar health issuesthe health issue cost ass treatwhich', 'health', 'health issuesthe', 'health issuesthe health', 'health issuesthe health issue', 'health issuesthe health issue cost', 'health issuesthe health issue cost ass', 'health issuesthe health issue cost ass treatwhich', 'issuesthe', 'issuesthe health', 'issuesthe health issue', 'issuesthe health issue cost', 'issuesthe health issue cost ass', 'issuesthe health issue cost ass treatwhich', 'health', 'health issue', 'health issue cost', 'health issue cost ass', 'health issue cost ass treatwhich', 'issue', 'issue cost', 'issue cost ass', 'issue cost ass treatwhich', 'cost', 'cost ass', 'cost ass treatwhich', 'ass', 'ass treatwhich', 'treatwhich']",0,0,1,0,0,0.09090909090909091
94917,"World Class Surgeon, World Class Staff, World Class Hospital, World Class Surgery.I had a lumbar fusion with cage implantation with titanium screws.",0,world class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw,"['world', 'world class', 'world class surgeon', 'world class surgeon world', 'world class surgeon world class', 'world class surgeon world class staff', 'world class surgeon world class staff world', 'world class surgeon world class staff world class', 'world class surgeon world class staff world class hospital', 'world class surgeon world class staff world class hospital world', 'world class surgeon world class staff world class hospital world class', 'world class surgeon world class staff world class hospital world class surgery', 'world class surgeon world class staff world class hospital world class surgery lumbar', 'world class surgeon world class staff world class hospital world class surgery lumbar fusion', 'world class surgeon world class staff world class hospital world class surgery lumbar fusion cage', 'world class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation', 'world class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'world class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'class', 'class surgeon', 'class surgeon world', 'class surgeon world class', 'class surgeon world class staff', 'class surgeon world class staff world', 'class surgeon world class staff world class', 'class surgeon world class staff world class hospital', 'class surgeon world class staff world class hospital world', 'class surgeon world class staff world class hospital world class', 'class surgeon world class staff world class hospital world class surgery', 'class surgeon world class staff world class hospital world class surgery lumbar', 'class surgeon world class staff world class hospital world class surgery lumbar fusion', 'class surgeon world class staff world class hospital world class surgery lumbar fusion cage', 'class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation', 'class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'class surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'surgeon', 'surgeon world', 'surgeon world class', 'surgeon world class staff', 'surgeon world class staff world', 'surgeon world class staff world class', 'surgeon world class staff world class hospital', 'surgeon world class staff world class hospital world', 'surgeon world class staff world class hospital world class', 'surgeon world class staff world class hospital world class surgery', 'surgeon world class staff world class hospital world class surgery lumbar', 'surgeon world class staff world class hospital world class surgery lumbar fusion', 'surgeon world class staff world class hospital world class surgery lumbar fusion cage', 'surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation', 'surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'surgeon world class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'world', 'world class', 'world class staff', 'world class staff world', 'world class staff world class', 'world class staff world class hospital', 'world class staff world class hospital world', 'world class staff world class hospital world class', 'world class staff world class hospital world class surgery', 'world class staff world class hospital world class surgery lumbar', 'world class staff world class hospital world class surgery lumbar fusion', 'world class staff world class hospital world class surgery lumbar fusion cage', 'world class staff world class hospital world class surgery lumbar fusion cage implantation', 'world class staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'world class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'class', 'class staff', 'class staff world', 'class staff world class', 'class staff world class hospital', 'class staff world class hospital world', 'class staff world class hospital world class', 'class staff world class hospital world class surgery', 'class staff world class hospital world class surgery lumbar', 'class staff world class hospital world class surgery lumbar fusion', 'class staff world class hospital world class surgery lumbar fusion cage', 'class staff world class hospital world class surgery lumbar fusion cage implantation', 'class staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'class staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'staff', 'staff world', 'staff world class', 'staff world class hospital', 'staff world class hospital world', 'staff world class hospital world class', 'staff world class hospital world class surgery', 'staff world class hospital world class surgery lumbar', 'staff world class hospital world class surgery lumbar fusion', 'staff world class hospital world class surgery lumbar fusion cage', 'staff world class hospital world class surgery lumbar fusion cage implantation', 'staff world class hospital world class surgery lumbar fusion cage implantation titanic', 'staff world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'world', 'world class', 'world class hospital', 'world class hospital world', 'world class hospital world class', 'world class hospital world class surgery', 'world class hospital world class surgery lumbar', 'world class hospital world class surgery lumbar fusion', 'world class hospital world class surgery lumbar fusion cage', 'world class hospital world class surgery lumbar fusion cage implantation', 'world class hospital world class surgery lumbar fusion cage implantation titanic', 'world class hospital world class surgery lumbar fusion cage implantation titanic screw', 'class', 'class hospital', 'class hospital world', 'class hospital world class', 'class hospital world class surgery', 'class hospital world class surgery lumbar', 'class hospital world class surgery lumbar fusion', 'class hospital world class surgery lumbar fusion cage', 'class hospital world class surgery lumbar fusion cage implantation', 'class hospital world class surgery lumbar fusion cage implantation titanic', 'class hospital world class surgery lumbar fusion cage implantation titanic screw', 'hospital', 'hospital world', 'hospital world class', 'hospital world class surgery', 'hospital world class surgery lumbar', 'hospital world class surgery lumbar fusion', 'hospital world class surgery lumbar fusion cage', 'hospital world class surgery lumbar fusion cage implantation', 'hospital world class surgery lumbar fusion cage implantation titanic', 'hospital world class surgery lumbar fusion cage implantation titanic screw', 'world', 'world class', 'world class surgery', 'world class surgery lumbar', 'world class surgery lumbar fusion', 'world class surgery lumbar fusion cage', 'world class surgery lumbar fusion cage implantation', 'world class surgery lumbar fusion cage implantation titanic', 'world class surgery lumbar fusion cage implantation titanic screw', 'class', 'class surgery', 'class surgery lumbar', 'class surgery lumbar fusion', 'class surgery lumbar fusion cage', 'class surgery lumbar fusion cage implantation', 'class surgery lumbar fusion cage implantation titanic', 'class surgery lumbar fusion cage implantation titanic screw', 'surgery', 'surgery lumbar', 'surgery lumbar fusion', 'surgery lumbar fusion cage', 'surgery lumbar fusion cage implantation', 'surgery lumbar fusion cage implantation titanic', 'surgery lumbar fusion cage implantation titanic screw', 'lumbar', 'lumbar fusion', 'lumbar fusion cage', 'lumbar fusion cage implantation', 'lumbar fusion cage implantation titanic', 'lumbar fusion cage implantation titanic screw', 'fusion', 'fusion cage', 'fusion cage implantation', 'fusion cage implantation titanic', 'fusion cage implantation titanic screw', 'cage', 'cage implantation', 'cage implantation titanic', 'cage implantation titanic screw', 'implantation', 'implantation titanic', 'implantation titanic screw', 'titanic', 'titanic screw', 'screw']",0,0,0,0,1,0.09090909090909091
90947,"but positive, supportive, and informative guidance from the doctors and staff.",0,positive suppurative information guidance doctor staff,"['positive', 'positive suppurative', 'positive suppurative information', 'positive suppurative information guidance', 'positive suppurative information guidance doctor', 'positive suppurative information guidance doctor staff', 'suppurative', 'suppurative information', 'suppurative information guidance', 'suppurative information guidance doctor', 'suppurative information guidance doctor staff', 'information', 'information guidance', 'information guidance doctor', 'information guidance doctor staff', 'guidance', 'guidance doctor', 'guidance doctor staff', 'doctor', 'doctor staff', 'staff']",1,0,0,0,0,0.18181818181818182
103928,I did not feel like I was given a lot of information once I was pregnant.,1,feel like give lot information pregnant,"['feel', 'feel like', 'feel like give', 'feel like give lot', 'feel like give lot information', 'feel like give lot information pregnant', 'like', 'like give', 'like give lot', 'like give lot information', 'like give lot information pregnant', 'give', 'give lot', 'give lot information', 'give lot information pregnant', 'lot', 'lot information', 'lot information pregnant', 'information', 'information pregnant', 'pregnant']",1,0,0,0,0,0.18181818181818182
65479,"Pleasant, straight to the point and informative.",0,pleasant straight point information,"['pleasant', 'pleasant straight', 'pleasant straight point', 'pleasant straight point information', 'straight', 'straight point', 'straight point information', 'point', 'point information', 'information']",1,0,0,0,0,0.18181818181818182
88046,"Marina Plastic Surgery is a class act, all the way!",0,marina plastic surgery class act way,"['marina', 'marina plastic', 'marina plastic surgery', 'marina plastic surgery class', 'marina plastic surgery class act', 'marina plastic surgery class act way', 'plastic', 'plastic surgery', 'plastic surgery class', 'plastic surgery class act', 'plastic surgery class act way', 'surgery', 'surgery class', 'surgery class act', 'surgery class act way', 'class', 'class act', 'class act way', 'act', 'act way', 'way']",0,0,0,0,1,0.09090909090909091
