commentId,comment,classification,comment_processed,word_phrase_list,need,need quick,quick,prescription,referral,sure,sure stop,stop,similarity_score
97165,"I was very nervous before going to my appointment, they eased all of my worries",0,nervous go appointment stop worry,"['nervous', 'nervous go', 'nervous go appointment', 'nervous go appointment stop', 'nervous go appointment stop worry', 'go', 'go appointment', 'go appointment stop', 'go appointment stop worry', 'appointment', 'appointment stop', 'appointment stop worry', 'stop', 'stop worry', 'worry']",0,0,0,0,0,0,0,1,0.05555555555555555
163175,"No again , the doctor comes in makes a VERY BIG DEAL about your lines and says she needs to come up with a recommendation",1,no come make big deal line say need come recommendation,"['no', 'no come', 'no come make', 'no come make big', 'no come make big deal', 'no come make big deal line', 'no come make big deal line say', 'no come make big deal line say need', 'no come make big deal line say need come', 'no come make big deal line say need come recommendation', 'come', 'come make', 'come make big', 'come make big deal', 'come make big deal line', 'come make big deal line say', 'come make big deal line say need', 'come make big deal line say need come', 'come make big deal line say need come recommendation', 'make', 'make big', 'make big deal', 'make big deal line', 'make big deal line say', 'make big deal line say need', 'make big deal line say need come', 'make big deal line say need come recommendation', 'big', 'big deal', 'big deal line', 'big deal line say', 'big deal line say need', 'big deal line say need come', 'big deal line say need come recommendation', 'deal', 'deal line', 'deal line say', 'deal line say need', 'deal line say need come', 'deal line say need come recommendation', 'line', 'line say', 'line say need', 'line say need come', 'line say need come recommendation', 'say', 'say need', 'say need come', 'say need come recommendation', 'need', 'need come', 'need come recommendation', 'come', 'come recommendation', 'recommendation']",1,0,0,0,0,0,0,0,0.02631578947368421
160579,but they made sure I was doing okay and talked me through the treatment so I didn't feel as anxious.,0,sure okay talk treatment feel anxious,"['sure', 'sure okay', 'sure okay talk', 'sure okay talk treatment', 'sure okay talk treatment feel', 'sure okay talk treatment feel anxious', 'okay', 'okay talk', 'okay talk treatment', 'okay talk treatment feel', 'okay talk treatment feel anxious', 'talk', 'talk treatment', 'talk treatment feel', 'talk treatment feel anxious', 'treatment', 'treatment feel', 'treatment feel anxious', 'feel', 'feel anxious', 'anxious']",0,0,0,0,0,1,0,0,0.047619047619047616
165519,Never met the doctor but she needs to replace the entire front desk staff with some professionals.,1,meet need replace entire desk staff professional,"['meet', 'meet need', 'meet need replace', 'meet need replace entire', 'meet need replace entire desk', 'meet need replace entire desk staff', 'meet need replace entire desk staff professional', 'need', 'need replace', 'need replace entire', 'need replace entire desk', 'need replace entire desk staff', 'need replace entire desk staff professional', 'replace', 'replace entire', 'replace entire desk', 'replace entire desk staff', 'replace entire desk staff professional', 'entire', 'entire desk', 'entire desk staff', 'entire desk staff professional', 'desk', 'desk staff', 'desk staff professional', 'staff', 'staff professional', 'professional']",1,0,0,0,0,0,0,0,0.04081632653061224
150083,This man and his staff need.to be stopped from harming others.,1,man staff need stop harm,"['man', 'man staff', 'man staff need', 'man staff need stop', 'man staff need stop harm', 'staff', 'staff need', 'staff need stop', 'staff need stop harm', 'need', 'need stop', 'need stop harm', 'stop', 'stop harm', 'harm']",1,0,0,0,0,0,0,1,0.1111111111111111
93740,The most devastating part of the experience was his nasty attitude toward me and my very valid concerns regarding an obvious need,1,devastating experience nasty attitude valid concern obvious need,"['devastating', 'devastating experience', 'devastating experience nasty', 'devastating experience nasty attitude', 'devastating experience nasty attitude valid', 'devastating experience nasty attitude valid concern', 'devastating experience nasty attitude valid concern obvious', 'devastating experience nasty attitude valid concern obvious need', 'experience', 'experience nasty', 'experience nasty attitude', 'experience nasty attitude valid', 'experience nasty attitude valid concern', 'experience nasty attitude valid concern obvious', 'experience nasty attitude valid concern obvious need', 'nasty', 'nasty attitude', 'nasty attitude valid', 'nasty attitude valid concern', 'nasty attitude valid concern obvious', 'nasty attitude valid concern obvious need', 'attitude', 'attitude valid', 'attitude valid concern', 'attitude valid concern obvious', 'attitude valid concern obvious need', 'valid', 'valid concern', 'valid concern obvious', 'valid concern obvious need', 'concern', 'concern obvious', 'concern obvious need', 'obvious', 'obvious need', 'need']",1,0,0,0,0,0,0,0,0.03508771929824561
169538,"As for being a quack, he did lots and lots of prolotherapy injections without ever giving a diagnosis",1,quick lot lot prolotherapy injection give diagnosis,"['quick', 'quick lot', 'quick lot lot', 'quick lot lot prolotherapy', 'quick lot lot prolotherapy injection', 'quick lot lot prolotherapy injection give', 'quick lot lot prolotherapy injection give diagnosis', 'lot', 'lot lot', 'lot lot prolotherapy', 'lot lot prolotherapy injection', 'lot lot prolotherapy injection give', 'lot lot prolotherapy injection give diagnosis', 'lot', 'lot prolotherapy', 'lot prolotherapy injection', 'lot prolotherapy injection give', 'lot prolotherapy injection give diagnosis', 'prolotherapy', 'prolotherapy injection', 'prolotherapy injection give', 'prolotherapy injection give diagnosis', 'injection', 'injection give', 'injection give diagnosis', 'give', 'give diagnosis', 'diagnosis']",0,0,1,0,0,0,0,0,0.04081632653061224
73118,our life is just where it needs to be.,0,life need,"['life', 'life need', 'need']",1,0,0,0,0,0,0,0,0.08333333333333333
140496,Dr is amazing the front staff needs to learn customer service!,1,amaze staff need learn customer service,"['amaze', 'amaze staff', 'amaze staff need', 'amaze staff need learn', 'amaze staff need learn customer', 'amaze staff need learn customer service', 'staff', 'staff need', 'staff need learn', 'staff need learn customer', 'staff need learn customer service', 'need', 'need learn', 'need learn customer', 'need learn customer service', 'learn', 'learn customer', 'learn customer service', 'customer', 'customer service', 'service']",1,0,0,0,0,0,0,0,0.047619047619047616
85594,and were always being sure I was comfortable throughout the process.,0,sure comfortable process,"['sure', 'sure comfortable', 'sure comfortable process', 'comfortable', 'comfortable process', 'process']",0,0,0,0,0,1,0,0,0.07407407407407407
83051,They need more complaints to do anything.,1,need complaint,"['need', 'need complaint', 'complaint']",1,0,0,0,0,0,0,0,0.08333333333333333
123347,I can access Dr. Marcus when needed.,0,access marcus need,"['access', 'access marcus', 'access marcus need', 'marcus', 'marcus need', 'need']",1,0,0,0,0,0,0,0,0.07407407407407407
186663,for 10 years until he needed his first surgery.,0,need surgery,"['need', 'need surgery', 'surgery']",1,0,0,0,0,0,0,0,0.08333333333333333
183848,"I don't even need to use the nasal spray, it's been so life changing.",0,need use nasal spray life change,"['need', 'need use', 'need use nasal', 'need use nasal spray', 'need use nasal spray life', 'need use nasal spray life change', 'use', 'use nasal', 'use nasal spray', 'use nasal spray life', 'use nasal spray life change', 'nasal', 'nasal spray', 'nasal spray life', 'nasal spray life change', 'spray', 'spray life', 'spray life change', 'life', 'life change', 'change']",1,0,0,0,0,0,0,0,0.047619047619047616
