commentId,comment,classification,comment_processed,word_phrase_list,different,rebelliously,rebelliously worth,worth,plant,similarity_score
129354,"He NEVER told me he was using the SAME implants,",1,tell plant,"['tell', 'tell plant', 'plant']",0,0,0,0,1,0.12195121951219513
147238,My nse is still messed up but now in a different way.,1,use miss different way,"['use', 'use miss', 'use miss different', 'use miss different way', 'miss', 'miss different', 'miss different way', 'different', 'different way', 'way']",1,0,0,0,0,0.12195121951219513
97977,"I initially found Dr. Alexander on Google, then chose him by reading reviews on different websites.",0,initially find goose choose read review different webster,"['initially', 'initially find', 'initially find goose', 'initially find goose choose', 'initially find goose choose read', 'initially find goose choose read review', 'initially find goose choose read review different', 'initially find goose choose read review different webster', 'find', 'find goose', 'find goose choose', 'find goose choose read', 'find goose choose read review', 'find goose choose read review different', 'find goose choose read review different webster', 'goose', 'goose choose', 'goose choose read', 'goose choose read review', 'goose choose read review different', 'goose choose read review different webster', 'choose', 'choose read', 'choose read review', 'choose read review different', 'choose read review different webster', 'read', 'read review', 'read review different', 'read review different webster', 'review', 'review different', 'review different webster', 'different', 'different webster', 'webster']",1,0,0,0,0,0.12195121951219513
180497,We decided that a lift with implants would be the best option,0,decide lift plant good option,"['decide', 'decide lift', 'decide lift plant', 'decide lift plant good', 'decide lift plant good option', 'lift', 'lift plant', 'lift plant good', 'lift plant good option', 'plant', 'plant good', 'plant good option', 'good', 'good option', 'option']",0,0,0,0,1,0.12195121951219513
83466,It was worth the trip to fly in just,0,worth trip fly,"['worth', 'worth trip', 'worth trip fly', 'trip', 'trip fly', 'fly']",0,0,0,1,0,0.12195121951219513
134615,Today's appointment definitely made up for my terrible first experience at a different office.,0,today appointment decidedly terrible experience different office,"['today', 'today appointment', 'today appointment decidedly', 'today appointment decidedly terrible', 'today appointment decidedly terrible experience', 'today appointment decidedly terrible experience different', 'today appointment decidedly terrible experience different office', 'appointment', 'appointment decidedly', 'appointment decidedly terrible', 'appointment decidedly terrible experience', 'appointment decidedly terrible experience different', 'appointment decidedly terrible experience different office', 'decidedly', 'decidedly terrible', 'decidedly terrible experience', 'decidedly terrible experience different', 'decidedly terrible experience different office', 'terrible', 'terrible experience', 'terrible experience different', 'terrible experience different office', 'experience', 'experience different', 'experience different office', 'different', 'different office', 'office']",1,0,0,0,0,0.12195121951219513
118704,I'm glad that my delay didn't make the staff great me any different they didn't pressure me at all.,0,m glad delay staff great different pressure,"['m', 'm glad', 'm glad delay', 'm glad delay staff', 'm glad delay staff great', 'm glad delay staff great different', 'm glad delay staff great different pressure', 'glad', 'glad delay', 'glad delay staff', 'glad delay staff great', 'glad delay staff great different', 'glad delay staff great different pressure', 'delay', 'delay staff', 'delay staff great', 'delay staff great different', 'delay staff great different pressure', 'staff', 'staff great', 'staff great different', 'staff great different pressure', 'great', 'great different', 'great different pressure', 'different', 'different pressure', 'pressure']",1,0,0,0,0,0.12195121951219513
148886,I just wish I had a temporary tooth to fill the open spot till I get my implant.,1,wish temporary tooth fill open spot till plant,"['wish', 'wish temporary', 'wish temporary tooth', 'wish temporary tooth fill', 'wish temporary tooth fill open', 'wish temporary tooth fill open spot', 'wish temporary tooth fill open spot till', 'wish temporary tooth fill open spot till plant', 'temporary', 'temporary tooth', 'temporary tooth fill', 'temporary tooth fill open', 'temporary tooth fill open spot', 'temporary tooth fill open spot till', 'temporary tooth fill open spot till plant', 'tooth', 'tooth fill', 'tooth fill open', 'tooth fill open spot', 'tooth fill open spot till', 'tooth fill open spot till plant', 'fill', 'fill open', 'fill open spot', 'fill open spot till', 'fill open spot till plant', 'open', 'open spot', 'open spot till', 'open spot till plant', 'spot', 'spot till', 'spot till plant', 'till', 'till plant', 'plant']",0,0,0,0,1,0.12195121951219513
102818,"Great appointment, I will defienetly be coming back!",0,great appointment rebelliously come,"['great', 'great appointment', 'great appointment rebelliously', 'great appointment rebelliously come', 'appointment', 'appointment rebelliously', 'appointment rebelliously come', 'rebelliously', 'rebelliously come', 'come']",0,1,0,0,0,0.12195121951219513
103233,"Dr. Yung knows is very helpful and kind, I always feel secure when discussing different birth control methods with her.",0,know helpful kind feel secure discuss different birth control method,"['know', 'know helpful', 'know helpful kind', 'know helpful kind feel', 'know helpful kind feel secure', 'know helpful kind feel secure discuss', 'know helpful kind feel secure discuss different', 'know helpful kind feel secure discuss different birth', 'know helpful kind feel secure discuss different birth control', 'know helpful kind feel secure discuss different birth control method', 'helpful', 'helpful kind', 'helpful kind feel', 'helpful kind feel secure', 'helpful kind feel secure discuss', 'helpful kind feel secure discuss different', 'helpful kind feel secure discuss different birth', 'helpful kind feel secure discuss different birth control', 'helpful kind feel secure discuss different birth control method', 'kind', 'kind feel', 'kind feel secure', 'kind feel secure discuss', 'kind feel secure discuss different', 'kind feel secure discuss different birth', 'kind feel secure discuss different birth control', 'kind feel secure discuss different birth control method', 'feel', 'feel secure', 'feel secure discuss', 'feel secure discuss different', 'feel secure discuss different birth', 'feel secure discuss different birth control', 'feel secure discuss different birth control method', 'secure', 'secure discuss', 'secure discuss different', 'secure discuss different birth', 'secure discuss different birth control', 'secure discuss different birth control method', 'discuss', 'discuss different', 'discuss different birth', 'discuss different birth control', 'discuss different birth control method', 'different', 'different birth', 'different birth control', 'different birth control method', 'birth', 'birth control', 'birth control method', 'control', 'control method', 'method']",1,0,0,0,0,0.12195121951219513
145670,I left before the Doctor came in because I was beyond upset and it wasn't even worth it at that point.,1,leave doctor come upset worth point,"['leave', 'leave doctor', 'leave doctor come', 'leave doctor come upset', 'leave doctor come upset worth', 'leave doctor come upset worth point', 'doctor', 'doctor come', 'doctor come upset', 'doctor come upset worth', 'doctor come upset worth point', 'come', 'come upset', 'come upset worth', 'come upset worth point', 'upset', 'upset worth', 'upset worth point', 'worth', 'worth point', 'point']",0,0,0,1,0,0.12195121951219513
161918,"Urban Med spa made me feel important and valued today, and that to me is worth it's weight in gold.",0,urban master of education sea feel important value worth weight gold,"['urban', 'urban master', 'urban master of', 'urban master of education', 'urban master of education sea', 'urban master of education sea feel', 'urban master of education sea feel important', 'urban master of education sea feel important value', 'urban master of education sea feel important value worth', 'urban master of education sea feel important value worth weight', 'urban master of education sea feel important value worth weight gold', 'master', 'master of', 'master of education', 'master of education sea', 'master of education sea feel', 'master of education sea feel important', 'master of education sea feel important value', 'master of education sea feel important value worth', 'master of education sea feel important value worth weight', 'master of education sea feel important value worth weight gold', 'of', 'of education', 'of education sea', 'of education sea feel', 'of education sea feel important', 'of education sea feel important value', 'of education sea feel important value worth', 'of education sea feel important value worth weight', 'of education sea feel important value worth weight gold', 'education', 'education sea', 'education sea feel', 'education sea feel important', 'education sea feel important value', 'education sea feel important value worth', 'education sea feel important value worth weight', 'education sea feel important value worth weight gold', 'sea', 'sea feel', 'sea feel important', 'sea feel important value', 'sea feel important value worth', 'sea feel important value worth weight', 'sea feel important value worth weight gold', 'feel', 'feel important', 'feel important value', 'feel important value worth', 'feel important value worth weight', 'feel important value worth weight gold', 'important', 'important value', 'important value worth', 'important value worth weight', 'important value worth weight gold', 'value', 'value worth', 'value worth weight', 'value worth weight gold', 'worth', 'worth weight', 'worth weight gold', 'weight', 'weight gold', 'gold']",0,0,0,1,0,0.12195121951219513
151050,"The ""discount"" you're paying to get your procedures done here is NOT WORTH IT.",1,discount pay procedure worth,"['discount', 'discount pay', 'discount pay procedure', 'discount pay procedure worth', 'pay', 'pay procedure', 'pay procedure worth', 'procedure', 'procedure worth', 'worth']",0,0,0,1,0,0.12195121951219513
