commentId,comment,classification,comment_processed,word_phrase_list,tire,tire eye,eye,similarity_score
147104,My tear trough filler in my left eye looked like GARBAGE and still does.,1,tear trough filler leave eye look like garage,"['tear', 'tear trough', 'tear trough filler', 'tear trough filler leave', 'tear trough filler leave eye', 'tear trough filler leave eye look', 'tear trough filler leave eye look like', 'tear trough filler leave eye look like garage', 'trough', 'trough filler', 'trough filler leave', 'trough filler leave eye', 'trough filler leave eye look', 'trough filler leave eye look like', 'trough filler leave eye look like garage', 'filler', 'filler leave', 'filler leave eye', 'filler leave eye look', 'filler leave eye look like', 'filler leave eye look like garage', 'leave', 'leave eye', 'leave eye look', 'leave eye look like', 'leave eye look like garage', 'eye', 'eye look', 'eye look like', 'eye look like garage', 'look', 'look like', 'look like garage', 'like', 'like garage', 'garage']",0,0,1,0.3846153846153846
96073,NEVER allow a doctor to put radiesse near your eyes.,1,allow doctor radiesse near eye,"['allow', 'allow doctor', 'allow doctor radiesse', 'allow doctor radiesse near', 'allow doctor radiesse near eye', 'doctor', 'doctor radiesse', 'doctor radiesse near', 'doctor radiesse near eye', 'radiesse', 'radiesse near', 'radiesse near eye', 'near', 'near eye', 'eye']",0,0,1,0.3846153846153846
124566,"I said hello to Dr. Moulthrop in passing, and he completely ignored me even though we made eye contact, and he heard me.",1,say hello pass completely ignore eye contact hear,"['say', 'say hello', 'say hello pass', 'say hello pass completely', 'say hello pass completely ignore', 'say hello pass completely ignore eye', 'say hello pass completely ignore eye contact', 'say hello pass completely ignore eye contact hear', 'hello', 'hello pass', 'hello pass completely', 'hello pass completely ignore', 'hello pass completely ignore eye', 'hello pass completely ignore eye contact', 'hello pass completely ignore eye contact hear', 'pass', 'pass completely', 'pass completely ignore', 'pass completely ignore eye', 'pass completely ignore eye contact', 'pass completely ignore eye contact hear', 'completely', 'completely ignore', 'completely ignore eye', 'completely ignore eye contact', 'completely ignore eye contact hear', 'ignore', 'ignore eye', 'ignore eye contact', 'ignore eye contact hear', 'eye', 'eye contact', 'eye contact hear', 'contact', 'contact hear', 'hear']",0,0,1,0.3846153846153846
83404,so badly it had to be removed. 4 of us had our eyes collapse and droop from the Botox.,1,badly remove eye collapse droop,"['badly', 'badly remove', 'badly remove eye', 'badly remove eye collapse', 'badly remove eye collapse droop', 'remove', 'remove eye', 'remove eye collapse', 'remove eye collapse droop', 'eye', 'eye collapse', 'eye collapse droop', 'collapse', 'collapse droop', 'droop']",0,0,1,0.3846153846153846
74027,Left my eye droopy.,1,leave eye droop,"['leave', 'leave eye', 'leave eye droop', 'eye', 'eye droop', 'droop']",0,0,1,0.3846153846153846
131918,I was 20/200 before my surgery and at my post op appointment the next morning I was 20/20 with each individual eye,0,surgery post op appointment individual eye,"['surgery', 'surgery post', 'surgery post op', 'surgery post op appointment', 'surgery post op appointment individual', 'surgery post op appointment individual eye', 'post', 'post op', 'post op appointment', 'post op appointment individual', 'post op appointment individual eye', 'op', 'op appointment', 'op appointment individual', 'op appointment individual eye', 'appointment', 'appointment individual', 'appointment individual eye', 'individual', 'individual eye', 'eye']",0,0,1,0.3846153846153846
104631,I had a problem with one eye and Dr. Angrist saw me right away even though I was a new patient.,0,problem eye see right away new patient,"['problem', 'problem eye', 'problem eye see', 'problem eye see right', 'problem eye see right away', 'problem eye see right away new', 'problem eye see right away new patient', 'eye', 'eye see', 'eye see right', 'eye see right away', 'eye see right away new', 'eye see right away new patient', 'see', 'see right', 'see right away', 'see right away new', 'see right away new patient', 'right', 'right away', 'right away new', 'right away new patient', 'away', 'away new', 'away new patient', 'new', 'new patient', 'patient']",0,0,1,0.3846153846153846
137243,Trust your eyes to the team as my wife and myself have and SEE for yourself.,0,trust eye team wife,"['trust', 'trust eye', 'trust eye team', 'trust eye team wife', 'eye', 'eye team', 'eye team wife', 'team', 'team wife', 'wife']",0,0,1,0.3846153846153846
163244,but he charges $250 per area(!!?) which comes to a thousand dollars for just forehead and around eyes.,1,charge area come forehead eye,"['charge', 'charge area', 'charge area come', 'charge area come forehead', 'charge area come forehead eye', 'area', 'area come', 'area come forehead', 'area come forehead eye', 'come', 'come forehead', 'come forehead eye', 'forehead', 'forehead eye', 'eye']",0,0,1,0.3846153846153846
133771,I feel so blessed to have my eye sight back.,0,feel blessed eye sight,"['feel', 'feel blessed', 'feel blessed eye', 'feel blessed eye sight', 'blessed', 'blessed eye', 'blessed eye sight', 'eye', 'eye sight', 'sight']",0,0,1,0.3846153846153846
169843,Can't wait to get the other eye done.,0,wait eye,"['wait', 'wait eye', 'eye']",0,0,1,0.3846153846153846
189609,"As I aged, the heaviness became more apparent, making my eyes look and feel tired.",1,aged heaviness apparent make eye look feel tire,"['aged', 'aged heaviness', 'aged heaviness apparent', 'aged heaviness apparent make', 'aged heaviness apparent make eye', 'aged heaviness apparent make eye look', 'aged heaviness apparent make eye look feel', 'aged heaviness apparent make eye look feel tire', 'heaviness', 'heaviness apparent', 'heaviness apparent make', 'heaviness apparent make eye', 'heaviness apparent make eye look', 'heaviness apparent make eye look feel', 'heaviness apparent make eye look feel tire', 'apparent', 'apparent make', 'apparent make eye', 'apparent make eye look', 'apparent make eye look feel', 'apparent make eye look feel tire', 'make', 'make eye', 'make eye look', 'make eye look feel', 'make eye look feel tire', 'eye', 'eye look', 'eye look feel', 'eye look feel tire', 'look', 'look feel', 'look feel tire', 'feel', 'feel tire', 'tire']",1,0,1,0.7692307692307694
111191,Dr Garrett explained my eye surgery to me and all was set up to be done.,0,explain eye surgery set,"['explain', 'explain eye', 'explain eye surgery', 'explain eye surgery set', 'eye', 'eye surgery', 'eye surgery set', 'surgery', 'surgery set', 'set']",0,0,1,0.3846153846153846
