commentId,comment,classification,comment_processed,word_phrase_list,happily,happily recommend,recommend,canal,nose,nose job,job,similarity_score
150465,I was able to have permanent (not temporary like other offices offer) nose filler to fix the unevenness.,0,able permanent temporary like office offer nose filler fix unevenness,"['able', 'able permanent', 'able permanent temporary', 'able permanent temporary like', 'able permanent temporary like office', 'able permanent temporary like office offer', 'able permanent temporary like office offer nose', 'able permanent temporary like office offer nose filler', 'able permanent temporary like office offer nose filler fix', 'able permanent temporary like office offer nose filler fix unevenness', 'permanent', 'permanent temporary', 'permanent temporary like', 'permanent temporary like office', 'permanent temporary like office offer', 'permanent temporary like office offer nose', 'permanent temporary like office offer nose filler', 'permanent temporary like office offer nose filler fix', 'permanent temporary like office offer nose filler fix unevenness', 'temporary', 'temporary like', 'temporary like office', 'temporary like office offer', 'temporary like office offer nose', 'temporary like office offer nose filler', 'temporary like office offer nose filler fix', 'temporary like office offer nose filler fix unevenness', 'like', 'like office', 'like office offer', 'like office offer nose', 'like office offer nose filler', 'like office offer nose filler fix', 'like office offer nose filler fix unevenness', 'office', 'office offer', 'office offer nose', 'office offer nose filler', 'office offer nose filler fix', 'office offer nose filler fix unevenness', 'offer', 'offer nose', 'offer nose filler', 'offer nose filler fix', 'offer nose filler fix unevenness', 'nose', 'nose filler', 'nose filler fix', 'nose filler fix unevenness', 'filler', 'filler fix', 'filler fix unevenness', 'fix', 'fix unevenness', 'unevenness']",0,0,0,0,1,0,0,0.08196721311475409
78599,"the dentist recommended several things that cost a lot of money,",1,dentist recommend thing cost lot money,"['dentist', 'dentist recommend', 'dentist recommend thing', 'dentist recommend thing cost', 'dentist recommend thing cost lot', 'dentist recommend thing cost lot money', 'recommend', 'recommend thing', 'recommend thing cost', 'recommend thing cost lot', 'recommend thing cost lot money', 'thing', 'thing cost', 'thing cost lot', 'thing cost lot money', 'cost', 'cost lot', 'cost lot money', 'lot', 'lot money', 'money']",0,0,1,0,0,0,0,0.08196721311475409
169438,I will post pics of my nose so no one ever has to go through the sadness and embarrassment that I feel.,1,post pick nose sadness embarrassment feel,"['post', 'post pick', 'post pick nose', 'post pick nose sadness', 'post pick nose sadness embarrassment', 'post pick nose sadness embarrassment feel', 'pick', 'pick nose', 'pick nose sadness', 'pick nose sadness embarrassment', 'pick nose sadness embarrassment feel', 'nose', 'nose sadness', 'nose sadness embarrassment', 'nose sadness embarrassment feel', 'sadness', 'sadness embarrassment', 'sadness embarrassment feel', 'embarrassment', 'embarrassment feel', 'feel']",0,0,0,0,1,0,0,0.08196721311475409
119749,The anesthetist did his job very well but caused a minor discomfort with the comment is this hiv a misprint or...,0,job cause minor discomfort comment imprint,"['job', 'job cause', 'job cause minor', 'job cause minor discomfort', 'job cause minor discomfort comment', 'job cause minor discomfort comment imprint', 'cause', 'cause minor', 'cause minor discomfort', 'cause minor discomfort comment', 'cause minor discomfort comment imprint', 'minor', 'minor discomfort', 'minor discomfort comment', 'minor discomfort comment imprint', 'discomfort', 'discomfort comment', 'discomfort comment imprint', 'comment', 'comment imprint', 'imprint']",0,0,0,0,0,0,1,0.08196721311475409
168049,she is the best .Kendra is super funny and fun and excited and passionate about her job..,0,good tendre super funny fun excite passionate job,"['good', 'good tendre', 'good tendre super', 'good tendre super funny', 'good tendre super funny fun', 'good tendre super funny fun excite', 'good tendre super funny fun excite passionate', 'good tendre super funny fun excite passionate job', 'tendre', 'tendre super', 'tendre super funny', 'tendre super funny fun', 'tendre super funny fun excite', 'tendre super funny fun excite passionate', 'tendre super funny fun excite passionate job', 'super', 'super funny', 'super funny fun', 'super funny fun excite', 'super funny fun excite passionate', 'super funny fun excite passionate job', 'funny', 'funny fun', 'funny fun excite', 'funny fun excite passionate', 'funny fun excite passionate job', 'fun', 'fun excite', 'fun excite passionate', 'fun excite passionate job', 'excite', 'excite passionate', 'excite passionate job', 'passionate', 'passionate job', 'job']",0,0,0,0,0,0,1,0.08196721311475409
165576,I DO NOT recommend Dr. Hurwitz!,1,recommend,['recommend'],0,0,1,0,0,0,0,0.08196721311475409
113632,My rhinoplasty experience with Dr. Wise was absolutely fantastic.,0,nose job experience dr wise absolutely fantastic,"['nose', 'nose job', 'nose job experience', 'nose job experience dr', 'nose job experience dr wise', 'nose job experience dr wise absolutely', 'nose job experience dr wise absolutely fantastic', 'job', 'job experience', 'job experience dr', 'job experience dr wise', 'job experience dr wise absolutely', 'job experience dr wise absolutely fantastic', 'experience', 'experience dr', 'experience dr wise', 'experience dr wise absolutely', 'experience dr wise absolutely fantastic', 'dr', 'dr wise', 'dr wise absolutely', 'dr wise absolutely fantastic', 'wise', 'wise absolutely', 'wise absolutely fantastic', 'absolutely', 'absolutely fantastic', 'fantastic']",0,0,0,0,1,1,1,0.24590163934426226
176731,Needless to say that I happily left the clinic that day with a firm date for my surgery.,0,needle happily leave clinic firm date surgery,"['needle', 'needle happily', 'needle happily leave', 'needle happily leave clinic', 'needle happily leave clinic firm', 'needle happily leave clinic firm date', 'needle happily leave clinic firm date surgery', 'happily', 'happily leave', 'happily leave clinic', 'happily leave clinic firm', 'happily leave clinic firm date', 'happily leave clinic firm date surgery', 'leave', 'leave clinic', 'leave clinic firm', 'leave clinic firm date', 'leave clinic firm date surgery', 'clinic', 'clinic firm', 'clinic firm date', 'clinic firm date surgery', 'firm', 'firm date', 'firm date surgery', 'date', 'date surgery', 'surgery']",1,0,0,0,0,0,0,0.08196721311475409
118525,He does a great job of checking on you with scheduled follow ups and will handle any other concerns that you May have .,0,great job check schedule follow handle concern,"['great', 'great job', 'great job check', 'great job check schedule', 'great job check schedule follow', 'great job check schedule follow handle', 'great job check schedule follow handle concern', 'job', 'job check', 'job check schedule', 'job check schedule follow', 'job check schedule follow handle', 'job check schedule follow handle concern', 'check', 'check schedule', 'check schedule follow', 'check schedule follow handle', 'check schedule follow handle concern', 'schedule', 'schedule follow', 'schedule follow handle', 'schedule follow handle concern', 'follow', 'follow handle', 'follow handle concern', 'handle', 'handle concern', 'concern']",0,0,0,0,0,0,1,0.08196721311475409
139553,I would definitely recommend this office at the celebration location!,0,decidedly recommend office celebration location,"['decidedly', 'decidedly recommend', 'decidedly recommend office', 'decidedly recommend office celebration', 'decidedly recommend office celebration location', 'recommend', 'recommend office', 'recommend office celebration', 'recommend office celebration location', 'office', 'office celebration', 'office celebration location', 'celebration', 'celebration location', 'location']",0,0,1,0,0,0,0,0.08196721311475409
