commentId,comment,classification,comment_processed,word_phrase_list,needle,please,similarity_score
123857,"FYI, to indicate how very pleased I am, I am willing to commute 2 - 2 1/2 hours each way, to specifically see these gentlemen.",0,foi indicate please willing commune way specifically gentleman,"['foi', 'foi indicate', 'foi indicate please', 'foi indicate please willing', 'foi indicate please willing commune', 'foi indicate please willing commune way', 'foi indicate please willing commune way specifically', 'foi indicate please willing commune way specifically gentleman', 'indicate', 'indicate please', 'indicate please willing', 'indicate please willing commune', 'indicate please willing commune way', 'indicate please willing commune way specifically', 'indicate please willing commune way specifically gentleman', 'please', 'please willing', 'please willing commune', 'please willing commune way', 'please willing commune way specifically', 'please willing commune way specifically gentleman', 'willing', 'willing commune', 'willing commune way', 'willing commune way specifically', 'willing commune way specifically gentleman', 'commune', 'commune way', 'commune way specifically', 'commune way specifically gentleman', 'way', 'way specifically', 'way specifically gentleman', 'specifically', 'specifically gentleman', 'gentleman']",0,1,0.3846153846153846
176731,Needless to say that I happily left the clinic that day with a firm date for my surgery.,0,needle happily leave clinic firm date surgery,"['needle', 'needle happily', 'needle happily leave', 'needle happily leave clinic', 'needle happily leave clinic firm', 'needle happily leave clinic firm date', 'needle happily leave clinic firm date surgery', 'happily', 'happily leave', 'happily leave clinic', 'happily leave clinic firm', 'happily leave clinic firm date', 'happily leave clinic firm date surgery', 'leave', 'leave clinic', 'leave clinic firm', 'leave clinic firm date', 'leave clinic firm date surgery', 'clinic', 'clinic firm', 'clinic firm date', 'clinic firm date surgery', 'firm', 'firm date', 'firm date surgery', 'date', 'date surgery', 'surgery']",1,0,0.3846153846153846
154648,Not pleased with either.,1,please,['please'],0,1,0.3846153846153846
150026,"She said she hit a nerve and kept the needle in searching, I said that really hurts.",1,say hit nerve keep needle search say hurt,"['say', 'say hit', 'say hit nerve', 'say hit nerve keep', 'say hit nerve keep needle', 'say hit nerve keep needle search', 'say hit nerve keep needle search say', 'say hit nerve keep needle search say hurt', 'hit', 'hit nerve', 'hit nerve keep', 'hit nerve keep needle', 'hit nerve keep needle search', 'hit nerve keep needle search say', 'hit nerve keep needle search say hurt', 'nerve', 'nerve keep', 'nerve keep needle', 'nerve keep needle search', 'nerve keep needle search say', 'nerve keep needle search say hurt', 'keep', 'keep needle', 'keep needle search', 'keep needle search say', 'keep needle search say hurt', 'needle', 'needle search', 'needle search say', 'needle search say hurt', 'search', 'search say', 'search say hurt', 'say', 'say hurt', 'hurt']",1,0,0.3846153846153846
142895,Needless to say I?m very happy.,0,needle m happy,"['needle', 'needle m', 'needle m happy', 'm', 'm happy', 'happy']",1,0,0.3846153846153846
105043,I couldn't be more pleased with my care and the quality of work he performed!!,0,please care quality work perform,"['please', 'please care', 'please care quality', 'please care quality work', 'please care quality work perform', 'care', 'care quality', 'care quality work', 'care quality work perform', 'quality', 'quality work', 'quality work perform', 'work', 'work perform', 'perform']",0,1,0.3846153846153846
57695,I was very pleased with my visit.,0,please visit,"['please', 'please visit', 'visit']",0,1,0.3846153846153846
91398,Pleased with Result. 10 weeks pregnancy check up with doctor Kelly.,0,please result pregnancy check doctor,"['please', 'please result', 'please result pregnancy', 'please result pregnancy check', 'please result pregnancy check doctor', 'result', 'result pregnancy', 'result pregnancy check', 'result pregnancy check doctor', 'pregnancy', 'pregnancy check', 'pregnancy check doctor', 'check', 'check doctor', 'doctor']",0,1,0.3846153846153846
136192,I could not be more pleased with my experience here.,0,please experience,"['please', 'please experience', 'experience']",0,1,0.3846153846153846
66487,I was pleased with his job.,0,please job,"['please', 'please job', 'job']",0,1,0.3846153846153846
156401,From my first appointment to final appointment I have been extremely pleased.,0,appointment final appointment extremely please,"['appointment', 'appointment final', 'appointment final appointment', 'appointment final appointment extremely', 'appointment final appointment extremely please', 'final', 'final appointment', 'final appointment extremely', 'final appointment extremely please', 'appointment', 'appointment extremely', 'appointment extremely please', 'extremely', 'extremely please', 'please']",0,1,0.3846153846153846
92606,Very pleased with the front staff.,0,please staff,"['please', 'please staff', 'staff']",0,1,0.3846153846153846
161431,I have been extremely pleased with the customer service at this facility.,0,extremely please customer service facility,"['extremely', 'extremely please', 'extremely please customer', 'extremely please customer service', 'extremely please customer service facility', 'please', 'please customer', 'please customer service', 'please customer service facility', 'customer', 'customer service', 'customer service facility', 'service', 'service facility', 'facility']",0,1,0.3846153846153846
