commentId,comment,classification,comment_processed,word_phrase_list,mummy,mummy tuck,tuck,wonder,wrong,wrong pain,pain,similarity_score
92376,After surgery I was so happy and relieved and pain free that I tell everyone it is the best thing and,0,surgery happy relieve pain free tell good thing,"['surgery', 'surgery happy', 'surgery happy relieve', 'surgery happy relieve pain', 'surgery happy relieve pain free', 'surgery happy relieve pain free tell', 'surgery happy relieve pain free tell good', 'surgery happy relieve pain free tell good thing', 'happy', 'happy relieve', 'happy relieve pain', 'happy relieve pain free', 'happy relieve pain free tell', 'happy relieve pain free tell good', 'happy relieve pain free tell good thing', 'relieve', 'relieve pain', 'relieve pain free', 'relieve pain free tell', 'relieve pain free tell good', 'relieve pain free tell good thing', 'pain', 'pain free', 'pain free tell', 'pain free tell good', 'pain free tell good thing', 'free', 'free tell', 'free tell good', 'free tell good thing', 'tell', 'tell good', 'tell good thing', 'good', 'good thing', 'thing']",0,0,0,0,0,0,1,0.08196721311475409
134920,The pain I was having in my legs has decreased nice I had the procedure 6 weeks ago.,0,pain have leg decrease nice,"['pain', 'pain have', 'pain have leg', 'pain have leg decrease', 'pain have leg decrease nice', 'have', 'have leg', 'have leg decrease', 'have leg decrease nice', 'leg', 'leg decrease', 'leg decrease nice', 'decrease', 'decrease nice', 'nice']",0,0,0,0,0,0,1,0.08196721311475409
152930,I would NOT trust him to operate on me when my pain is in my NECK and he cuts on my lower lumbar!!,1,trust operate pain neck cut low lumbar,"['trust', 'trust operate', 'trust operate pain', 'trust operate pain neck', 'trust operate pain neck cut', 'trust operate pain neck cut low', 'trust operate pain neck cut low lumbar', 'operate', 'operate pain', 'operate pain neck', 'operate pain neck cut', 'operate pain neck cut low', 'operate pain neck cut low lumbar', 'pain', 'pain neck', 'pain neck cut', 'pain neck cut low', 'pain neck cut low lumbar', 'neck', 'neck cut', 'neck cut low', 'neck cut low lumbar', 'cut', 'cut low', 'cut low lumbar', 'low', 'low lumbar', 'lumbar']",0,0,0,0,0,0,1,0.08196721311475409
83633,However my pain remains about the same as when I entered the hospital 10 days ago.,1,pain remain enter hospital day ago,"['pain', 'pain remain', 'pain remain enter', 'pain remain enter hospital', 'pain remain enter hospital day', 'pain remain enter hospital day ago', 'remain', 'remain enter', 'remain enter hospital', 'remain enter hospital day', 'remain enter hospital day ago', 'enter', 'enter hospital', 'enter hospital day', 'enter hospital day ago', 'hospital', 'hospital day', 'hospital day ago', 'day', 'day ago', 'ago']",0,0,0,0,0,0,1,0.08196721311475409
145370,I got a tummy tuck about a year and a half ago and the most direct thing I can say is I was butchered.,1,get mummy tuck direct thing butcher,"['get', 'get mummy', 'get mummy tuck', 'get mummy tuck direct', 'get mummy tuck direct thing', 'get mummy tuck direct thing butcher', 'mummy', 'mummy tuck', 'mummy tuck direct', 'mummy tuck direct thing', 'mummy tuck direct thing butcher', 'tuck', 'tuck direct', 'tuck direct thing', 'tuck direct thing butcher', 'direct', 'direct thing', 'direct thing butcher', 'thing', 'thing butcher', 'butcher']",1,1,1,0,0,0,0,0.24590163934426226
145957,and NO PAIN MEDICATION NOTHING An u have just had surgery I thought I was going to die from pain so bad!,1,pain meditation u surgery think go die pain bad,"['pain', 'pain meditation', 'pain meditation u', 'pain meditation u surgery', 'pain meditation u surgery think', 'pain meditation u surgery think go', 'pain meditation u surgery think go die', 'pain meditation u surgery think go die pain', 'pain meditation u surgery think go die pain bad', 'meditation', 'meditation u', 'meditation u surgery', 'meditation u surgery think', 'meditation u surgery think go', 'meditation u surgery think go die', 'meditation u surgery think go die pain', 'meditation u surgery think go die pain bad', 'u', 'u surgery', 'u surgery think', 'u surgery think go', 'u surgery think go die', 'u surgery think go die pain', 'u surgery think go die pain bad', 'surgery', 'surgery think', 'surgery think go', 'surgery think go die', 'surgery think go die pain', 'surgery think go die pain bad', 'think', 'think go', 'think go die', 'think go die pain', 'think go die pain bad', 'go', 'go die', 'go die pain', 'go die pain bad', 'die', 'die pain', 'die pain bad', 'pain', 'pain bad', 'bad']",0,0,0,0,0,0,1,0.08196721311475409
85874,Back pain is worst now that before surgery.,1,pain bad surgery,"['pain', 'pain bad', 'pain bad surgery', 'bad', 'bad surgery', 'surgery']",0,0,0,0,0,0,1,0.08196721311475409
135339,Excellent Service very Nice People n Always welcome you to take The Pain away.,0,excellent service nice people n welcome pain away,"['excellent', 'excellent service', 'excellent service nice', 'excellent service nice people', 'excellent service nice people n', 'excellent service nice people n welcome', 'excellent service nice people n welcome pain', 'excellent service nice people n welcome pain away', 'service', 'service nice', 'service nice people', 'service nice people n', 'service nice people n welcome', 'service nice people n welcome pain', 'service nice people n welcome pain away', 'nice', 'nice people', 'nice people n', 'nice people n welcome', 'nice people n welcome pain', 'nice people n welcome pain away', 'people', 'people n', 'people n welcome', 'people n welcome pain', 'people n welcome pain away', 'n', 'n welcome', 'n welcome pain', 'n welcome pain away', 'welcome', 'welcome pain', 'welcome pain away', 'pain', 'pain away', 'away']",0,0,0,0,0,0,1,0.08196721311475409
190671,"I don't want to minimize it: I was swollen, felt pain and also felt nauseous.",1,want minimize swell feel pain feel caseous,"['want', 'want minimize', 'want minimize swell', 'want minimize swell feel', 'want minimize swell feel pain', 'want minimize swell feel pain feel', 'want minimize swell feel pain feel caseous', 'minimize', 'minimize swell', 'minimize swell feel', 'minimize swell feel pain', 'minimize swell feel pain feel', 'minimize swell feel pain feel caseous', 'swell', 'swell feel', 'swell feel pain', 'swell feel pain feel', 'swell feel pain feel caseous', 'feel', 'feel pain', 'feel pain feel', 'feel pain feel caseous', 'pain', 'pain feel', 'pain feel caseous', 'feel', 'feel caseous', 'caseous']",0,0,0,0,0,0,1,0.08196721311475409
153440,"I am now 5 days post op, and I feel like I got the Rolls-Royce of Mommy Makeovers.",0,day post op feel like get rollsroyce mummy maneuver,"['day', 'day post', 'day post op', 'day post op feel', 'day post op feel like', 'day post op feel like get', 'day post op feel like get rollsroyce', 'day post op feel like get rollsroyce mummy', 'day post op feel like get rollsroyce mummy maneuver', 'post', 'post op', 'post op feel', 'post op feel like', 'post op feel like get', 'post op feel like get rollsroyce', 'post op feel like get rollsroyce mummy', 'post op feel like get rollsroyce mummy maneuver', 'op', 'op feel', 'op feel like', 'op feel like get', 'op feel like get rollsroyce', 'op feel like get rollsroyce mummy', 'op feel like get rollsroyce mummy maneuver', 'feel', 'feel like', 'feel like get', 'feel like get rollsroyce', 'feel like get rollsroyce mummy', 'feel like get rollsroyce mummy maneuver', 'like', 'like get', 'like get rollsroyce', 'like get rollsroyce mummy', 'like get rollsroyce mummy maneuver', 'get', 'get rollsroyce', 'get rollsroyce mummy', 'get rollsroyce mummy maneuver', 'rollsroyce', 'rollsroyce mummy', 'rollsroyce mummy maneuver', 'mummy', 'mummy maneuver', 'maneuver']",1,0,0,0,0,0,0,0.08196721311475409
