commentId,comment,classification,comment_processed,word_phrase_list,visit,nurse,nurse practitioner,practitioner,comfort,similarity_score
129687,"Moral of the story while the nurses are all great, this is your body and money",0,moral story nurse great body money,"['moral', 'moral story', 'moral story nurse', 'moral story nurse great', 'moral story nurse great body', 'moral story nurse great body money', 'story', 'story nurse', 'story nurse great', 'story nurse great body', 'story nurse great body money', 'nurse', 'nurse great', 'nurse great body', 'nurse great body money', 'great', 'great body', 'great body money', 'body', 'body money', 'money']",0,1,0,0,0,0.08196721311475409
112669,"I will never go to another practitioner because she is just THAT good and, like I said, actually an angel of a human.",0,practitioner good like say actually angel human,"['practitioner', 'practitioner good', 'practitioner good like', 'practitioner good like say', 'practitioner good like say actually', 'practitioner good like say actually angel', 'practitioner good like say actually angel human', 'good', 'good like', 'good like say', 'good like say actually', 'good like say actually angel', 'good like say actually angel human', 'like', 'like say', 'like say actually', 'like say actually angel', 'like say actually angel human', 'say', 'say actually', 'say actually angel', 'say actually angel human', 'actually', 'actually angel', 'actually angel human', 'angel', 'angel human', 'human']",0,0,0,1,0,0.08196721311475409
105643,you choose a hospital for a doctor but then you end up being treated by only Nurses.,1,choose hospital doctor end treat nurse,"['choose', 'choose hospital', 'choose hospital doctor', 'choose hospital doctor end', 'choose hospital doctor end treat', 'choose hospital doctor end treat nurse', 'hospital', 'hospital doctor', 'hospital doctor end', 'hospital doctor end treat', 'hospital doctor end treat nurse', 'doctor', 'doctor end', 'doctor end treat', 'doctor end treat nurse', 'end', 'end treat', 'end treat nurse', 'treat', 'treat nurse', 'nurse']",0,1,0,0,0,0.08196721311475409
152538,This was by far the worst doctors visit I have experienced in 40 years.,1,far bad doctor visit experience,"['far', 'far bad', 'far bad doctor', 'far bad doctor visit', 'far bad doctor visit experience', 'bad', 'bad doctor', 'bad doctor visit', 'bad doctor visit experience', 'doctor', 'doctor visit', 'doctor visit experience', 'visit', 'visit experience', 'experience']",1,0,0,0,0,0.08196721311475409
140801,"His entire staff and office reflect a welcoming culture of medical excellence, patient comfort, and genuine concern.",0,entire staff office reflect welcome culture medical excellence patient comfort genuine concern,"['entire', 'entire staff', 'entire staff office', 'entire staff office reflect', 'entire staff office reflect welcome', 'entire staff office reflect welcome culture', 'entire staff office reflect welcome culture medical', 'entire staff office reflect welcome culture medical excellence', 'entire staff office reflect welcome culture medical excellence patient', 'entire staff office reflect welcome culture medical excellence patient comfort', 'entire staff office reflect welcome culture medical excellence patient comfort genuine', 'entire staff office reflect welcome culture medical excellence patient comfort genuine concern', 'staff', 'staff office', 'staff office reflect', 'staff office reflect welcome', 'staff office reflect welcome culture', 'staff office reflect welcome culture medical', 'staff office reflect welcome culture medical excellence', 'staff office reflect welcome culture medical excellence patient', 'staff office reflect welcome culture medical excellence patient comfort', 'staff office reflect welcome culture medical excellence patient comfort genuine', 'staff office reflect welcome culture medical excellence patient comfort genuine concern', 'office', 'office reflect', 'office reflect welcome', 'office reflect welcome culture', 'office reflect welcome culture medical', 'office reflect welcome culture medical excellence', 'office reflect welcome culture medical excellence patient', 'office reflect welcome culture medical excellence patient comfort', 'office reflect welcome culture medical excellence patient comfort genuine', 'office reflect welcome culture medical excellence patient comfort genuine concern', 'reflect', 'reflect welcome', 'reflect welcome culture', 'reflect welcome culture medical', 'reflect welcome culture medical excellence', 'reflect welcome culture medical excellence patient', 'reflect welcome culture medical excellence patient comfort', 'reflect welcome culture medical excellence patient comfort genuine', 'reflect welcome culture medical excellence patient comfort genuine concern', 'welcome', 'welcome culture', 'welcome culture medical', 'welcome culture medical excellence', 'welcome culture medical excellence patient', 'welcome culture medical excellence patient comfort', 'welcome culture medical excellence patient comfort genuine', 'welcome culture medical excellence patient comfort genuine concern', 'culture', 'culture medical', 'culture medical excellence', 'culture medical excellence patient', 'culture medical excellence patient comfort', 'culture medical excellence patient comfort genuine', 'culture medical excellence patient comfort genuine concern', 'medical', 'medical excellence', 'medical excellence patient', 'medical excellence patient comfort', 'medical excellence patient comfort genuine', 'medical excellence patient comfort genuine concern', 'excellence', 'excellence patient', 'excellence patient comfort', 'excellence patient comfort genuine', 'excellence patient comfort genuine concern', 'patient', 'patient comfort', 'patient comfort genuine', 'patient comfort genuine concern', 'comfort', 'comfort genuine', 'comfort genuine concern', 'genuine', 'genuine concern', 'concern']",0,0,0,0,1,0.08196721311475409
93732,Debbie the OR nurse took care of me as if I was her own daughter.,0,debate nurse take care daughter,"['debate', 'debate nurse', 'debate nurse take', 'debate nurse take care', 'debate nurse take care daughter', 'nurse', 'nurse take', 'nurse take care', 'nurse take care daughter', 'take', 'take care', 'take care daughter', 'care', 'care daughter', 'daughter']",0,1,0,0,0,0.08196721311475409
69974,I always feel like im in good hands when i visit this office.,0,feel like m good hand visit office,"['feel', 'feel like', 'feel like m', 'feel like m good', 'feel like m good hand', 'feel like m good hand visit', 'feel like m good hand visit office', 'like', 'like m', 'like m good', 'like m good hand', 'like m good hand visit', 'like m good hand visit office', 'm', 'm good', 'm good hand', 'm good hand visit', 'm good hand visit office', 'good', 'good hand', 'good hand visit', 'good hand visit office', 'hand', 'hand visit', 'hand visit office', 'visit', 'visit office', 'office']",1,0,0,0,0,0.08196721311475409
82122,I've never had such an amazing dental visit!,0,ve amaze dental visit,"['ve', 've amaze', 've amaze dental', 've amaze dental visit', 'amaze', 'amaze dental', 'amaze dental visit', 'dental', 'dental visit', 'visit']",1,0,0,0,0,0.08196721311475409
173488,The nurse shelley was very helpful in my care after surgery.,0,nurse shell helpful care surgery,"['nurse', 'nurse shell', 'nurse shell helpful', 'nurse shell helpful care', 'nurse shell helpful care surgery', 'shell', 'shell helpful', 'shell helpful care', 'shell helpful care surgery', 'helpful', 'helpful care', 'helpful care surgery', 'care', 'care surgery', 'surgery']",0,1,0,0,0,0.08196721311475409
57688,"Tell us what is going on with the visit, what is getting done.",1,tell go visit get,"['tell', 'tell go', 'tell go visit', 'tell go visit get', 'go', 'go visit', 'go visit get', 'visit', 'visit get', 'get']",1,0,0,0,0,0.08196721311475409
164353,The day of the surgery came and Dr. Layliev and his team were so comforting and calmed me down immediately.,0,surgery come team comfort calm immediately,"['surgery', 'surgery come', 'surgery come team', 'surgery come team comfort', 'surgery come team comfort calm', 'surgery come team comfort calm immediately', 'come', 'come team', 'come team comfort', 'come team comfort calm', 'come team comfort calm immediately', 'team', 'team comfort', 'team comfort calm', 'team comfort calm immediately', 'comfort', 'comfort calm', 'comfort calm immediately', 'calm', 'calm immediately', 'immediately']",0,0,0,0,1,0.08196721311475409
185883,They yelled at my daughter when she requested an in person visit.,1,yell daughter request person visit,"['yell', 'yell daughter', 'yell daughter request', 'yell daughter request person', 'yell daughter request person visit', 'daughter', 'daughter request', 'daughter request person', 'daughter request person visit', 'request', 'request person', 'request person visit', 'person', 'person visit', 'visit']",1,0,0,0,0,0.08196721311475409
