commentId,comment,classification,comment_processed,word_phrase_list,silk,flower,light,form,date,similarity_score
87685,"and together, they form an amazing team!",0,form amaze team,"['form', 'form amaze', 'form amaze team', 'amaze', 'amaze team', 'team']",0,0,0,1,0,0.08196721311475409
176731,Needless to say that I happily left the clinic that day with a firm date for my surgery.,0,needle happily leave clinic firm date surgery,"['needle', 'needle happily', 'needle happily leave', 'needle happily leave clinic', 'needle happily leave clinic firm', 'needle happily leave clinic firm date', 'needle happily leave clinic firm date surgery', 'happily', 'happily leave', 'happily leave clinic', 'happily leave clinic firm', 'happily leave clinic firm date', 'happily leave clinic firm date surgery', 'leave', 'leave clinic', 'leave clinic firm', 'leave clinic firm date', 'leave clinic firm date surgery', 'clinic', 'clinic firm', 'clinic firm date', 'clinic firm date surgery', 'firm', 'firm date', 'firm date surgery', 'date', 'date surgery', 'surgery']",0,0,0,0,1,0.08196721311475409
166560,I just got a call from Dr. Smolen's office she requires a visit to fill out the form.,1,get dr smolensk office require visit fill form,"['get', 'get dr', 'get dr smolensk', 'get dr smolensk office', 'get dr smolensk office require', 'get dr smolensk office require visit', 'get dr smolensk office require visit fill', 'get dr smolensk office require visit fill form', 'dr', 'dr smolensk', 'dr smolensk office', 'dr smolensk office require', 'dr smolensk office require visit', 'dr smolensk office require visit fill', 'dr smolensk office require visit fill form', 'smolensk', 'smolensk office', 'smolensk office require', 'smolensk office require visit', 'smolensk office require visit fill', 'smolensk office require visit fill form', 'office', 'office require', 'office require visit', 'office require visit fill', 'office require visit fill form', 'require', 'require visit', 'require visit fill', 'require visit fill form', 'visit', 'visit fill', 'visit fill form', 'fill', 'fill form', 'form']",0,0,0,1,0,0.08196721311475409
103249,I even had light spotting after the exam which has never happened before.I returned a month later to get an IUD insertion.,1,light sporting examination happen return mud insertion,"['light', 'light sporting', 'light sporting examination', 'light sporting examination happen', 'light sporting examination happen return', 'light sporting examination happen return mud', 'light sporting examination happen return mud insertion', 'sporting', 'sporting examination', 'sporting examination happen', 'sporting examination happen return', 'sporting examination happen return mud', 'sporting examination happen return mud insertion', 'examination', 'examination happen', 'examination happen return', 'examination happen return mud', 'examination happen return mud insertion', 'happen', 'happen return', 'happen return mud', 'happen return mud insertion', 'return', 'return mud', 'return mud insertion', 'mud', 'mud insertion', 'insertion']",0,0,1,0,0,0.08196721311475409
98967,My experience to date has been outstanding.,0,experience date outstanding,"['experience', 'experience date', 'experience date outstanding', 'date', 'date outstanding', 'outstanding']",0,0,0,0,1,0.08196721311475409
104105,He does not give me an option to change my mind about signing the forms;,1,option change mind sign form,"['option', 'option change', 'option change mind', 'option change mind sign', 'option change mind sign form', 'change', 'change mind', 'change mind sign', 'change mind sign form', 'mind', 'mind sign', 'mind sign form', 'sign', 'sign form', 'form']",0,0,0,1,0,0.08196721311475409
174240,I picked the soonest date I could and everything worked out.,0,pick sooner date work,"['pick', 'pick sooner', 'pick sooner date', 'pick sooner date work', 'sooner', 'sooner date', 'sooner date work', 'date', 'date work', 'work']",0,0,0,0,1,0.08196721311475409
172754,Clinic could do a better job just updating patients waiting if there will be a delay beyond 15-20 minutes .,1,clinic good job date patient wait delay minute,"['clinic', 'clinic good', 'clinic good job', 'clinic good job date', 'clinic good job date patient', 'clinic good job date patient wait', 'clinic good job date patient wait delay', 'clinic good job date patient wait delay minute', 'good', 'good job', 'good job date', 'good job date patient', 'good job date patient wait', 'good job date patient wait delay', 'good job date patient wait delay minute', 'job', 'job date', 'job date patient', 'job date patient wait', 'job date patient wait delay', 'job date patient wait delay minute', 'date', 'date patient', 'date patient wait', 'date patient wait delay', 'date patient wait delay minute', 'patient', 'patient wait', 'patient wait delay', 'patient wait delay minute', 'wait', 'wait delay', 'wait delay minute', 'delay', 'delay minute', 'minute']",0,0,0,0,1,0.08196721311475409
163109,I will say that I have experienced considerable anxiety not knowing whether required forms would be completed in a timely manner.,1,experience considerable anxiety know require form complete timely manner,"['experience', 'experience considerable', 'experience considerable anxiety', 'experience considerable anxiety know', 'experience considerable anxiety know require', 'experience considerable anxiety know require form', 'experience considerable anxiety know require form complete', 'experience considerable anxiety know require form complete timely', 'experience considerable anxiety know require form complete timely manner', 'considerable', 'considerable anxiety', 'considerable anxiety know', 'considerable anxiety know require', 'considerable anxiety know require form', 'considerable anxiety know require form complete', 'considerable anxiety know require form complete timely', 'considerable anxiety know require form complete timely manner', 'anxiety', 'anxiety know', 'anxiety know require', 'anxiety know require form', 'anxiety know require form complete', 'anxiety know require form complete timely', 'anxiety know require form complete timely manner', 'know', 'know require', 'know require form', 'know require form complete', 'know require form complete timely', 'know require form complete timely manner', 'require', 'require form', 'require form complete', 'require form complete timely', 'require form complete timely manner', 'form', 'form complete', 'form complete timely', 'form complete timely manner', 'complete', 'complete timely', 'complete timely manner', 'timely', 'timely manner', 'manner']",0,0,0,1,0,0.08196721311475409
186711,Left a couple of voice mails before my appoint date to confirm the visit.,0,leave couple voice mail appoint date confirm visit,"['leave', 'leave couple', 'leave couple voice', 'leave couple voice mail', 'leave couple voice mail appoint', 'leave couple voice mail appoint date', 'leave couple voice mail appoint date confirm', 'leave couple voice mail appoint date confirm visit', 'couple', 'couple voice', 'couple voice mail', 'couple voice mail appoint', 'couple voice mail appoint date', 'couple voice mail appoint date confirm', 'couple voice mail appoint date confirm visit', 'voice', 'voice mail', 'voice mail appoint', 'voice mail appoint date', 'voice mail appoint date confirm', 'voice mail appoint date confirm visit', 'mail', 'mail appoint', 'mail appoint date', 'mail appoint date confirm', 'mail appoint date confirm visit', 'appoint', 'appoint date', 'appoint date confirm', 'appoint date confirm visit', 'date', 'date confirm', 'date confirm visit', 'confirm', 'confirm visit', 'visit']",0,0,0,0,1,0.08196721311475409
