commentId,comment,classification,comment_processed,word_phrase_list,surgeon,knife,knife happy,happy,similarity_score
92376,After surgery I was so happy and relieved and pain free that I tell everyone it is the best thing and,0,surgery happy relieve pain free tell good thing,"['surgery', 'surgery happy', 'surgery happy relieve', 'surgery happy relieve pain', 'surgery happy relieve pain free', 'surgery happy relieve pain free tell', 'surgery happy relieve pain free tell good', 'surgery happy relieve pain free tell good thing', 'happy', 'happy relieve', 'happy relieve pain', 'happy relieve pain free', 'happy relieve pain free tell', 'happy relieve pain free tell good', 'happy relieve pain free tell good thing', 'relieve', 'relieve pain', 'relieve pain free', 'relieve pain free tell', 'relieve pain free tell good', 'relieve pain free tell good thing', 'pain', 'pain free', 'pain free tell', 'pain free tell good', 'pain free tell good thing', 'free', 'free tell', 'free tell good', 'free tell good thing', 'tell', 'tell good', 'tell good thing', 'good', 'good thing', 'thing']",0,0,0,1,0.2
104673,"Friendly, informative, happy I selected this clinic.",0,friendly information happy choose clinic,"['friendly', 'friendly information', 'friendly information happy', 'friendly information happy choose', 'friendly information happy choose clinic', 'information', 'information happy', 'information happy choose', 'information happy choose clinic', 'happy', 'happy choose', 'happy choose clinic', 'choose', 'choose clinic', 'clinic']",0,0,0,1,0.2
68095,I am an afficionado of surgeons having had extensive work with a number of highly regarded leaders in their field and am most impressed by Dr Haworth.,0,afficionado surgeon have extensive work number highly regard leader field impress,"['afficionado', 'afficionado surgeon', 'afficionado surgeon have', 'afficionado surgeon have extensive', 'afficionado surgeon have extensive work', 'afficionado surgeon have extensive work number', 'afficionado surgeon have extensive work number highly', 'afficionado surgeon have extensive work number highly regard', 'afficionado surgeon have extensive work number highly regard leader', 'afficionado surgeon have extensive work number highly regard leader field', 'afficionado surgeon have extensive work number highly regard leader field impress', 'surgeon', 'surgeon have', 'surgeon have extensive', 'surgeon have extensive work', 'surgeon have extensive work number', 'surgeon have extensive work number highly', 'surgeon have extensive work number highly regard', 'surgeon have extensive work number highly regard leader', 'surgeon have extensive work number highly regard leader field', 'surgeon have extensive work number highly regard leader field impress', 'have', 'have extensive', 'have extensive work', 'have extensive work number', 'have extensive work number highly', 'have extensive work number highly regard', 'have extensive work number highly regard leader', 'have extensive work number highly regard leader field', 'have extensive work number highly regard leader field impress', 'extensive', 'extensive work', 'extensive work number', 'extensive work number highly', 'extensive work number highly regard', 'extensive work number highly regard leader', 'extensive work number highly regard leader field', 'extensive work number highly regard leader field impress', 'work', 'work number', 'work number highly', 'work number highly regard', 'work number highly regard leader', 'work number highly regard leader field', 'work number highly regard leader field impress', 'number', 'number highly', 'number highly regard', 'number highly regard leader', 'number highly regard leader field', 'number highly regard leader field impress', 'highly', 'highly regard', 'highly regard leader', 'highly regard leader field', 'highly regard leader field impress', 'regard', 'regard leader', 'regard leader field', 'regard leader field impress', 'leader', 'leader field', 'leader field impress', 'field', 'field impress', 'impress']",1,0,0,0,0.2
168918,I usually see Vanessa but I met Sarah with Vanessa during her training and I was happy to see her while Vanessa was out.,0,normally vinesse meet vinesse train happy vinesse,"['normally', 'normally vinesse', 'normally vinesse meet', 'normally vinesse meet vinesse', 'normally vinesse meet vinesse train', 'normally vinesse meet vinesse train happy', 'normally vinesse meet vinesse train happy vinesse', 'vinesse', 'vinesse meet', 'vinesse meet vinesse', 'vinesse meet vinesse train', 'vinesse meet vinesse train happy', 'vinesse meet vinesse train happy vinesse', 'meet', 'meet vinesse', 'meet vinesse train', 'meet vinesse train happy', 'meet vinesse train happy vinesse', 'vinesse', 'vinesse train', 'vinesse train happy', 'vinesse train happy vinesse', 'train', 'train happy', 'train happy vinesse', 'happy', 'happy vinesse', 'vinesse']",0,0,0,1,0.2
96477,She did not have the money to go to a plastic surgeon after spending her money on Cuzalina.,1,money plastic surgeon spend money cuzalina,"['money', 'money plastic', 'money plastic surgeon', 'money plastic surgeon spend', 'money plastic surgeon spend money', 'money plastic surgeon spend money cuzalina', 'plastic', 'plastic surgeon', 'plastic surgeon spend', 'plastic surgeon spend money', 'plastic surgeon spend money cuzalina', 'surgeon', 'surgeon spend', 'surgeon spend money', 'surgeon spend money cuzalina', 'spend', 'spend money', 'spend money cuzalina', 'money', 'money cuzalina', 'cuzalina']",1,0,0,0,0.2
126641,"After studying the choices of surgeons in my area, I chose Kleiman Evangelista.",0,study choice surgeon area choose kleiman,"['study', 'study choice', 'study choice surgeon', 'study choice surgeon area', 'study choice surgeon area choose', 'study choice surgeon area choose kleiman', 'choice', 'choice surgeon', 'choice surgeon area', 'choice surgeon area choose', 'choice surgeon area choose kleiman', 'surgeon', 'surgeon area', 'surgeon area choose', 'surgeon area choose kleiman', 'area', 'area choose', 'area choose kleiman', 'choose', 'choose kleiman', 'kleiman']",1,0,0,0,0.2
70462,I just finished my Invisalign and I could not be happier.,0,finish invisalign happy,"['finish', 'finish invisalign', 'finish invisalign happy', 'invisalign', 'invisalign happy', 'happy']",0,0,0,1,0.2
128252,I couldn't be happier even now 8  years later.,0,happy,['happy'],0,0,0,1,0.2
178781,"and I went back to the office to let them know why I was not happy with my results, not",1,go office let know happy result,"['go', 'go office', 'go office let', 'go office let know', 'go office let know happy', 'go office let know happy result', 'office', 'office let', 'office let know', 'office let know happy', 'office let know happy result', 'let', 'let know', 'let know happy', 'let know happy result', 'know', 'know happy', 'know happy result', 'happy', 'happy result', 'result']",0,0,0,1,0.2
80367,and I couldn't be happier.,0,happy,['happy'],0,0,0,1,0.2
