commentId,comment,classification,comment_processed,word_phrase_list,social,social medium,social medium prevent,social medium prevent experience,social medium prevent experience practice,social medium prevent experience practice total,social medium prevent experience practice total lack,social medium prevent experience practice total lack integrity,medium,medium prevent,medium prevent experience,medium prevent experience practice,medium prevent experience practice total,medium prevent experience practice total lack,medium prevent experience practice total lack integrity,prevent,prevent experience,prevent experience practice,prevent experience practice total,prevent experience practice total lack,prevent experience practice total lack integrity,experience,experience practice,experience practice total,experience practice total lack,experience practice total lack integrity,practice,practice total,practice total lack,practice total lack integrity,total,total lack,total lack integrity,lack,lack integrity,integrity
96090,and every experience has been absolutely wonderful.,0,experience absolutely fantastic,"['experience', 'experience absolutely', 'experience absolutely fantastic', 'absolutely', 'absolutely fantastic', 'fantastic']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93740,The most devastating part of the experience was his nasty attitude toward me and my very valid concerns regarding an obvious need,1,devastating experience nasty attitude valid concern obvious need,"['devastating', 'devastating experience', 'devastating experience nasty', 'devastating experience nasty attitude', 'devastating experience nasty attitude valid', 'devastating experience nasty attitude valid concern', 'devastating experience nasty attitude valid concern obvious', 'devastating experience nasty attitude valid concern obvious need', 'experience', 'experience nasty', 'experience nasty attitude', 'experience nasty attitude valid', 'experience nasty attitude valid concern', 'experience nasty attitude valid concern obvious', 'experience nasty attitude valid concern obvious need', 'nasty', 'nasty attitude', 'nasty attitude valid', 'nasty attitude valid concern', 'nasty attitude valid concern obvious', 'nasty attitude valid concern obvious need', 'attitude', 'attitude valid', 'attitude valid concern', 'attitude valid concern obvious', 'attitude valid concern obvious need', 'valid', 'valid concern', 'valid concern obvious', 'valid concern obvious need', 'concern', 'concern obvious', 'concern obvious need', 'obvious', 'obvious need', 'need']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152538,This was by far the worst doctors visit I have experienced in 40 years.,1,far bad doctor visit experience,"['far', 'far bad', 'far bad doctor', 'far bad doctor visit', 'far bad doctor visit experience', 'bad', 'bad doctor', 'bad doctor visit', 'bad doctor visit experience', 'doctor', 'doctor visit', 'doctor visit experience', 'visit', 'visit experience', 'experience']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113632,My rhinoplasty experience with Dr. Wise was absolutely fantastic.,0,nose job experience dr wise absolutely fantastic,"['nose', 'nose job', 'nose job experience', 'nose job experience dr', 'nose job experience dr wise', 'nose job experience dr wise absolutely', 'nose job experience dr wise absolutely fantastic', 'job', 'job experience', 'job experience dr', 'job experience dr wise', 'job experience dr wise absolutely', 'job experience dr wise absolutely fantastic', 'experience', 'experience dr', 'experience dr wise', 'experience dr wise absolutely', 'experience dr wise absolutely fantastic', 'dr', 'dr wise', 'dr wise absolutely', 'dr wise absolutely fantastic', 'wise', 'wise absolutely', 'wise absolutely fantastic', 'absolutely', 'absolutely fantastic', 'fantastic']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97503,Beautiful practice.,0,beautiful practice,"['beautiful', 'beautiful practice', 'practice']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94147,"I had the best experience with my recent liposuction of the abdomen, flanks",0,good experience recent liposuction abdomen flank,"['good', 'good experience', 'good experience recent', 'good experience recent liposuction', 'good experience recent liposuction abdomen', 'good experience recent liposuction abdomen flank', 'experience', 'experience recent', 'experience recent liposuction', 'experience recent liposuction abdomen', 'experience recent liposuction abdomen flank', 'recent', 'recent liposuction', 'recent liposuction abdomen', 'recent liposuction abdomen flank', 'liposuction', 'liposuction abdomen', 'liposuction abdomen flank', 'abdomen', 'abdomen flank', 'flank']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124717,and we are even more upset now than we originally were because of how deceitful they are at this practice.,1,upset originally deceitful practice,"['upset', 'upset originally', 'upset originally deceitful', 'upset originally deceitful practice', 'originally', 'originally deceitful', 'originally deceitful practice', 'deceitful', 'deceitful practice', 'practice']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
134615,Today's appointment definitely made up for my terrible first experience at a different office.,0,today appointment decidedly terrible experience different office,"['today', 'today appointment', 'today appointment decidedly', 'today appointment decidedly terrible', 'today appointment decidedly terrible experience', 'today appointment decidedly terrible experience different', 'today appointment decidedly terrible experience different office', 'appointment', 'appointment decidedly', 'appointment decidedly terrible', 'appointment decidedly terrible experience', 'appointment decidedly terrible experience different', 'appointment decidedly terrible experience different office', 'decidedly', 'decidedly terrible', 'decidedly terrible experience', 'decidedly terrible experience different', 'decidedly terrible experience different office', 'terrible', 'terrible experience', 'terrible experience different', 'terrible experience different office', 'experience', 'experience different', 'experience different office', 'different', 'different office', 'office']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82781,Overall experience was fast,0,overall experience fast,"['overall', 'overall experience', 'overall experience fast', 'experience', 'experience fast', 'fast']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186978,"Fue una muy buena experiencia, es la primera vez que hago crioterapia y me sentí en la total confianza de empezar este proceso !",0,united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process,"['united', 'united nations', 'united nations buena', 'united nations buena experience', 'united nations buena experience e', 'united nations buena experience e que', 'united nations buena experience e que ago', 'united nations buena experience e que ago crioterapia', 'united nations buena experience e que ago crioterapia y', 'united nations buena experience e que ago crioterapia y send', 'united nations buena experience e que ago crioterapia y send en', 'united nations buena experience e que ago crioterapia y send en lanthanum', 'united nations buena experience e que ago crioterapia y send en lanthanum total', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'united nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'nations', 'nations buena', 'nations buena experience', 'nations buena experience e', 'nations buena experience e que', 'nations buena experience e que ago', 'nations buena experience e que ago crioterapia', 'nations buena experience e que ago crioterapia y', 'nations buena experience e que ago crioterapia y send', 'nations buena experience e que ago crioterapia y send en', 'nations buena experience e que ago crioterapia y send en lanthanum', 'nations buena experience e que ago crioterapia y send en lanthanum total', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'nations buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'buena', 'buena experience', 'buena experience e', 'buena experience e que', 'buena experience e que ago', 'buena experience e que ago crioterapia', 'buena experience e que ago crioterapia y', 'buena experience e que ago crioterapia y send', 'buena experience e que ago crioterapia y send en', 'buena experience e que ago crioterapia y send en lanthanum', 'buena experience e que ago crioterapia y send en lanthanum total', 'buena experience e que ago crioterapia y send en lanthanum total confianza', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'buena experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'experience', 'experience e', 'experience e que', 'experience e que ago', 'experience e que ago crioterapia', 'experience e que ago crioterapia y', 'experience e que ago crioterapia y send', 'experience e que ago crioterapia y send en', 'experience e que ago crioterapia y send en lanthanum', 'experience e que ago crioterapia y send en lanthanum total', 'experience e que ago crioterapia y send en lanthanum total confianza', 'experience e que ago crioterapia y send en lanthanum total confianza delaware', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'experience e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'e', 'e que', 'e que ago', 'e que ago crioterapia', 'e que ago crioterapia y', 'e que ago crioterapia y send', 'e que ago crioterapia y send en', 'e que ago crioterapia y send en lanthanum', 'e que ago crioterapia y send en lanthanum total', 'e que ago crioterapia y send en lanthanum total confianza', 'e que ago crioterapia y send en lanthanum total confianza delaware', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'e que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'que', 'que ago', 'que ago crioterapia', 'que ago crioterapia y', 'que ago crioterapia y send', 'que ago crioterapia y send en', 'que ago crioterapia y send en lanthanum', 'que ago crioterapia y send en lanthanum total', 'que ago crioterapia y send en lanthanum total confianza', 'que ago crioterapia y send en lanthanum total confianza delaware', 'que ago crioterapia y send en lanthanum total confianza delaware emperor', 'que ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'que ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'ago', 'ago crioterapia', 'ago crioterapia y', 'ago crioterapia y send', 'ago crioterapia y send en', 'ago crioterapia y send en lanthanum', 'ago crioterapia y send en lanthanum total', 'ago crioterapia y send en lanthanum total confianza', 'ago crioterapia y send en lanthanum total confianza delaware', 'ago crioterapia y send en lanthanum total confianza delaware emperor', 'ago crioterapia y send en lanthanum total confianza delaware emperor eastern', 'ago crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'ago crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'crioterapia', 'crioterapia y', 'crioterapia y send', 'crioterapia y send en', 'crioterapia y send en lanthanum', 'crioterapia y send en lanthanum total', 'crioterapia y send en lanthanum total confianza', 'crioterapia y send en lanthanum total confianza delaware', 'crioterapia y send en lanthanum total confianza delaware emperor', 'crioterapia y send en lanthanum total confianza delaware emperor eastern', 'crioterapia y send en lanthanum total confianza delaware emperor eastern time', 'crioterapia y send en lanthanum total confianza delaware emperor eastern time process', 'y', 'y send', 'y send en', 'y send en lanthanum', 'y send en lanthanum total', 'y send en lanthanum total confianza', 'y send en lanthanum total confianza delaware', 'y send en lanthanum total confianza delaware emperor', 'y send en lanthanum total confianza delaware emperor eastern', 'y send en lanthanum total confianza delaware emperor eastern time', 'y send en lanthanum total confianza delaware emperor eastern time process', 'send', 'send en', 'send en lanthanum', 'send en lanthanum total', 'send en lanthanum total confianza', 'send en lanthanum total confianza delaware', 'send en lanthanum total confianza delaware emperor', 'send en lanthanum total confianza delaware emperor eastern', 'send en lanthanum total confianza delaware emperor eastern time', 'send en lanthanum total confianza delaware emperor eastern time process', 'en', 'en lanthanum', 'en lanthanum total', 'en lanthanum total confianza', 'en lanthanum total confianza delaware', 'en lanthanum total confianza delaware emperor', 'en lanthanum total confianza delaware emperor eastern', 'en lanthanum total confianza delaware emperor eastern time', 'en lanthanum total confianza delaware emperor eastern time process', 'lanthanum', 'lanthanum total', 'lanthanum total confianza', 'lanthanum total confianza delaware', 'lanthanum total confianza delaware emperor', 'lanthanum total confianza delaware emperor eastern', 'lanthanum total confianza delaware emperor eastern time', 'lanthanum total confianza delaware emperor eastern time process', 'total', 'total confianza', 'total confianza delaware', 'total confianza delaware emperor', 'total confianza delaware emperor eastern', 'total confianza delaware emperor eastern time', 'total confianza delaware emperor eastern time process', 'confianza', 'confianza delaware', 'confianza delaware emperor', 'confianza delaware emperor eastern', 'confianza delaware emperor eastern time', 'confianza delaware emperor eastern time process', 'delaware', 'delaware emperor', 'delaware emperor eastern', 'delaware emperor eastern time', 'delaware emperor eastern time process', 'emperor', 'emperor eastern', 'emperor eastern time', 'emperor eastern time process', 'eastern', 'eastern time', 'eastern time process', 'time', 'time process', 'process']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
