commentId,comment,classification,comment_processed,word_phrase_list,bedside,bedside manner,manner,manner gentle,gentle,practical,similarity_score,regression_weight
104041,Really nice doctor and very well manner.,0,nice doctor manner,"['nice', 'nice doctor', 'nice doctor manner', 'doctor', 'doctor manner', 'manner']",0,0,1,0,0,0,0.125,0.0
108704,and then the AWESOME chair side manner of Dr. beaver.,0,amazing chair manner,"['amazing', 'amazing chair', 'amazing chair manner', 'chair', 'chair manner', 'manner']",0,0,1,0,0,0,0.125,0.0
94887,My only rating that would not be a top score would be bedside manner because Dr. Kathy was not at my bedside after my surgery,1,rat not score bedside manner not bedside surgery,"['rat', 'rat not', 'rat not score', 'rat not score bedside', 'rat not score bedside manner', 'rat not score bedside manner not', 'rat not score bedside manner not bedside', 'rat not score bedside manner not bedside surgery', 'not', 'not score', 'not score bedside', 'not score bedside manner', 'not score bedside manner not', 'not score bedside manner not bedside', 'not score bedside manner not bedside surgery', 'score', 'score bedside', 'score bedside manner', 'score bedside manner not', 'score bedside manner not bedside', 'score bedside manner not bedside surgery', 'bedside', 'bedside manner', 'bedside manner not', 'bedside manner not bedside', 'bedside manner not bedside surgery', 'manner', 'manner not', 'manner not bedside', 'manner not bedside surgery', 'not', 'not bedside', 'not bedside surgery', 'bedside', 'bedside surgery', 'surgery']",1,1,1,0,0,0,0.1304347826086956,0.0
96548,"and very practical in his treatment style, which is important to me.",0,practical treatment style important,"['practical', 'practical treatment', 'practical treatment style', 'practical treatment style important', 'treatment', 'treatment style', 'treatment style important', 'style', 'style important', 'important']",0,0,0,0,0,1,0.1,0.0
65664,Her work ethic and bedside manner is impeccable,0,work ethic bedside manner implacable,"['work', 'work ethic', 'work ethic bedside', 'work ethic bedside manner', 'work ethic bedside manner implacable', 'ethic', 'ethic bedside', 'ethic bedside manner', 'ethic bedside manner implacable', 'bedside', 'bedside manner', 'bedside manner implacable', 'manner', 'manner implacable', 'implacable']",1,1,1,0,0,0,0.24,0.0
103934,"Instead, Dr. Simon and her team made everything clear, gentle, on time and friendly.",0,instead team clear gentle time friendly,"['instead', 'instead team', 'instead team clear', 'instead team clear gentle', 'instead team clear gentle time', 'instead team clear gentle time friendly', 'team', 'team clear', 'team clear gentle', 'team clear gentle time', 'team clear gentle time friendly', 'clear', 'clear gentle', 'clear gentle time', 'clear gentle time friendly', 'gentle', 'gentle time', 'gentle time friendly', 'time', 'time friendly', 'friendly']",0,0,0,0,1,0,0.064516129032258,0.0
110044,When my first meeting finally happened Dr. Levy talked in a calming manner even though i was anxious from the waiting,0,meet finally happen talk calm manner anxious wait,"['meet', 'meet finally', 'meet finally happen', 'meet finally happen talk', 'meet finally happen talk calm', 'meet finally happen talk calm manner', 'meet finally happen talk calm manner anxious', 'meet finally happen talk calm manner anxious wait', 'finally', 'finally happen', 'finally happen talk', 'finally happen talk calm', 'finally happen talk calm manner', 'finally happen talk calm manner anxious', 'finally happen talk calm manner anxious wait', 'happen', 'happen talk', 'happen talk calm', 'happen talk calm manner', 'happen talk calm manner anxious', 'happen talk calm manner anxious wait', 'talk', 'talk calm', 'talk calm manner', 'talk calm manner anxious', 'talk calm manner anxious wait', 'calm', 'calm manner', 'calm manner anxious', 'calm manner anxious wait', 'manner', 'manner anxious', 'manner anxious wait', 'anxious', 'anxious wait', 'wait']",0,0,1,0,0,0,0.0434782608695652,0.0
96236,Dr. Fechisin bedside manner was phenomenal.,0,manner phenomenon,"['manner', 'manner phenomenon', 'phenomenon']",0,0,1,0,0,0,0.1538461538461538,0.0
97384,"and had the perfect ""beside manner"" following my procedure.",0,perfect manner follow procedure,"['perfect', 'perfect manner', 'perfect manner follow', 'perfect manner follow procedure', 'manner', 'manner follow', 'manner follow procedure', 'follow', 'follow procedure', 'procedure']",0,0,1,0,0,0,0.1,0.0
86981,His caring and wonderful bedside manor has been a plus,0,dare fantastic bedside manor plus,"['dare', 'dare fantastic', 'dare fantastic bedside', 'dare fantastic bedside manor', 'dare fantastic bedside manor plus', 'fantastic', 'fantastic bedside', 'fantastic bedside manor', 'fantastic bedside manor plus', 'bedside', 'bedside manor', 'bedside manor plus', 'manor', 'manor plus', 'plus']",1,0,0,0,0,0,0.08,0.0
