commentId,comment,classification,comment_processed,word_phrase_list,thank,include,include susan,susan,susan walk,walk,similarity_score,regression_weight
137347,"So, thank you Dr. Whitaker for all you have done and how encouraging you have been along the way!",0,thank encourage way,"['thank', 'thank encourage', 'thank encourage way', 'encourage', 'encourage way', 'way']",1,0,0,0,0,0,0.125,0.0
59375,Thank you for checking me out,0,thank check,"['thank', 'thank check', 'check']",1,0,0,0,0,0,0.1538461538461538,0.0
146861,Thank God she did because I don't want a dentist working on my child's mouth if they are not considerate,0,thank god want dentist work child mouth not considerate,"['thank', 'thank god', 'thank god want', 'thank god want dentist', 'thank god want dentist work', 'thank god want dentist work child', 'thank god want dentist work child mouth', 'thank god want dentist work child mouth not', 'thank god want dentist work child mouth not considerate', 'god', 'god want', 'god want dentist', 'god want dentist work', 'god want dentist work child', 'god want dentist work child mouth', 'god want dentist work child mouth not', 'god want dentist work child mouth not considerate', 'want', 'want dentist', 'want dentist work', 'want dentist work child', 'want dentist work child mouth', 'want dentist work child mouth not', 'want dentist work child mouth not considerate', 'dentist', 'dentist work', 'dentist work child', 'dentist work child mouth', 'dentist work child mouth not', 'dentist work child mouth not considerate', 'work', 'work child', 'work child mouth', 'work child mouth not', 'work child mouth not considerate', 'child', 'child mouth', 'child mouth not', 'child mouth not considerate', 'mouth', 'mouth not', 'mouth not considerate', 'not', 'not considerate', 'considerate']",1,0,0,0,0,0,0.0363636363636363,0.0
188833,"After questioning, I received a cursory exam to include a blood draw whose results i have",1,question receive nursery examination include blood draw result,"['question', 'question receive', 'question receive nursery', 'question receive nursery examination', 'question receive nursery examination include', 'question receive nursery examination include blood', 'question receive nursery examination include blood draw', 'question receive nursery examination include blood draw result', 'receive', 'receive nursery', 'receive nursery examination', 'receive nursery examination include', 'receive nursery examination include blood', 'receive nursery examination include blood draw', 'receive nursery examination include blood draw result', 'nursery', 'nursery examination', 'nursery examination include', 'nursery examination include blood', 'nursery examination include blood draw', 'nursery examination include blood draw result', 'examination', 'examination include', 'examination include blood', 'examination include blood draw', 'examination include blood draw result', 'include', 'include blood', 'include blood draw', 'include blood draw result', 'blood', 'blood draw', 'blood draw result', 'draw', 'draw result', 'result']",0,1,0,0,0,0,0.0434782608695652,0.0
159826,When I walked in I was told she was behind 2 hours.,1,walk tell,"['walk', 'walk tell', 'tell']",0,0,0,0,0,1,0.1538461538461538,0.0
146732,"and I have a family history of bad reactions to anesthesia, and not once did I get sick or nausous post surgery thank god!",0,family history bad reaction not sick nausous post surgery thank god,"['family', 'family history', 'family history bad', 'family history bad reaction', 'family history bad reaction not', 'family history bad reaction not sick', 'family history bad reaction not sick nausous', 'family history bad reaction not sick nausous post', 'family history bad reaction not sick nausous post surgery', 'family history bad reaction not sick nausous post surgery thank', 'family history bad reaction not sick nausous post surgery thank god', 'history', 'history bad', 'history bad reaction', 'history bad reaction not', 'history bad reaction not sick', 'history bad reaction not sick nausous', 'history bad reaction not sick nausous post', 'history bad reaction not sick nausous post surgery', 'history bad reaction not sick nausous post surgery thank', 'history bad reaction not sick nausous post surgery thank god', 'bad', 'bad reaction', 'bad reaction not', 'bad reaction not sick', 'bad reaction not sick nausous', 'bad reaction not sick nausous post', 'bad reaction not sick nausous post surgery', 'bad reaction not sick nausous post surgery thank', 'bad reaction not sick nausous post surgery thank god', 'reaction', 'reaction not', 'reaction not sick', 'reaction not sick nausous', 'reaction not sick nausous post', 'reaction not sick nausous post surgery', 'reaction not sick nausous post surgery thank', 'reaction not sick nausous post surgery thank god', 'not', 'not sick', 'not sick nausous', 'not sick nausous post', 'not sick nausous post surgery', 'not sick nausous post surgery thank', 'not sick nausous post surgery thank god', 'sick', 'sick nausous', 'sick nausous post', 'sick nausous post surgery', 'sick nausous post surgery thank', 'sick nausous post surgery thank god', 'nausous', 'nausous post', 'nausous post surgery', 'nausous post surgery thank', 'nausous post surgery thank god', 'post', 'post surgery', 'post surgery thank', 'post surgery thank god', 'surgery', 'surgery thank', 'surgery thank god', 'thank', 'thank god', 'god']",1,0,0,0,0,0,0.0263157894736842,0.0
171636,and can't do that anymore because the more I walk the worse the pain gets.,1,anymore walk bad pain get,"['anymore', 'anymore walk', 'anymore walk bad', 'anymore walk bad pain', 'anymore walk bad pain get', 'walk', 'walk bad', 'walk bad pain', 'walk bad pain get', 'bad', 'bad pain', 'bad pain get', 'pain', 'pain get', 'get']",0,0,0,0,0,1,0.08,0.0
167294,Thank you to everyone at Smileology for putting my dental anxieties to rest.,0,thank smileology put dental anxiety rest,"['thank', 'thank smileology', 'thank smileology put', 'thank smileology put dental', 'thank smileology put dental anxiety', 'thank smileology put dental anxiety rest', 'smileology', 'smileology put', 'smileology put dental', 'smileology put dental anxiety', 'smileology put dental anxiety rest', 'put', 'put dental', 'put dental anxiety', 'put dental anxiety rest', 'dental', 'dental anxiety', 'dental anxiety rest', 'anxiety', 'anxiety rest', 'rest']",1,0,0,0,0,0,0.064516129032258,0.0
126109,I would like to thank him a thousand times for his outstanding job and how happy I am with the results.,0,like thank time outstanding job happy result,"['like', 'like thank', 'like thank time', 'like thank time outstanding', 'like thank time outstanding job', 'like thank time outstanding job happy', 'like thank time outstanding job happy result', 'thank', 'thank time', 'thank time outstanding', 'thank time outstanding job', 'thank time outstanding job happy', 'thank time outstanding job happy result', 'time', 'time outstanding', 'time outstanding job', 'time outstanding job happy', 'time outstanding job happy result', 'outstanding', 'outstanding job', 'outstanding job happy', 'outstanding job happy result', 'job', 'job happy', 'job happy result', 'happy', 'happy result', 'result']",1,0,0,0,0,0,0.0526315789473684,0.0
125824,Told me to lift my leg (literally) and repeat and walked away.,1,tell lift leg literally repeat walk away,"['tell', 'tell lift', 'tell lift leg', 'tell lift leg literally', 'tell lift leg literally repeat', 'tell lift leg literally repeat walk', 'tell lift leg literally repeat walk away', 'lift', 'lift leg', 'lift leg literally', 'lift leg literally repeat', 'lift leg literally repeat walk', 'lift leg literally repeat walk away', 'leg', 'leg literally', 'leg literally repeat', 'leg literally repeat walk', 'leg literally repeat walk away', 'literally', 'literally repeat', 'literally repeat walk', 'literally repeat walk away', 'repeat', 'repeat walk', 'repeat walk away', 'walk', 'walk away', 'away']",0,0,0,0,0,1,0.0526315789473684,0.0
