commentId,comment,classification,comment_processed,word_phrase_list,thing,thing fine,fine,similarity_score,regression_weight
92376,After surgery I was so happy and relieved and pain free that I tell everyone it is the best thing and,0,surgery happy relieve pain free tell good thing,"['surgery', 'surgery happy', 'surgery happy relieve', 'surgery happy relieve pain', 'surgery happy relieve pain free', 'surgery happy relieve pain free tell', 'surgery happy relieve pain free tell good', 'surgery happy relieve pain free tell good thing', 'happy', 'happy relieve', 'happy relieve pain', 'happy relieve pain free', 'happy relieve pain free tell', 'happy relieve pain free tell good', 'happy relieve pain free tell good thing', 'relieve', 'relieve pain', 'relieve pain free', 'relieve pain free tell', 'relieve pain free tell good', 'relieve pain free tell good thing', 'pain', 'pain free', 'pain free tell', 'pain free tell good', 'pain free tell good thing', 'free', 'free tell', 'free tell good', 'free tell good thing', 'tell', 'tell good', 'tell good thing', 'good', 'good thing', 'thing']",1,0,0,0.0512820512820512,0.0
115813,"When I finally did decide, he made the whole thing easy by explaining exactly what would happen and what would be going on.",0,finally decide thing easy explain precisely happen go,"['finally', 'finally decide', 'finally decide thing', 'finally decide thing easy', 'finally decide thing easy explain', 'finally decide thing easy explain precisely', 'finally decide thing easy explain precisely happen', 'finally decide thing easy explain precisely happen go', 'decide', 'decide thing', 'decide thing easy', 'decide thing easy explain', 'decide thing easy explain precisely', 'decide thing easy explain precisely happen', 'decide thing easy explain precisely happen go', 'thing', 'thing easy', 'thing easy explain', 'thing easy explain precisely', 'thing easy explain precisely happen', 'thing easy explain precisely happen go', 'easy', 'easy explain', 'easy explain precisely', 'easy explain precisely happen', 'easy explain precisely happen go', 'explain', 'explain precisely', 'explain precisely happen', 'explain precisely happen go', 'precisely', 'precisely happen', 'precisely happen go', 'happen', 'happen go', 'go']",1,0,0,0.0512820512820512,0.0
78599,"the dentist recommended several things that cost a lot of money,",1,dentist recommend thing cost lot money,"['dentist', 'dentist recommend', 'dentist recommend thing', 'dentist recommend thing cost', 'dentist recommend thing cost lot', 'dentist recommend thing cost lot money', 'recommend', 'recommend thing', 'recommend thing cost', 'recommend thing cost lot', 'recommend thing cost lot money', 'thing', 'thing cost', 'thing cost lot', 'thing cost lot money', 'cost', 'cost lot', 'cost lot money', 'lot', 'lot money', 'money']",1,0,0,0.0833333333333333,0.0
145056,One of my favorite things was changing the color of the mirror frame (I chose to keep it at a white violet).,0,favorite thing change color mirror frame choose white violet,"['favorite', 'favorite thing', 'favorite thing change', 'favorite thing change color', 'favorite thing change color mirror', 'favorite thing change color mirror frame', 'favorite thing change color mirror frame choose', 'favorite thing change color mirror frame choose white', 'favorite thing change color mirror frame choose white violet', 'thing', 'thing change', 'thing change color', 'thing change color mirror', 'thing change color mirror frame', 'thing change color mirror frame choose', 'thing change color mirror frame choose white', 'thing change color mirror frame choose white violet', 'change', 'change color', 'change color mirror', 'change color mirror frame', 'change color mirror frame choose', 'change color mirror frame choose white', 'change color mirror frame choose white violet', 'color', 'color mirror', 'color mirror frame', 'color mirror frame choose', 'color mirror frame choose white', 'color mirror frame choose white violet', 'mirror', 'mirror frame', 'mirror frame choose', 'mirror frame choose white', 'mirror frame choose white violet', 'frame', 'frame choose', 'frame choose white', 'frame choose white violet', 'choose', 'choose white', 'choose white violet', 'white', 'white violet', 'violet']",1,0,0,0.0416666666666666,0.0
145370,I got a tummy tuck about a year and a half ago and the most direct thing I can say is I was butchered.,1,get mummy tuck direct thing butcher,"['get', 'get mummy', 'get mummy tuck', 'get mummy tuck direct', 'get mummy tuck direct thing', 'get mummy tuck direct thing butcher', 'mummy', 'mummy tuck', 'mummy tuck direct', 'mummy tuck direct thing', 'mummy tuck direct thing butcher', 'tuck', 'tuck direct', 'tuck direct thing', 'tuck direct thing butcher', 'direct', 'direct thing', 'direct thing butcher', 'thing', 'thing butcher', 'butcher']",1,0,0,0.0833333333333333,0.0
97253,and I venture to say she is the finest Austin has had the good fortune to claim!,0,venture fine austin good fortune claim,"['venture', 'venture fine', 'venture fine austin', 'venture fine austin good', 'venture fine austin good fortune', 'venture fine austin good fortune claim', 'fine', 'fine austin', 'fine austin good', 'fine austin good fortune', 'fine austin good fortune claim', 'austin', 'austin good', 'austin good fortune', 'austin good fortune claim', 'good', 'good fortune', 'good fortune claim', 'fortune', 'fortune claim', 'claim']",0,0,1,0.0833333333333333,0.0
64655,I was delighted that he took the time to explain things carefully to me.,0,delight take time explain thing carefully,"['delight', 'delight take', 'delight take time', 'delight take time explain', 'delight take time explain thing', 'delight take time explain thing carefully', 'take', 'take time', 'take time explain', 'take time explain thing', 'take time explain thing carefully', 'time', 'time explain', 'time explain thing', 'time explain thing carefully', 'explain', 'explain thing', 'explain thing carefully', 'thing', 'thing carefully', 'carefully']",1,0,0,0.0833333333333333,0.0
57696,The only thing would be is I would've had assistance getting a wheelchair.,1,thing aid get wheelchair,"['thing', 'thing aid', 'thing aid get', 'thing aid get wheelchair', 'aid', 'aid get', 'aid get wheelchair', 'get', 'get wheelchair', 'wheelchair']",1,0,0,0.1538461538461538,0.0
99820,I cannot say enough good things about him and his staff.,0,not good thing staff,"['not', 'not good', 'not good thing', 'not good thing staff', 'good', 'good thing', 'good thing staff', 'thing', 'thing staff', 'staff']",1,0,0,0.1538461538461538,0.0
181209,and the only thing psychiatry ever brought me was misery and madness.,1,thing psychiatric bring misery madness,"['thing', 'thing psychiatric', 'thing psychiatric bring', 'thing psychiatric bring misery', 'thing psychiatric bring misery madness', 'psychiatric', 'psychiatric bring', 'psychiatric bring misery', 'psychiatric bring misery madness', 'bring', 'bring misery', 'bring misery madness', 'misery', 'misery madness', 'madness']",1,0,0,0.1111111111111111,0.0
