commentId,comment,classification,comment_processed,word_phrase_list,ask,ask question,question,question question,question answer,answer,answer single,single,similarity_score,regression_weight
127042,IF YOU GO HERE ASK WHAT HE'S DOING AND WHAT IT WILL COST.,1,ask cost,"['ask', 'ask cost', 'cost']",1,0,0,0,0,0,0,0,0.1111111111111111,0.0
160673,He patiently answered all of my questions and some I didn?t know I had.,0,patiently answer question know,"['patiently', 'patiently answer', 'patiently answer question', 'patiently answer question know', 'answer', 'answer question', 'answer question know', 'question', 'question know', 'know']",0,0,1,0,0,1,0,0,0.16,0.0
148523,He refused to answer my calls and after a week someone from his office finally responded.,1,refuse answer call week office finally respond,"['refuse', 'refuse answer', 'refuse answer call', 'refuse answer call week', 'refuse answer call week office', 'refuse answer call week office finally', 'refuse answer call week office finally respond', 'answer', 'answer call', 'answer call week', 'answer call week office', 'answer call week office finally', 'answer call week office finally respond', 'call', 'call week', 'call week office', 'call week office finally', 'call week office finally respond', 'week', 'week office', 'week office finally', 'week office finally respond', 'office', 'office finally', 'office finally respond', 'finally', 'finally respond', 'respond']",0,0,0,0,0,1,0,0,0.0465116279069767,0.0
77234,Dr. Joseph asked about and listened to my concerns and we spoke in detail about what he envisioned.,0,ask listen concern speak detail envision,"['ask', 'ask listen', 'ask listen concern', 'ask listen concern speak', 'ask listen concern speak detail', 'ask listen concern speak detail envision', 'listen', 'listen concern', 'listen concern speak', 'listen concern speak detail', 'listen concern speak detail envision', 'concern', 'concern speak', 'concern speak detail', 'concern speak detail envision', 'speak', 'speak detail', 'speak detail envision', 'detail', 'detail envision', 'envision']",1,0,0,0,0,0,0,0,0.0555555555555555,0.0
163472,"If you were to ask me to rate Dr. Lee as a person, I'd leave 10 stars.",0,ask rate person leave star,"['ask', 'ask rate', 'ask rate person', 'ask rate person leave', 'ask rate person leave star', 'rate', 'rate person', 'rate person leave', 'rate person leave star', 'person', 'person leave', 'person leave star', 'leave', 'leave star', 'star']",1,0,0,0,0,0,0,0,0.0666666666666666,0.0
83461,and medical staff are overly generous in assisting with any questions.,0,medical staff overlay generous assist question,"['medical', 'medical staff', 'medical staff overlay', 'medical staff overlay generous', 'medical staff overlay generous assist', 'medical staff overlay generous assist question', 'staff', 'staff overlay', 'staff overlay generous', 'staff overlay generous assist', 'staff overlay generous assist question', 'overlay', 'overlay generous', 'overlay generous assist', 'overlay generous assist question', 'generous', 'generous assist', 'generous assist question', 'assist', 'assist question', 'question']",0,0,1,0,0,0,0,0,0.0555555555555555,0.0
99625,He was very thorough and asked if I had any specific questions.,0,thorough ask specific question,"['thorough', 'thorough ask', 'thorough ask specific', 'thorough ask specific question', 'ask', 'ask specific', 'ask specific question', 'specific', 'specific question', 'question']",1,0,1,0,0,0,0,0,0.16,0.0
79028,"Staff as well, Viri and Mariela, were very patient with me and answered numerous calls",0,staff eight patient answer numerous call,"['staff', 'staff eight', 'staff eight patient', 'staff eight patient answer', 'staff eight patient answer numerous', 'staff eight patient answer numerous call', 'eight', 'eight patient', 'eight patient answer', 'eight patient answer numerous', 'eight patient answer numerous call', 'patient', 'patient answer', 'patient answer numerous', 'patient answer numerous call', 'answer', 'answer numerous', 'answer numerous call', 'numerous', 'numerous call', 'call']",0,0,0,0,0,1,0,0,0.0555555555555555,0.0
133626,Dr. Allows us to ask questions.,0,dr allow ask question,"['dr', 'dr allow', 'dr allow ask', 'dr allow ask question', 'allow', 'allow ask', 'allow ask question', 'ask', 'ask question', 'question']",1,1,1,0,0,0,0,0,0.24,0.0
138678,"I was nervous when I first called to ask questions, Terrie is whom I spoke with, she had all the answers, she wasn't pushy,",0,nervous call ask question terrible speak answer push,"['nervous', 'nervous call', 'nervous call ask', 'nervous call ask question', 'nervous call ask question terrible', 'nervous call ask question terrible speak', 'nervous call ask question terrible speak answer', 'nervous call ask question terrible speak answer push', 'call', 'call ask', 'call ask question', 'call ask question terrible', 'call ask question terrible speak', 'call ask question terrible speak answer', 'call ask question terrible speak answer push', 'ask', 'ask question', 'ask question terrible', 'ask question terrible speak', 'ask question terrible speak answer', 'ask question terrible speak answer push', 'question', 'question terrible', 'question terrible speak', 'question terrible speak answer', 'question terrible speak answer push', 'terrible', 'terrible speak', 'terrible speak answer', 'terrible speak answer push', 'speak', 'speak answer', 'speak answer push', 'answer', 'answer push', 'push']",1,1,1,0,0,1,0,0,0.1568627450980392,0.0
