commentId,comment,classification,comment_processed,word_phrase_list,easy,easy talk,talk,similarity_score,regression_weight
191478,We spent some time after our appt talking about maintenance treatment and what could help at home.,0,spend time apt talk maintenance treatment help home,"['spend', 'spend time', 'spend time apt', 'spend time apt talk', 'spend time apt talk maintenance', 'spend time apt talk maintenance treatment', 'spend time apt talk maintenance treatment help', 'spend time apt talk maintenance treatment help home', 'time', 'time apt', 'time apt talk', 'time apt talk maintenance', 'time apt talk maintenance treatment', 'time apt talk maintenance treatment help', 'time apt talk maintenance treatment help home', 'apt', 'apt talk', 'apt talk maintenance', 'apt talk maintenance treatment', 'apt talk maintenance treatment help', 'apt talk maintenance treatment help home', 'talk', 'talk maintenance', 'talk maintenance treatment', 'talk maintenance treatment help', 'talk maintenance treatment help home', 'maintenance', 'maintenance treatment', 'maintenance treatment help', 'maintenance treatment help home', 'treatment', 'treatment help', 'treatment help home', 'help', 'help home', 'home']",0,0,1,0.0512820512820512,0.0
69133,"His analysis and diagnosis are easy to understand, which is helpful for the patients to reach reasonable decisions.",0,analysis diagnosis easy understand helpful patient reach reasonable decision,"['analysis', 'analysis diagnosis', 'analysis diagnosis easy', 'analysis diagnosis easy understand', 'analysis diagnosis easy understand helpful', 'analysis diagnosis easy understand helpful patient', 'analysis diagnosis easy understand helpful patient reach', 'analysis diagnosis easy understand helpful patient reach reasonable', 'analysis diagnosis easy understand helpful patient reach reasonable decision', 'diagnosis', 'diagnosis easy', 'diagnosis easy understand', 'diagnosis easy understand helpful', 'diagnosis easy understand helpful patient', 'diagnosis easy understand helpful patient reach', 'diagnosis easy understand helpful patient reach reasonable', 'diagnosis easy understand helpful patient reach reasonable decision', 'easy', 'easy understand', 'easy understand helpful', 'easy understand helpful patient', 'easy understand helpful patient reach', 'easy understand helpful patient reach reasonable', 'easy understand helpful patient reach reasonable decision', 'understand', 'understand helpful', 'understand helpful patient', 'understand helpful patient reach', 'understand helpful patient reach reasonable', 'understand helpful patient reach reasonable decision', 'helpful', 'helpful patient', 'helpful patient reach', 'helpful patient reach reasonable', 'helpful patient reach reasonable decision', 'patient', 'patient reach', 'patient reach reasonable', 'patient reach reasonable decision', 'reach', 'reach reasonable', 'reach reasonable decision', 'reasonable', 'reasonable decision', 'decision']",1,0,0,0.0416666666666666,0.0
102593,Dr. McGuire and the rest of the staff at Parkcrest made everything so easy.,0,rest staff parkcrest easy,"['rest', 'rest staff', 'rest staff parkcrest', 'rest staff parkcrest easy', 'staff', 'staff parkcrest', 'staff parkcrest easy', 'parkcrest', 'parkcrest easy', 'easy']",1,0,0,0.1538461538461538,0.0
115813,"When I finally did decide, he made the whole thing easy by explaining exactly what would happen and what would be going on.",0,finally decide thing easy explain precisely happen go,"['finally', 'finally decide', 'finally decide thing', 'finally decide thing easy', 'finally decide thing easy explain', 'finally decide thing easy explain precisely', 'finally decide thing easy explain precisely happen', 'finally decide thing easy explain precisely happen go', 'decide', 'decide thing', 'decide thing easy', 'decide thing easy explain', 'decide thing easy explain precisely', 'decide thing easy explain precisely happen', 'decide thing easy explain precisely happen go', 'thing', 'thing easy', 'thing easy explain', 'thing easy explain precisely', 'thing easy explain precisely happen', 'thing easy explain precisely happen go', 'easy', 'easy explain', 'easy explain precisely', 'easy explain precisely happen', 'easy explain precisely happen go', 'explain', 'explain precisely', 'explain precisely happen', 'explain precisely happen go', 'precisely', 'precisely happen', 'precisely happen go', 'happen', 'happen go', 'go']",1,0,0,0.0512820512820512,0.0
160579,but they made sure I was doing okay and talked me through the treatment so I didn't feel as anxious.,0,sure okay talk treatment feel anxious,"['sure', 'sure okay', 'sure okay talk', 'sure okay talk treatment', 'sure okay talk treatment feel', 'sure okay talk treatment feel anxious', 'okay', 'okay talk', 'okay talk treatment', 'okay talk treatment feel', 'okay talk treatment feel anxious', 'talk', 'talk treatment', 'talk treatment feel', 'talk treatment feel anxious', 'treatment', 'treatment feel', 'treatment feel anxious', 'feel', 'feel anxious', 'anxious']",0,0,1,0.0833333333333333,0.0
148414,"The website was pretty easy to navigate,",0,webster pretty easy navigable,"['webster', 'webster pretty', 'webster pretty easy', 'webster pretty easy navigable', 'pretty', 'pretty easy', 'pretty easy navigable', 'easy', 'easy navigable', 'navigable']",1,0,0,0.1538461538461538,0.0
107951,She talks down to the patients and has horrible customer service.,1,talk patient atrocious customer service,"['talk', 'talk patient', 'talk patient atrocious', 'talk patient atrocious customer', 'talk patient atrocious customer service', 'patient', 'patient atrocious', 'patient atrocious customer', 'patient atrocious customer service', 'atrocious', 'atrocious customer', 'atrocious customer service', 'customer', 'customer service', 'service']",0,0,1,0.1111111111111111,0.0
115520,"Not only was the procedure a fairly easy one that was merely out patient, it also worked amazingly.",0,not procedure fairly easy merely patient work amazingly,"['not', 'not procedure', 'not procedure fairly', 'not procedure fairly easy', 'not procedure fairly easy merely', 'not procedure fairly easy merely patient', 'not procedure fairly easy merely patient work', 'not procedure fairly easy merely patient work amazingly', 'procedure', 'procedure fairly', 'procedure fairly easy', 'procedure fairly easy merely', 'procedure fairly easy merely patient', 'procedure fairly easy merely patient work', 'procedure fairly easy merely patient work amazingly', 'fairly', 'fairly easy', 'fairly easy merely', 'fairly easy merely patient', 'fairly easy merely patient work', 'fairly easy merely patient work amazingly', 'easy', 'easy merely', 'easy merely patient', 'easy merely patient work', 'easy merely patient work amazingly', 'merely', 'merely patient', 'merely patient work', 'merely patient work amazingly', 'patient', 'patient work', 'patient work amazingly', 'work', 'work amazingly', 'amazingly']",1,0,0,0.0512820512820512,0.0
65638,so it is easy to get her to respond.,0,easy respond,"['easy', 'easy respond', 'respond']",1,0,0,0.3333333333333333,0.0
94599,She will do anything to talk you into something for the money.,1,talk money,"['talk', 'talk money', 'money']",0,0,1,0.3333333333333333,0.0
64230,She's always quick and she understands what you're talking about.,0,quick understand talk,"['quick', 'quick understand', 'quick understand talk', 'understand', 'understand talk', 'talk']",0,0,1,0.2222222222222222,0.0
61510,She's a nice person to talk to and when she is talking to you about your health condition she is very nice about it.,0,nice person talk talk health condition nice,"['nice', 'nice person', 'nice person talk', 'nice person talk talk', 'nice person talk talk health', 'nice person talk talk health condition', 'nice person talk talk health condition nice', 'person', 'person talk', 'person talk talk', 'person talk talk health', 'person talk talk health condition', 'person talk talk health condition nice', 'talk', 'talk talk', 'talk talk health', 'talk talk health condition', 'talk talk health condition nice', 'talk', 'talk health', 'talk health condition', 'talk health condition nice', 'health', 'health condition', 'health condition nice', 'condition', 'condition nice', 'nice']",0,0,1,0.064516129032258,0.0
89009,and spends your visit talking about herself rather than your health care!,1,spend visit talk health care,"['spend', 'spend visit', 'spend visit talk', 'spend visit talk health', 'spend visit talk health care', 'visit', 'visit talk', 'visit talk health', 'visit talk health care', 'talk', 'talk health', 'talk health care', 'health', 'health care', 'care']",0,0,1,0.1111111111111111,0.0
94234,"I've never liked a doctor who just wants to chit chat or make small talk, Nelson is to the point.",0,like doctor want chit chat small talk point,"['like', 'like doctor', 'like doctor want', 'like doctor want chit', 'like doctor want chit chat', 'like doctor want chit chat small', 'like doctor want chit chat small talk', 'like doctor want chit chat small talk point', 'doctor', 'doctor want', 'doctor want chit', 'doctor want chit chat', 'doctor want chit chat small', 'doctor want chit chat small talk', 'doctor want chit chat small talk point', 'want', 'want chit', 'want chit chat', 'want chit chat small', 'want chit chat small talk', 'want chit chat small talk point', 'chit', 'chit chat', 'chit chat small', 'chit chat small talk', 'chit chat small talk point', 'chat', 'chat small', 'chat small talk', 'chat small talk point', 'small', 'small talk', 'small talk point', 'talk', 'talk point', 'point']",0,0,1,0.0512820512820512,0.0
145984,He comes in the room with a small case of toys to interest them while he talks to the parents.,0,come room small case toy interest talk parent,"['come', 'come room', 'come room small', 'come room small case', 'come room small case toy', 'come room small case toy interest', 'come room small case toy interest talk', 'come room small case toy interest talk parent', 'room', 'room small', 'room small case', 'room small case toy', 'room small case toy interest', 'room small case toy interest talk', 'room small case toy interest talk parent', 'small', 'small case', 'small case toy', 'small case toy interest', 'small case toy interest talk', 'small case toy interest talk parent', 'case', 'case toy', 'case toy interest', 'case toy interest talk', 'case toy interest talk parent', 'toy', 'toy interest', 'toy interest talk', 'toy interest talk parent', 'interest', 'interest talk', 'interest talk parent', 'talk', 'talk parent', 'parent']",0,0,1,0.0512820512820512,0.0
61846,"Dedicated, easy to understand and takes time with his patients.",0,dedicate easy understand take time patient,"['dedicate', 'dedicate easy', 'dedicate easy understand', 'dedicate easy understand take', 'dedicate easy understand take time', 'dedicate easy understand take time patient', 'easy', 'easy understand', 'easy understand take', 'easy understand take time', 'easy understand take time patient', 'understand', 'understand take', 'understand take time', 'understand take time patient', 'take', 'take time', 'take time patient', 'time', 'time patient', 'patient']",1,0,0,0.0833333333333333,0.0
124372,"had horrible experience, my daughter had an appointment at 10am at 12 I decided to talk to someone at desk.",1,atrocious experience daughter appointment decide talk desk,"['atrocious', 'atrocious experience', 'atrocious experience daughter', 'atrocious experience daughter appointment', 'atrocious experience daughter appointment decide', 'atrocious experience daughter appointment decide talk', 'atrocious experience daughter appointment decide talk desk', 'experience', 'experience daughter', 'experience daughter appointment', 'experience daughter appointment decide', 'experience daughter appointment decide talk', 'experience daughter appointment decide talk desk', 'daughter', 'daughter appointment', 'daughter appointment decide', 'daughter appointment decide talk', 'daughter appointment decide talk desk', 'appointment', 'appointment decide', 'appointment decide talk', 'appointment decide talk desk', 'decide', 'decide talk', 'decide talk desk', 'talk', 'talk desk', 'desk']",0,0,1,0.064516129032258,0.0
143389,"so very easy, as a mother with two children I was so thankful for that.Dr.",0,easy mother child grateful,"['easy', 'easy mother', 'easy mother child', 'easy mother child grateful', 'mother', 'mother child', 'mother child grateful', 'child', 'child grateful', 'grateful']",1,0,0,0.1538461538461538,0.0
86973,so sweet and Rosie was always great to talk to.,0,sweet rise great talk,"['sweet', 'sweet rise', 'sweet rise great', 'sweet rise great talk', 'rise', 'rise great', 'rise great talk', 'great', 'great talk', 'talk']",0,0,1,0.1538461538461538,0.0
110044,When my first meeting finally happened Dr. Levy talked in a calming manner even though i was anxious from the waiting,0,meet finally happen talk calm manner anxious wait,"['meet', 'meet finally', 'meet finally happen', 'meet finally happen talk', 'meet finally happen talk calm', 'meet finally happen talk calm manner', 'meet finally happen talk calm manner anxious', 'meet finally happen talk calm manner anxious wait', 'finally', 'finally happen', 'finally happen talk', 'finally happen talk calm', 'finally happen talk calm manner', 'finally happen talk calm manner anxious', 'finally happen talk calm manner anxious wait', 'happen', 'happen talk', 'happen talk calm', 'happen talk calm manner', 'happen talk calm manner anxious', 'happen talk calm manner anxious wait', 'talk', 'talk calm', 'talk calm manner', 'talk calm manner anxious', 'talk calm manner anxious wait', 'calm', 'calm manner', 'calm manner anxious', 'calm manner anxious wait', 'manner', 'manner anxious', 'manner anxious wait', 'anxious', 'anxious wait', 'wait']",0,0,1,0.0512820512820512,0.0
108997,Dr Gartner and his staff make this very intimidating surgery very easy and comfortable.,0,staff intimidate surgery easy comfortable,"['staff', 'staff intimidate', 'staff intimidate surgery', 'staff intimidate surgery easy', 'staff intimidate surgery easy comfortable', 'intimidate', 'intimidate surgery', 'intimidate surgery easy', 'intimidate surgery easy comfortable', 'surgery', 'surgery easy', 'surgery easy comfortable', 'easy', 'easy comfortable', 'comfortable']",1,0,0,0.1111111111111111,0.0
177791,I expected lasik to be a painless simple easy process like some may say but that is false it's scary and risky.,1,expect painless simple easy process like false scar risky,"['expect', 'expect painless', 'expect painless simple', 'expect painless simple easy', 'expect painless simple easy process', 'expect painless simple easy process like', 'expect painless simple easy process like false', 'expect painless simple easy process like false scar', 'expect painless simple easy process like false scar risky', 'painless', 'painless simple', 'painless simple easy', 'painless simple easy process', 'painless simple easy process like', 'painless simple easy process like false', 'painless simple easy process like false scar', 'painless simple easy process like false scar risky', 'simple', 'simple easy', 'simple easy process', 'simple easy process like', 'simple easy process like false', 'simple easy process like false scar', 'simple easy process like false scar risky', 'easy', 'easy process', 'easy process like', 'easy process like false', 'easy process like false scar', 'easy process like false scar risky', 'process', 'process like', 'process like false', 'process like false scar', 'process like false scar risky', 'like', 'like false', 'like false scar', 'like false scar risky', 'false', 'false scar', 'false scar risky', 'scar', 'scar risky', 'risky']",1,0,0,0.0416666666666666,0.0
102625,easy work with my schedule,0,easy work schedule,"['easy', 'easy work', 'easy work schedule', 'work', 'work schedule', 'schedule']",1,0,0,0.2222222222222222,0.0
140497,Did not wait much and when i talk to the doctor everything was explain throughly.,0,not wait talk doctor explain thoroughly,"['not', 'not wait', 'not wait talk', 'not wait talk doctor', 'not wait talk doctor explain', 'not wait talk doctor explain thoroughly', 'wait', 'wait talk', 'wait talk doctor', 'wait talk doctor explain', 'wait talk doctor explain thoroughly', 'talk', 'talk doctor', 'talk doctor explain', 'talk doctor explain thoroughly', 'doctor', 'doctor explain', 'doctor explain thoroughly', 'explain', 'explain thoroughly', 'thoroughly']",0,0,1,0.0833333333333333,0.0
101767,She takes the time to talk to me and answers my questions.,0,take time talk answer question,"['take', 'take time', 'take time talk', 'take time talk answer', 'take time talk answer question', 'time', 'time talk', 'time talk answer', 'time talk answer question', 'talk', 'talk answer', 'talk answer question', 'answer', 'answer question', 'question']",0,0,1,0.1111111111111111,0.0
128429,I had a very bad urinary tract infection and she would not even let me talk about it.,1,bad urinary tract infection not let talk,"['bad', 'bad urinary', 'bad urinary tract', 'bad urinary tract infection', 'bad urinary tract infection not', 'bad urinary tract infection not let', 'bad urinary tract infection not let talk', 'urinary', 'urinary tract', 'urinary tract infection', 'urinary tract infection not', 'urinary tract infection not let', 'urinary tract infection not let talk', 'tract', 'tract infection', 'tract infection not', 'tract infection not let', 'tract infection not let talk', 'infection', 'infection not', 'infection not let', 'infection not let talk', 'not', 'not let', 'not let talk', 'let', 'let talk', 'talk']",0,0,1,0.064516129032258,0.0
93868,So happy to have found women providers who are thorough and care to talk to their patients and examine them instead of brushing them off,0,happy find woman provide thorough care talk patient examine instead brush,"['happy', 'happy find', 'happy find woman', 'happy find woman provide', 'happy find woman provide thorough', 'happy find woman provide thorough care', 'happy find woman provide thorough care talk', 'happy find woman provide thorough care talk patient', 'happy find woman provide thorough care talk patient examine', 'happy find woman provide thorough care talk patient examine instead', 'happy find woman provide thorough care talk patient examine instead brush', 'find', 'find woman', 'find woman provide', 'find woman provide thorough', 'find woman provide thorough care', 'find woman provide thorough care talk', 'find woman provide thorough care talk patient', 'find woman provide thorough care talk patient examine', 'find woman provide thorough care talk patient examine instead', 'find woman provide thorough care talk patient examine instead brush', 'woman', 'woman provide', 'woman provide thorough', 'woman provide thorough care', 'woman provide thorough care talk', 'woman provide thorough care talk patient', 'woman provide thorough care talk patient examine', 'woman provide thorough care talk patient examine instead', 'woman provide thorough care talk patient examine instead brush', 'provide', 'provide thorough', 'provide thorough care', 'provide thorough care talk', 'provide thorough care talk patient', 'provide thorough care talk patient examine', 'provide thorough care talk patient examine instead', 'provide thorough care talk patient examine instead brush', 'thorough', 'thorough care', 'thorough care talk', 'thorough care talk patient', 'thorough care talk patient examine', 'thorough care talk patient examine instead', 'thorough care talk patient examine instead brush', 'care', 'care talk', 'care talk patient', 'care talk patient examine', 'care talk patient examine instead', 'care talk patient examine instead brush', 'talk', 'talk patient', 'talk patient examine', 'talk patient examine instead', 'talk patient examine instead brush', 'patient', 'patient examine', 'patient examine instead', 'patient examine instead brush', 'examine', 'examine instead', 'examine instead brush', 'instead', 'instead brush', 'brush']",0,0,1,0.0289855072463768,0.0
102054,Very personable and easy to talk to.,0,personal easy talk,"['personal', 'personal easy', 'personal easy talk', 'easy', 'easy talk', 'talk']",1,1,1,0.6666666666666666,0.0
99477,and does it in a way that you feel you are just having a nice talk -- not embarrassing.,0,way feel have nice talk not embarrass,"['way', 'way feel', 'way feel have', 'way feel have nice', 'way feel have nice talk', 'way feel have nice talk not', 'way feel have nice talk not embarrass', 'feel', 'feel have', 'feel have nice', 'feel have nice talk', 'feel have nice talk not', 'feel have nice talk not embarrass', 'have', 'have nice', 'have nice talk', 'have nice talk not', 'have nice talk not embarrass', 'nice', 'nice talk', 'nice talk not', 'nice talk not embarrass', 'talk', 'talk not', 'talk not embarrass', 'not', 'not embarrass', 'embarrass']",0,0,1,0.064516129032258,0.0
