commentId,comment,classification,comment_processed,word_phrase_list,overall,overall terrific,overall terrific office,terrific,terrific office,office,similarity_score,regression_weight
150465,I was able to have permanent (not temporary like other offices offer) nose filler to fix the unevenness.,0,able permanent not temporary like office offer nose filler fix unevenness,"['able', 'able permanent', 'able permanent not', 'able permanent not temporary', 'able permanent not temporary like', 'able permanent not temporary like office', 'able permanent not temporary like office offer', 'able permanent not temporary like office offer nose', 'able permanent not temporary like office offer nose filler', 'able permanent not temporary like office offer nose filler fix', 'able permanent not temporary like office offer nose filler fix unevenness', 'permanent', 'permanent not', 'permanent not temporary', 'permanent not temporary like', 'permanent not temporary like office', 'permanent not temporary like office offer', 'permanent not temporary like office offer nose', 'permanent not temporary like office offer nose filler', 'permanent not temporary like office offer nose filler fix', 'permanent not temporary like office offer nose filler fix unevenness', 'not', 'not temporary', 'not temporary like', 'not temporary like office', 'not temporary like office offer', 'not temporary like office offer nose', 'not temporary like office offer nose filler', 'not temporary like office offer nose filler fix', 'not temporary like office offer nose filler fix unevenness', 'temporary', 'temporary like', 'temporary like office', 'temporary like office offer', 'temporary like office offer nose', 'temporary like office offer nose filler', 'temporary like office offer nose filler fix', 'temporary like office offer nose filler fix unevenness', 'like', 'like office', 'like office offer', 'like office offer nose', 'like office offer nose filler', 'like office offer nose filler fix', 'like office offer nose filler fix unevenness', 'office', 'office offer', 'office offer nose', 'office offer nose filler', 'office offer nose filler fix', 'office offer nose filler fix unevenness', 'offer', 'offer nose', 'offer nose filler', 'offer nose filler fix', 'offer nose filler fix unevenness', 'nose', 'nose filler', 'nose filler fix', 'nose filler fix unevenness', 'filler', 'filler fix', 'filler fix unevenness', 'fix', 'fix unevenness', 'unevenness']",0,0,0,0,0,1,0.0555555555555555,0.0
151134,"The offices are very clean (not just due to Covid, they've just always been like that) and well managed.",0,office clean not like manage,"['office', 'office clean', 'office clean not', 'office clean not like', 'office clean not like manage', 'clean', 'clean not', 'clean not like', 'clean not like manage', 'not', 'not like', 'not like manage', 'like', 'like manage', 'manage']",0,0,0,0,0,1,0.1282051282051282,0.0
148523,He refused to answer my calls and after a week someone from his office finally responded.,1,refuse answer call week office finally respond,"['refuse', 'refuse answer', 'refuse answer call', 'refuse answer call week', 'refuse answer call week office', 'refuse answer call week office finally', 'refuse answer call week office finally respond', 'answer', 'answer call', 'answer call week', 'answer call week office', 'answer call week office finally', 'answer call week office finally respond', 'call', 'call week', 'call week office', 'call week office finally', 'call week office finally respond', 'week', 'week office', 'week office finally', 'week office finally respond', 'office', 'office finally', 'office finally respond', 'finally', 'finally respond', 'respond']",0,0,0,0,0,1,0.0961538461538461,0.0
140801,"His entire staff and office reflect a welcoming culture of medical excellence, patient comfort, and genuine concern.",0,entire staff office reflect welcome culture medical excellence patient comfort genuine concern,"['entire', 'entire staff', 'entire staff office', 'entire staff office reflect', 'entire staff office reflect welcome', 'entire staff office reflect welcome culture', 'entire staff office reflect welcome culture medical', 'entire staff office reflect welcome culture medical excellence', 'entire staff office reflect welcome culture medical excellence patient', 'entire staff office reflect welcome culture medical excellence patient comfort', 'entire staff office reflect welcome culture medical excellence patient comfort genuine', 'entire staff office reflect welcome culture medical excellence patient comfort genuine concern', 'staff', 'staff office', 'staff office reflect', 'staff office reflect welcome', 'staff office reflect welcome culture', 'staff office reflect welcome culture medical', 'staff office reflect welcome culture medical excellence', 'staff office reflect welcome culture medical excellence patient', 'staff office reflect welcome culture medical excellence patient comfort', 'staff office reflect welcome culture medical excellence patient comfort genuine', 'staff office reflect welcome culture medical excellence patient comfort genuine concern', 'office', 'office reflect', 'office reflect welcome', 'office reflect welcome culture', 'office reflect welcome culture medical', 'office reflect welcome culture medical excellence', 'office reflect welcome culture medical excellence patient', 'office reflect welcome culture medical excellence patient comfort', 'office reflect welcome culture medical excellence patient comfort genuine', 'office reflect welcome culture medical excellence patient comfort genuine concern', 'reflect', 'reflect welcome', 'reflect welcome culture', 'reflect welcome culture medical', 'reflect welcome culture medical excellence', 'reflect welcome culture medical excellence patient', 'reflect welcome culture medical excellence patient comfort', 'reflect welcome culture medical excellence patient comfort genuine', 'reflect welcome culture medical excellence patient comfort genuine concern', 'welcome', 'welcome culture', 'welcome culture medical', 'welcome culture medical excellence', 'welcome culture medical excellence patient', 'welcome culture medical excellence patient comfort', 'welcome culture medical excellence patient comfort genuine', 'welcome culture medical excellence patient comfort genuine concern', 'culture', 'culture medical', 'culture medical excellence', 'culture medical excellence patient', 'culture medical excellence patient comfort', 'culture medical excellence patient comfort genuine', 'culture medical excellence patient comfort genuine concern', 'medical', 'medical excellence', 'medical excellence patient', 'medical excellence patient comfort', 'medical excellence patient comfort genuine', 'medical excellence patient comfort genuine concern', 'excellence', 'excellence patient', 'excellence patient comfort', 'excellence patient comfort genuine', 'excellence patient comfort genuine concern', 'patient', 'patient comfort', 'patient comfort genuine', 'patient comfort genuine concern', 'comfort', 'comfort genuine', 'comfort genuine concern', 'genuine', 'genuine concern', 'concern']",0,0,0,0,0,1,0.0490196078431372,0.0
93711,And the little extra touch (hands dipped in paraffin during treatments) are appreciated:) The office is clean,0,little extra touch hand dip paraffin treatment appreciate office clean,"['little', 'little extra', 'little extra touch', 'little extra touch hand', 'little extra touch hand dip', 'little extra touch hand dip paraffin', 'little extra touch hand dip paraffin treatment', 'little extra touch hand dip paraffin treatment appreciate', 'little extra touch hand dip paraffin treatment appreciate office', 'little extra touch hand dip paraffin treatment appreciate office clean', 'extra', 'extra touch', 'extra touch hand', 'extra touch hand dip', 'extra touch hand dip paraffin', 'extra touch hand dip paraffin treatment', 'extra touch hand dip paraffin treatment appreciate', 'extra touch hand dip paraffin treatment appreciate office', 'extra touch hand dip paraffin treatment appreciate office clean', 'touch', 'touch hand', 'touch hand dip', 'touch hand dip paraffin', 'touch hand dip paraffin treatment', 'touch hand dip paraffin treatment appreciate', 'touch hand dip paraffin treatment appreciate office', 'touch hand dip paraffin treatment appreciate office clean', 'hand', 'hand dip', 'hand dip paraffin', 'hand dip paraffin treatment', 'hand dip paraffin treatment appreciate', 'hand dip paraffin treatment appreciate office', 'hand dip paraffin treatment appreciate office clean', 'dip', 'dip paraffin', 'dip paraffin treatment', 'dip paraffin treatment appreciate', 'dip paraffin treatment appreciate office', 'dip paraffin treatment appreciate office clean', 'paraffin', 'paraffin treatment', 'paraffin treatment appreciate', 'paraffin treatment appreciate office', 'paraffin treatment appreciate office clean', 'treatment', 'treatment appreciate', 'treatment appreciate office', 'treatment appreciate office clean', 'appreciate', 'appreciate office', 'appreciate office clean', 'office', 'office clean', 'clean']",0,0,0,0,0,1,0.0632911392405063,0.0
128270,Office staff was rude. ?The office is only open three days a week,1,office staff rude office open week,"['office', 'office staff', 'office staff rude', 'office staff rude office', 'office staff rude office open', 'office staff rude office open week', 'staff', 'staff rude', 'staff rude office', 'staff rude office open', 'staff rude office open week', 'rude', 'rude office', 'rude office open', 'rude office open week', 'office', 'office open', 'office open week', 'open', 'open week', 'week']",0,0,0,0,0,1,0.1111111111111111,0.0
129356,Overall not a good feeling about this place.,1,overall not good feel place,"['overall', 'overall not', 'overall not good', 'overall not good feel', 'overall not good feel place', 'not', 'not good', 'not good feel', 'not good feel place', 'good', 'good feel', 'good feel place', 'feel', 'feel place', 'place']",1,0,0,0,0,0,0.1282051282051282,0.0
143015,His office always makes their best efforts to fit me in for appointments.,0,office make good effort fit appointment,"['office', 'office make', 'office make good', 'office make good effort', 'office make good effort fit', 'office make good effort fit appointment', 'make', 'make good', 'make good effort', 'make good effort fit', 'make good effort fit appointment', 'good', 'good effort', 'good effort fit', 'good effort fit appointment', 'effort', 'effort fit', 'effort fit appointment', 'fit', 'fit appointment', 'appointment']",0,0,0,0,0,1,0.1111111111111111,0.0
116690,Her office runs very smoothly with Rose as the manager.,0,office run smoothly rise manager,"['office', 'office run', 'office run smoothly', 'office run smoothly rise', 'office run smoothly rise manager', 'run', 'run smoothly', 'run smoothly rise', 'run smoothly rise manager', 'smoothly', 'smoothly rise', 'smoothly rise manager', 'rise', 'rise manager', 'manager']",0,0,0,0,0,1,0.1282051282051282,0.0
151408,but there is absolutely a disconnect between the front office and the clinical staff.,1,absolutely discontent office clinical staff,"['absolutely', 'absolutely discontent', 'absolutely discontent office', 'absolutely discontent office clinical', 'absolutely discontent office clinical staff', 'discontent', 'discontent office', 'discontent office clinical', 'discontent office clinical staff', 'office', 'office clinical', 'office clinical staff', 'clinical', 'clinical staff', 'staff']",0,0,0,0,0,1,0.1282051282051282,0.0
